Localidade,Pais,Frequencia,Lat,Lon,XGBoost_MAE_normalizado,XGBoost_RMSE_normalizado,XGBoost_MAE_wm2,XGBoost_RMSE_wm2,XGBoost_nRMSE_percentual_wm2,XGBoost_R2_wm2,MLP_MAE_normalizado,MLP_RMSE_normalizado,MLP_MAE_wm2,MLP_RMSE_wm2,MLP_nRMSE_percentual_wm2,MLP_R2_wm2,RNN_MAE_normalizado,RNN_RMSE_normalizado,RNN_MAE_wm2,RNN_RMSE_wm2,RNN_nRMSE_percentual_wm2,RNN_R2_wm2,LSTM_MAE_normalizado,LSTM_RMSE_normalizado,LSTM_MAE_wm2,LSTM_RMSE_wm2,LSTM_nRMSE_percentual_wm2,LSTM_R2_wm2,Melhor_Modelo
BYD Camacari,Brasil,mensal,-12.6733774,-38.2812339,0.12965999405801765,0.14666956676340337,20.08781416842591,22.64949985035182,9.588231115153347,0.6339154563163365,0.11293024641085947,0.1508994785664705,17.43843365706672,23.27261516985572,9.85201502801106,0.6134955158695178,0.10868679815194426,0.14302758608754332,16.737202638984762,22.027700057867794,9.325004105414383,0.6537398849692875,0.12889786340354936,0.16389076684285203,19.861658189190404,25.268610864857568,10.696981502104377,0.5443546996568731,RNN
Tesla Gigafactory Nevada,EUA,mensal,39.5403926,-119.4390524,0.047022613031872766,0.07073816989659648,12.636902515931851,19.217534718537568,8.650508403461576,0.9580481866436299,0.03646502371714269,0.04573763594637197,10.01873611161515,12.285452258735205,5.530127019986584,0.9828549922270944,0.036036614582842096,0.0468381674879538,9.658336330232805,12.411754206403826,5.586980101075442,0.9825006578661625,0.07169301425573707,0.07877821249387623,19.593506929264773,21.477699686326186,9.667890514820797,0.9476000442533766,MLP
Tesla Gigafactory Texas,EUA,mensal,30.2219321,-97.6187733,0.07376537179168599,0.0959189514391702,15.84926246096522,20.469007899424575,9.799079090576152,0.8740376168215598,0.07119563060496767,0.08662398461946445,15.129542264418694,18.43689517719073,8.82625063772792,0.8978065985562595,0.0719809380073951,0.08909324466176793,15.260802042616021,19.00418973035153,9.097830199443365,0.8914209601888794,0.08066723038127105,0.10011178664508733,17.091596938720304,21.26027378713125,10.177879912453339,0.8641107856948362,MLP
Hyundai Metaplant Georgia,EUA,mensal,32.1605262,-81.4509985,0.06295062875096488,0.08331940231509448,12.04947245176576,15.984510792968374,8.05890849175373,0.9150216908835385,0.07583401316553606,0.10662888043219942,14.66303448263146,20.50644893605641,10.33873339052687,0.8601410354078252,0.08724706772509523,0.11087780634184438,16.750138039199644,21.301046661452897,10.73934561067332,0.8490923436607927,0.08723387220419769,0.11015130041125709,16.919968931599907,21.226514925574577,10.701768956188582,0.8501465390329772,XGBoost
Rivian Normal,EUA,mensal,40.5092914,-89.0545444,0.0971684746696,0.126071965053983,23.793533453544153,30.794251798678506,17.117449091460212,0.8392657983653911,0.08355367083595512,0.09710126011592635,20.44597812001877,23.728356675693533,13.18976476764486,0.904565740508845,0.08950094219658944,0.10855740520716141,21.763897927062885,26.532911109373455,14.748718628793883,0.8806729818174518,0.10085562298812578,0.13157377149854285,24.588390830023517,32.137038008567835,17.863857048983043,0.8249425181084108,MLP
Tesla Fremont Factory,EUA,mensal,37.4926897,-121.9415083,0.03707140408642101,0.048899107242494196,10.353503122683664,13.710513311447436,6.214112500747212,0.9789407670498756,0.04355088488503753,0.04935678096019535,12.439686679152487,14.065021502229909,6.374788744584071,0.9778376443463968,0.03555218486257112,0.043518034859489685,10.130667921131746,12.171877535929932,5.516745772781079,0.9834022099237474,0.0737847358848792,0.07976947309875448,20.518287429925223,22.36954159862378,10.138704870220332,0.9439404911888885,RNN
Lucid AMP 1 Casa Grande,EUA,mensal,32.8568519,-111.7784376,0.0235948866365228,0.027788259346057945,5.609877079131745,6.652817200716702,2.6980747551024167,0.9920231785635378,0.06978096378818414,0.08343406826644514,17.074031785816874,20.35023958074406,8.253115336939743,0.9253623868989165,0.03661552264191346,0.04311062450115603,8.906248550667021,10.48208050806834,4.251046729004303,0.9801977895678367,0.06608856774455919,0.07783593196782633,16.219108227142954,19.07628557498706,7.736458552544062,0.9344147286286784,XGBoost
GM Factory Zero,EUA,mensal,42.3815123,-83.0453415,0.06190756544607675,0.07832039302410242,16.855013761599526,21.168218088620026,13.207054966791024,0.924673186824586,0.054290482497288954,0.06314140273289845,14.564139064858436,17.063666225412327,10.646185561322682,0.9510530441740392,0.04834526719579233,0.05966264221807568,13.039407451109952,16.12433761695733,10.060129403368895,0.9562936280104556,0.06292860143942626,0.07581054884091748,17.30468367070534,20.761578620520112,12.953348689560753,0.9275394316071858,RNN
Ford Rouge Electric Vehicle Center,EUA,mensal,42.3056229,-83.1676332,0.05150906546065814,0.06783177555565342,14.014650335543209,18.56703055199546,11.572174608021447,0.9425728456263985,0.05460504508984091,0.06170561843914591,14.912320959607827,16.887046010133272,10.525099557287673,0.9524949514908706,0.04403370502465979,0.05578484574529888,12.098448056072913,15.379413556775104,9.585445478186402,0.960598573685324,0.05768223673476791,0.07381378248591453,15.748541425123145,20.12851562357363,12.54539312271708,0.93250744164814,RNN
BMW San Luis Potosi,Mexico,mensal,21.9682649,-100.8491733,0.1068008444284204,0.12682815225543434,21.072927085259334,24.91060741311399,10.051937568954333,0.6928970320246453,0.12437582978104327,0.15428505857887265,24.576864530563995,30.36065687120318,12.251143553453353,0.5438184610191705,0.1204771974033571,0.13682535728557704,23.73315289636732,26.841584536298473,10.831126175937525,0.6434407736675143,0.1948446343577127,0.21996452355907312,38.10817149302972,43.14606905266977,17.4103178325114,0.0787068389523794,XGBoost
