Localidade,Pais,Frequencia,Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2
BYD Camacari,Brasil,mensal,XGBoost,0.12965999405801765,0.021511961814564436,0.14666956676340337,0.6361022125023759,0.27732558281318453,27.732558281318454,20.08781416842591,512.9998434710872,22.64949985035182,0.6339154563163365,0.09588231115153346,9.588231115153347,0.12965999405801765,0.021511961814564436,0.14666956676340337,0.6361022125023759
BYD Camacari,Brasil,mensal,MLP,0.11293024641085947,0.022770652631632693,0.1508994785664705,0.6148101143003137,0.2853235798204728,28.53235798204728,17.43843365706672,541.6146168441985,23.27261516985572,0.6134955158695178,0.0985201502801106,9.85201502801106,0.11293024641085947,0.022770652631632693,0.1508994785664705,0.6148101143003137
BYD Camacari,Brasil,mensal,RNN,0.10868679815194426,0.020456890382029618,0.14302758608754332,0.6539498715518367,0.2704392570687544,27.043925706875438,16.737202638984762,485.2195698393887,22.027700057867794,0.6537398849692875,0.09325004105414382,9.325004105414383,0.10868679815194426,0.020456890382029618,0.14302758608754332,0.6539498715518367
BYD Camacari,Brasil,mensal,LSTM,0.12889786340354936,0.026860183456338088,0.16389076684285203,0.5456313368442252,0.3098877526904547,30.988775269045473,19.861658189190404,638.5026950395979,25.268610864857568,0.5443546996568731,0.10696981502104376,10.696981502104377,0.12889786340354936,0.026860183456338088,0.16389076684285203,0.5456313368442252
Tesla Gigafactory Nevada,EUA,mensal,XGBoost,0.047022613031872766,0.005003888680319748,0.07073816989659648,0.957230872039103,0.1389239316010477,13.89239316010477,12.636902515931851,369.31364065819685,19.217534718537568,0.9580481866436299,0.08650508403461575,8.650508403461576,0.047022613031872766,0.005003888680319748,0.07073816989659648,0.957230872039103
Tesla Gigafactory Nevada,EUA,mensal,MLP,0.03646502371714269,0.0020919313419628578,0.04573763594637197,0.9821198901562888,0.08982494482251402,8.982494482251402,10.01873611161515,150.93233720166197,12.285452258735205,0.9828549922270944,0.05530127019986584,5.530127019986584,0.03646502371714269,0.0020919313419628578,0.04573763594637197,0.9821198901562888
Tesla Gigafactory Nevada,EUA,mensal,RNN,0.036036614582842096,0.0021938139336296126,0.0468381674879538,0.9812490814955923,0.09198629800469277,9.198629800469277,9.658336330232805,154.05164248018306,12.411754206403826,0.9825006578661625,0.05586980101075442,5.586980101075442,0.036036614582842096,0.0021938139336296126,0.0468381674879538,0.9812490814955923
Tesla Gigafactory Nevada,EUA,mensal,LSTM,0.07169301425573707,0.006206006763730318,0.07877821249387623,0.9469561546306794,0.15471391216580846,15.471391216580846,19.593506929264773,461.29158381601593,21.477699686326186,0.9476000442533766,0.09667890514820797,9.667890514820797,0.07169301425573707,0.006206006763730318,0.07877821249387623,0.9469561546306794
Tesla Gigafactory Texas,EUA,mensal,XGBoost,0.07376537179168599,0.00920044524518989,0.0959189514391702,0.8753420955915496,0.19942766984078503,19.942766984078503,15.84926246096522,418.9802843867056,20.469007899424575,0.8740376168215598,0.09799079090576152,9.799079090576152,0.07376537179168599,0.00920044524518989,0.0959189514391702,0.8753420955915496
Tesla Gigafactory Texas,EUA,mensal,MLP,0.07119563060496767,0.007503714711353215,0.08662398461946445,0.8983312952506087,0.18010225451577608,18.010225451577607,15.129542264418694,339.9191037747189,18.43689517719073,0.8978065985562595,0.0882625063772792,8.82625063772792,0.07119563060496767,0.007503714711353215,0.08662398461946445,0.8983312952506087
