Localidade,Pais,Frequencia,Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2
Tesla Gigafactory Texas,EUA,mensal,RNN,0.0719809380073951,0.00793760624436164,0.08909324466176793,0.8924524483248386,0.18523615943319832,18.523615943319832,15.260802042616021,361.15922730719853,19.00418973035153,0.8914209601888794,0.09097830199443366,9.097830199443365,0.0719809380073951,0.00793760624436164,0.08909324466176793,0.8924524483248386
Tesla Gigafactory Texas,EUA,mensal,LSTM,0.08066723038127105,0.010022369825271485,0.10011178664508733,0.8642057437081085,0.20814510620342855,20.814510620342855,17.091596938720304,451.99924150378024,21.26027378713125,0.8641107856948362,0.10177879912453339,10.177879912453339,0.08066723038127105,0.010022369825271485,0.10011178664508733,0.8642057437081085
Hyundai Metaplant Georgia,EUA,mensal,XGBoost,0.06295062875096488,0.0069421228021445715,0.08331940231509448,0.9139008917203487,0.16751816507678627,16.751816507678626,12.04947245176576,255.50458529052244,15.984510792968374,0.9150216908835385,0.0805890849175373,8.05890849175373,0.06295062875096488,0.0069421228021445715,0.08331940231509448,0.9139008917203487
Hyundai Metaplant Georgia,EUA,mensal,MLP,0.07583401316553606,0.011369718142224282,0.10662888043219942,0.8589880039093988,0.21438313163413183,21.438313163413184,14.66303448263146,420.5144479670891,20.50644893605641,0.8601410354078252,0.1033873339052687,10.33873339052687,0.07583401316553606,0.011369718142224282,0.10662888043219942,0.8589880039093988
Hyundai Metaplant Georgia,EUA,mensal,RNN,0.08724706772509523,0.012293887939179545,0.11087780634184438,0.8475260638537931,0.22292582699864227,22.292582699864226,16.750138039199644,453.73458887339365,21.301046661452897,0.8490923436607927,0.1073934561067332,10.73934561067332,0.08724706772509523,0.012293887939179545,0.11087780634184438,0.8475260638537931
Hyundai Metaplant Georgia,EUA,mensal,LSTM,0.08723387220419769,0.012133308982291008,0.11015130041125709,0.8495176311871033,0.2214651475287016,22.14651475287016,16.919968931599907,450.56493588564035,21.226514925574577,0.8501465390329772,0.10701768956188581,10.701768956188582,0.08723387220419769,0.012133308982291008,0.11015130041125709,0.8495176311871033
Rivian Normal,EUA,mensal,XGBoost,0.0971684746696,0.01589414037257271,0.126071965053983,0.8395180196760028,0.23720206758304951,23.72020675830495,23.793533453544153,948.2859438404145,30.794251798678506,0.8392657983653911,0.17117449091460213,17.117449091460212,0.0971684746696,0.01589414037257271,0.126071965053983,0.8395180196760028
Rivian Normal,EUA,mensal,MLP,0.08355367083595512,0.00942865471610079,0.09710126011592635,0.9047995585063449,0.1826942227366318,18.26942227366318,20.44597812001877,563.0349105289298,23.728356675693533,0.904565740508845,0.1318976476764486,13.18976476764486,0.08355367083595512,0.00942865471610079,0.09710126011592635,0.9047995585063449
Rivian Normal,EUA,mensal,RNN,0.08950094219658944,0.011784710225311835,0.10855740520716141,0.8810106372430145,0.20424874757495556,20.424874757495555,21.763897927062885,703.9953719379132,26.532911109373455,0.8806729818174518,0.14748718628793883,14.748718628793883,0.08950094219658944,0.011784710225311835,0.10855740520716141,0.8810106372430145
Rivian Normal,EUA,mensal,LSTM,0.10085562298812578,0.01731165734635077,0.13157377149854285,0.8252054538018938,0.24755361452318436,24.755361452318436,24.588390830023517,1032.7892119641338,32.137038008567835,0.8249425181084108,0.17863857048983042,17.863857048983043,0.10085562298812578,0.01731165734635077,0.13157377149854285,0.8252054538018938
Tesla Fremont Factory,EUA,mensal,XGBoost,0.03707140408642101,0.0023911226891129484,0.048899107242494196,0.9791240581941337,0.0946915367694551,9.46915367694551,10.353503122683664,187.97817526337732,13.710513311447436,0.9789407670498756,0.06214112500747212,6.214112500747212,0.03707140408642101,0.0023911226891129484,0.048899107242494196,0.9791240581941337
Tesla Fremont Factory,EUA,mensal,MLP,0.04355088488503753,0.0024360918267527024,0.04935678096019535,0.978731450527157,0.09557780709445708,9.557780709445709,12.439686679152487,197.8248298581897,14.065021502229909,0.9778376443463968,0.06374788744584071,6.374788744584071,0.04355088488503753,0.0024360918267527024,0.04935678096019535,0.978731450527157
Tesla Fremont Factory,EUA,mensal,RNN,0.03555218486257112,0.0018938193580317591,0.043518034859489685,0.9834658159160538,0.08427126445471701,8.427126445471702,10.130667921131746,148.1546027496757,12.171877535929932,0.9834022099237474,0.055167457727810794,5.516745772781079,0.03555218486257112,0.0018938193580317591,0.043518034859489685,0.9834658159160538
Tesla Fremont Factory,EUA,mensal,LSTM,0.0737847358848792,0.0063631688384529145,0.07976947309875448,0.9444457020222059,0.15447100000317898,15.447100000317898,20.518287429925223,500.3963913325597,22.36954159862378,0.9439404911888885,0.10138704870220332,10.138704870220332,0.0737847358848792,0.0063631688384529145,0.07976947309875448,0.9444457020222059
Lucid AMP 1 Casa Grande,EUA,mensal,XGBoost,0.0235948866365228,0.0007721873574837768,0.027788259346057945,0.991649452330866,0.052542564818104605,5.254256481810461,5.609877079131745,44.25997670615201,6.652817200716702,0.9920231785635378,0.026980747551024167,2.6980747551024167,0.0235948866365228,0.0007721873574837768,0.027788259346057945,0.991649452330866
Lucid AMP 1 Casa Grande,EUA,mensal,MLP,0.06978096378818414,0.006961243747489829,0.08343406826644514,0.9247200861468444,0.15775870972464318,15.775870972464318,17.074031785816874,414.13225099368213,20.35023958074406,0.9253623868989165,0.08253115336939743,8.253115336939743,0.06978096378818414,0.006961243747489829,0.08343406826644514,0.9247200861468444
Lucid AMP 1 Casa Grande,EUA,mensal,RNN,0.03661552264191346,0.0018585259448796745,0.04311062450115603,0.9799016270512224,0.08151438181111884,8.151438181111883,8.906248550667021,109.87401177762622,10.48208050806834,0.9801977895678367,0.04251046729004303,4.251046729004303,0.03661552264191346,0.0018585259448796745,0.04311062450115603,0.9799016270512224
Lucid AMP 1 Casa Grande,EUA,mensal,LSTM,0.06608856774455919,0.006058432305300089,0.07783593196782633,0.9344832218822069,0.147173648038421,14.7173648038421,16.219108227142954,363.9046713384594,19.07628557498706,0.9344147286286784,0.07736458552544062,7.736458552544062,0.06608856774455919,0.006058432305300089,0.07783593196782633,0.9344832218822069
GM Factory Zero,EUA,mensal,XGBoost,0.06190756544607675,0.0061340839634498705,0.07832039302410242,0.923912775867352,0.17198887459471485,17.198887459471486,16.855013761599526,448.0934570473801,21.168218088620026,0.924673186824586,0.13207054966791024,13.207054966791024,0.06190756544607675,0.0061340839634498705,0.07832039302410242,0.923912775867352
GM Factory Zero,EUA,mensal,MLP,0.054290482497288954,0.003986836739078076,0.06314140273289845,0.9505472467683824,0.13865633683708536,13.865633683708536,14.564139064858436,291.1687050522774,17.063666225412327,0.9510530441740392,0.10646185561322681,10.646185561322682,0.054290482497288954,0.003986836739078076,0.06314140273289845,0.9505472467683824
GM Factory Zero,EUA,mensal,RNN,0.04834526719579233,0.003559630876442106,0.05966264221807568,0.9558463115374409,0.13101709904949185,13.101709904949185,13.039407451109952,259.9942635856252,16.12433761695733,0.9562936280104556,0.10060129403368896,10.060129403368895,0.04834526719579233,0.003559630876442106,0.05966264221807568,0.9558463115374409
GM Factory Zero,EUA,mensal,LSTM,0.06292860143942626,0.005747239315561135,0.07581054884091748,0.9287111998217368,0.166477343564205,16.6477343564205,17.30468367070534,431.0431468160378,20.761578620520112,0.9275394316071858,0.12953348689560754,12.953348689560753,0.06292860143942626,0.005747239315561135,0.07581054884091748,0.9287111998217368
Ford Rouge Electric Vehicle Center,EUA,mensal,XGBoost,0.05150906546065814,0.0046011497750325404,0.06783177555565342,0.9439942139609563,0.14704925454739096,14.704925454739096,14.014650335543209,344.73462351873286,18.56703055199546,0.9425728456263985,0.11572174608021447,11.572174608021447,0.05150906546065814,0.0046011497750325404,0.06783177555565342,0.9439942139609563
Ford Rouge Electric Vehicle Center,EUA,mensal,MLP,0.05460504508984091,0.003807583346957464,0.06170561843914591,0.9536536064501361,0.13376865220662643,13.376865220662642,14.912320959607827,285.17232294835804,16.887046010133272,0.9524949514908706,0.10525099557287673,10.525099557287673,0.05460504508984091,0.003807583346957464,0.06170561843914591,0.9536536064501361
Ford Rouge Electric Vehicle Center,EUA,mensal,RNN,0.04403370502465979,0.00311194901482679,0.05578484574529888,0.9621209568889616,0.12093329291015008,12.093329291015008,12.098448056072913,236.52636135031787,15.379413556775104,0.960598573685324,0.09585445478186402,9.585445478186402,0.04403370502465979,0.00311194901482679,0.05578484574529888,0.9621209568889616
Ford Rouge Electric Vehicle Center,EUA,mensal,LSTM,0.05768223673476791,0.005448474484877903,0.07381378248591453,0.9336804687612885,0.1600173606095786,16.00173606095786,15.748541425123145,405.1571412084477,20.12851562357363,0.93250744164814,0.1254539312271708,12.54539312271708,0.05768223673476791,0.005448474484877903,0.07381378248591453,0.9336804687612885
BMW San Luis Potosi,Mexico,mensal,XGBoost,0.1068008444284204,0.016085380204527638,0.12682815225543434,0.6938346717538273,0.21964330004236582,21.964330004236583,21.072927085259334,620.5383616902897,24.91060741311399,0.6928970320246453,0.10051937568954333,10.051937568954333,0.1068008444284204,0.016085380204527638,0.12682815225543434,0.6938346717538273
BMW San Luis Potosi,Mexico,mensal,MLP,0.12437582978104327,0.023803879300686167,0.15428505857887265,0.5469225826831567,0.26719366962977487,26.719366962977485,24.576864530563995,921.7694856509369,30.36065687120318,0.5438184610191705,0.12251143553453353,12.251143553453353,0.12437582978104327,0.023803879300686167,0.15428505857887265,0.5469225826831567
BMW San Luis Potosi,Mexico,mensal,RNN,0.1204771974033571,0.018721178396325814,0.13682535728557704,0.6436655114155836,0.23695664148093112,23.695664148093112,23.73315289636732,720.4706604192573,26.841584536298473,0.6434407736675143,0.10831126175937525,10.831126175937525,0.1204771974033571,0.018721178396325814,0.13682535728557704,0.6436655114155836
BMW San Luis Potosi,Mexico,mensal,LSTM,0.1948446343577127,0.04838439162457003,0.21996452355907312,0.07906291580486313,0.3809385612545766,38.09385612545766,38.10817149302972,1861.5832746977485,43.14606905266977,0.0787068389523794,0.174103178325114,17.4103178325114,0.1948446343577127,0.04838439162457003,0.21996452355907312,0.07906291580486313
