data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,66.06854838709677,0.1334415,82.7891767370084
2024-02-29,147.78735632183907,0.27622983,117.71109656072272
2024-03-31,173.11693548387098,0.44148612,158.12803215333213
2024-04-30,193.85833333333332,0.6659629,213.02858962062547
2024-05-31,264.4139784946237,0.7817815,241.35449266409682
2024-06-30,280.38194444444446,0.8839253,266.33593403123405
2024-07-31,270.79569892473114,0.8697692,262.87375838285493
2024-08-31,251.71774193548387,0.7458253,232.56063940512237
2024-09-30,206.58333333333334,0.59401524,195.43226775190524
2024-10-31,167.65994623655914,0.3275606,130.26512768151622
2024-11-30,75.10833333333333,0.2203734,104.05022246272415
2024-12-31,61.30510752688172,0.062022317,65.32210061853873
