data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,66.06854838709677,0.50564325,173.81902036407303
2024-02-29,147.78735632183907,0.4980372,171.95879703259436
2024-03-31,173.11693548387098,0.509713,174.81436306342323
2024-04-30,193.85833333333332,0.52146876,177.68948492007232
2024-05-31,264.4139784946237,0.53180456,180.21732504842103
2024-06-30,280.38194444444446,0.54787993,184.14889882681192
2024-07-31,270.79569892473114,0.55957645,187.00953056727369
2024-08-31,251.71774193548387,0.56514454,188.37132451483
2024-09-30,206.58333333333334,0.56561714,188.48691015994999
2024-10-31,167.65994623655914,0.5590171,186.8727345408131
2024-11-30,75.10833333333333,0.5479421,184.16410324450143
2024-12-31,61.30510752688172,0.5232534,178.12595229307493
