tarefa,resolucao,tipo_horizonte,horizonte,localidade,metrica,valor_timesnet,valor_dilatedrnn,diferenca_timesnet_menos_dilatedrnn,melhor_timesnet,unidade_pareamento
hourly_72_extension,horaria,lead_exato,24,Tesla Gigafactory Nevada,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,24,Tesla Gigafactory Texas,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,48,BMW San Luis Potosi,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,48,BYD Camacari,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,48,Ford Rouge Electric Vehicle Center,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,48,GM Factory Zero,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,48,Hyundai Metaplant Georgia,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,48,Lucid AMP 1 Casa Grande,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,48,Rivian Normal,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,48,Tesla Fremont Factory,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,48,Tesla Gigafactory Nevada,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,48,Tesla Gigafactory Texas,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,72,BMW San Luis Potosi,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,72,BYD Camacari,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,72,Ford Rouge Electric Vehicle Center,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,72,GM Factory Zero,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,72,Hyundai Metaplant Georgia,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,72,Lucid AMP 1 Casa Grande,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,72,Rivian Normal,MAE_wm2,0.0,0.0,0.0,False,localidade
