ajuste,localidade,localidade_id,inicio_local_inclusivo,fim_local_exclusivo,N_horas_ajuste,minimo_treino_wm2,maximo_treino_wm2,amplitude_real_wm2,amplitude_escala_wm2
treino_para_validacao,BMW San Luis Potosi,0,2019-01-01T00:00:00,2023-01-01T00:00:00,35064,0.0,1136.5,1136.5,1136.5
treino_para_validacao,BYD Camacari,1,2019-01-01T00:00:00,2023-01-01T00:00:00,35064,0.0,1087.5,1087.5,1087.5
treino_para_validacao,Ford Rouge Electric Vehicle Center,2,2019-01-01T00:00:00,2023-01-01T00:00:00,35064,0.0,1023.0,1023.0,1023.0
treino_para_validacao,GM Factory Zero,3,2019-01-01T00:00:00,2023-01-01T00:00:00,35064,0.0,1023.0,1023.0,1023.0
treino_para_validacao,Hyundai Metaplant Georgia,4,2019-01-01T00:00:00,2023-01-01T00:00:00,35064,0.0,1038.5,1038.5,1038.5
treino_para_validacao,Lucid AMP 1 Casa Grande,5,2019-01-01T00:00:00,2023-01-01T00:00:00,35064,0.0,1107.5,1107.5,1107.5
treino_para_validacao,Rivian Normal,6,2019-01-01T00:00:00,2023-01-01T00:00:00,35064,0.0,1031.0,1031.0,1031.0
treino_para_validacao,Tesla Fremont Factory,7,2019-01-01T00:00:00,2023-01-01T00:00:00,35064,0.0,1048.0,1048.0,1048.0
treino_para_validacao,Tesla Gigafactory Nevada,8,2019-01-01T00:00:00,2023-01-01T00:00:00,35064,0.0,1078.5,1078.5,1078.5
treino_para_validacao,Tesla Gigafactory Texas,9,2019-01-01T00:00:00,2023-01-01T00:00:00,35064,0.0,1062.0,1062.0,1062.0
refit_para_teste,BMW San Luis Potosi,0,2019-01-01T00:00:00,2024-01-01T00:00:00,43824,0.0,1136.5,1136.5,1136.5
refit_para_teste,BYD Camacari,1,2019-01-01T00:00:00,2024-01-01T00:00:00,43824,0.0,1087.5,1087.5,1087.5
refit_para_teste,Ford Rouge Electric Vehicle Center,2,2019-01-01T00:00:00,2024-01-01T00:00:00,43824,0.0,1023.0,1023.0,1023.0
refit_para_teste,GM Factory Zero,3,2019-01-01T00:00:00,2024-01-01T00:00:00,43824,0.0,1023.0,1023.0,1023.0
refit_para_teste,Hyundai Metaplant Georgia,4,2019-01-01T00:00:00,2024-01-01T00:00:00,43824,0.0,1045.5,1045.5,1045.5
refit_para_teste,Lucid AMP 1 Casa Grande,5,2019-01-01T00:00:00,2024-01-01T00:00:00,43824,0.0,1107.5,1107.5,1107.5
refit_para_teste,Rivian Normal,6,2019-01-01T00:00:00,2024-01-01T00:00:00,43824,0.0,1031.0,1031.0,1031.0
refit_para_teste,Tesla Fremont Factory,7,2019-01-01T00:00:00,2024-01-01T00:00:00,43824,0.0,1048.0,1048.0,1048.0
refit_para_teste,Tesla Gigafactory Nevada,8,2019-01-01T00:00:00,2024-01-01T00:00:00,43824,0.0,1078.5,1078.5,1078.5
refit_para_teste,Tesla Gigafactory Texas,9,2019-01-01T00:00:00,2024-01-01T00:00:00,43824,0.0,1062.0,1062.0,1062.0
