Localidade,localidade_id,latitude_grade,longitude_grade,offset_fixo_nsrdb_horas,convencao_temporal,hora_local_origem,frequencia_origens,politica_borda,seq_len_h,pred_len_h,horizontes_avaliacao_h,xgboost_multi_strategy,normalizacao,pos_processamento,centro_intervalo_solar_minutos,minimo_escala_validacao_wm2,maximo_escala_validacao_wm2,minimo_escala_refit_wm2,maximo_escala_refit_wm2,N_origens_treino_2019_2022,primeira_origem_treino_2019_2022,ultima_origem_treino_2019_2022,N_origens_validacao_2023,primeira_origem_validacao_2023,ultima_origem_validacao_2023,N_origens_refit_2019_2023,primeira_origem_refit_2019_2023,ultima_origem_refit_2019_2023,N_origens_teste_2024,primeira_origem_teste_2024,ultima_origem_teste_2024,extensao_modelo,extensao_semente,fonte_oficial_somente_leitura
BMW San Luis Potosi,0,21.97,-100.86,-6.0,timestamp_utc + offset_fixo_nsrdb,00:00,diaria,excluir_origem_sem_pred_len_horas_totalmente_observadas,336,72,24/48/72,multi_output_tree,minmax_por_localidade_pre_corte,clip_min_zero_e_mascara_elevacao_solar_le_zero,30,0.0,1136.5,0.0,1136.5,1445,2019-01-15T00:00:00,2022-12-29T00:00:00,363,2023-01-01T00:00:00,2023-12-29T00:00:00,1810,2019-01-15T00:00:00,2023-12-29T00:00:00,363,2024-01-01T00:00:00,2024-12-28T00:00:00,DilatedRNN_direta,42,C:\Users\gm.nascimento\Documents\Meus Projetos\TCC\resultados\avaliacao_horaria_timesnet
BYD Camacari,1,-12.67,-38.3,-3.0,timestamp_utc + offset_fixo_nsrdb,00:00,diaria,excluir_origem_sem_pred_len_horas_totalmente_observadas,336,72,24/48/72,multi_output_tree,minmax_por_localidade_pre_corte,clip_min_zero_e_mascara_elevacao_solar_le_zero,30,0.0,1087.5,0.0,1087.5,1445,2019-01-15T00:00:00,2022-12-29T00:00:00,363,2023-01-01T00:00:00,2023-12-29T00:00:00,1810,2019-01-15T00:00:00,2023-12-29T00:00:00,363,2024-01-01T00:00:00,2024-12-28T00:00:00,DilatedRNN_direta,42,C:\Users\gm.nascimento\Documents\Meus Projetos\TCC\resultados\avaliacao_horaria_timesnet
Ford Rouge Electric Vehicle Center,2,42.29,-83.18,-5.0,timestamp_utc + offset_fixo_nsrdb,00:00,diaria,excluir_origem_sem_pred_len_horas_totalmente_observadas,336,72,24/48/72,multi_output_tree,minmax_por_localidade_pre_corte,clip_min_zero_e_mascara_elevacao_solar_le_zero,30,0.0,1023.0,0.0,1023.0,1445,2019-01-15T00:00:00,2022-12-29T00:00:00,363,2023-01-01T00:00:00,2023-12-29T00:00:00,1810,2019-01-15T00:00:00,2023-12-29T00:00:00,363,2024-01-01T00:00:00,2024-12-28T00:00:00,DilatedRNN_direta,42,C:\Users\gm.nascimento\Documents\Meus Projetos\TCC\resultados\avaliacao_horaria_timesnet
GM Factory Zero,3,42.37,-83.06,-5.0,timestamp_utc + offset_fixo_nsrdb,00:00,diaria,excluir_origem_sem_pred_len_horas_totalmente_observadas,336,72,24/48/72,multi_output_tree,minmax_por_localidade_pre_corte,clip_min_zero_e_mascara_elevacao_solar_le_zero,30,0.0,1023.0,0.0,1023.0,1445,2019-01-15T00:00:00,2022-12-29T00:00:00,363,2023-01-01T00:00:00,2023-12-29T00:00:00,1810,2019-01-15T00:00:00,2023-12-29T00:00:00,363,2024-01-01T00:00:00,2024-12-28T00:00:00,DilatedRNN_direta,42,C:\Users\gm.nascimento\Documents\Meus Projetos\TCC\resultados\avaliacao_horaria_timesnet
Hyundai Metaplant Georgia,4,32.17,-81.46,-5.0,timestamp_utc + offset_fixo_nsrdb,00:00,diaria,excluir_origem_sem_pred_len_horas_totalmente_observadas,336,72,24/48/72,multi_output_tree,minmax_por_localidade_pre_corte,clip_min_zero_e_mascara_elevacao_solar_le_zero,30,0.0,1038.5,0.0,1045.5,1445,2019-01-15T00:00:00,2022-12-29T00:00:00,363,2023-01-01T00:00:00,2023-12-29T00:00:00,1810,2019-01-15T00:00:00,2023-12-29T00:00:00,363,2024-01-01T00:00:00,2024-12-28T00:00:00,DilatedRNN_direta,42,C:\Users\gm.nascimento\Documents\Meus Projetos\TCC\resultados\avaliacao_horaria_timesnet
Lucid AMP 1 Casa Grande,5,32.85,-111.78,-7.0,timestamp_utc + offset_fixo_nsrdb,00:00,diaria,excluir_origem_sem_pred_len_horas_totalmente_observadas,336,72,24/48/72,multi_output_tree,minmax_por_localidade_pre_corte,clip_min_zero_e_mascara_elevacao_solar_le_zero,30,0.0,1107.5,0.0,1107.5,1445,2019-01-15T00:00:00,2022-12-29T00:00:00,363,2023-01-01T00:00:00,2023-12-29T00:00:00,1810,2019-01-15T00:00:00,2023-12-29T00:00:00,363,2024-01-01T00:00:00,2024-12-28T00:00:00,DilatedRNN_direta,42,C:\Users\gm.nascimento\Documents\Meus Projetos\TCC\resultados\avaliacao_horaria_timesnet
Rivian Normal,6,40.49,-89.06,-6.0,timestamp_utc + offset_fixo_nsrdb,00:00,diaria,excluir_origem_sem_pred_len_horas_totalmente_observadas,336,72,24/48/72,multi_output_tree,minmax_por_localidade_pre_corte,clip_min_zero_e_mascara_elevacao_solar_le_zero,30,0.0,1031.0,0.0,1031.0,1445,2019-01-15T00:00:00,2022-12-29T00:00:00,363,2023-01-01T00:00:00,2023-12-29T00:00:00,1810,2019-01-15T00:00:00,2023-12-29T00:00:00,363,2024-01-01T00:00:00,2024-12-28T00:00:00,DilatedRNN_direta,42,C:\Users\gm.nascimento\Documents\Meus Projetos\TCC\resultados\avaliacao_horaria_timesnet
Tesla Fremont Factory,7,37.49,-121.94,-8.0,timestamp_utc + offset_fixo_nsrdb,00:00,diaria,excluir_origem_sem_pred_len_horas_totalmente_observadas,336,72,24/48/72,multi_output_tree,minmax_por_localidade_pre_corte,clip_min_zero_e_mascara_elevacao_solar_le_zero,30,0.0,1048.0,0.0,1048.0,1445,2019-01-15T00:00:00,2022-12-29T00:00:00,363,2023-01-01T00:00:00,2023-12-29T00:00:00,1810,2019-01-15T00:00:00,2023-12-29T00:00:00,363,2024-01-01T00:00:00,2024-12-28T00:00:00,DilatedRNN_direta,42,C:\Users\gm.nascimento\Documents\Meus Projetos\TCC\resultados\avaliacao_horaria_timesnet
Tesla Gigafactory Nevada,8,39.53,-119.42,-8.0,timestamp_utc + offset_fixo_nsrdb,00:00,diaria,excluir_origem_sem_pred_len_horas_totalmente_observadas,336,72,24/48/72,multi_output_tree,minmax_por_localidade_pre_corte,clip_min_zero_e_mascara_elevacao_solar_le_zero,30,0.0,1078.5,0.0,1078.5,1445,2019-01-15T00:00:00,2022-12-29T00:00:00,363,2023-01-01T00:00:00,2023-12-29T00:00:00,1810,2019-01-15T00:00:00,2023-12-29T00:00:00,363,2024-01-01T00:00:00,2024-12-28T00:00:00,DilatedRNN_direta,42,C:\Users\gm.nascimento\Documents\Meus Projetos\TCC\resultados\avaliacao_horaria_timesnet
Tesla Gigafactory Texas,9,30.21,-97.62,-6.0,timestamp_utc + offset_fixo_nsrdb,00:00,diaria,excluir_origem_sem_pred_len_horas_totalmente_observadas,336,72,24/48/72,multi_output_tree,minmax_por_localidade_pre_corte,clip_min_zero_e_mascara_elevacao_solar_le_zero,30,0.0,1062.0,0.0,1062.0,1445,2019-01-15T00:00:00,2022-12-29T00:00:00,363,2023-01-01T00:00:00,2023-12-29T00:00:00,1810,2019-01-15T00:00:00,2023-12-29T00:00:00,363,2024-01-01T00:00:00,2024-12-28T00:00:00,DilatedRNN_direta,42,C:\Users\gm.nascimento\Documents\Meus Projetos\TCC\resultados\avaliacao_horaria_timesnet
