fase,modelo,semente,epoca,mse_treino_normalizado,mse_validacao_normalizado
selecao_epocas,DilatedRNN,42,1,0.05498329108664734,0.018253183277294766
selecao_epocas,DilatedRNN,42,2,0.015567283059718494,0.014068493727773638
selecao_epocas,DilatedRNN,42,3,0.013512619979885829,0.012245988896909678
selecao_epocas,DilatedRNN,42,4,0.01219111949965925,0.011627952746743633
selecao_epocas,DilatedRNN,42,5,0.011447672422163215,0.010864730986171007
selecao_epocas,DilatedRNN,42,6,0.011087834956478908,0.011178680994403374
selecao_epocas,DilatedRNN,42,7,0.010710313451125135,0.010404560811883783
selecao_epocas,DilatedRNN,42,8,0.01056595389972921,0.010696352152128193
selecao_epocas,DilatedRNN,42,9,0.010503071212954174,0.010408351594313664
selecao_epocas,DilatedRNN,42,10,0.010318532505275676,0.010879380030846575
selecao_epocas,DilatedRNN,42,11,0.01066407177816419,0.010756536561996885
selecao_epocas,DilatedRNN,42,12,0.010558794994796642,0.010160972227698479
selecao_epocas,DilatedRNN,42,13,0.010425081569636983,0.01058678713857781
selecao_epocas,DilatedRNN,42,14,0.010343115616422212,0.010024868117438423
selecao_epocas,DilatedRNN,42,15,0.010376865043076057,0.010088306908071826
selecao_epocas,DilatedRNN,42,16,0.010537517655731073,0.011424581567409902
selecao_epocas,DilatedRNN,42,17,0.011088525520244478,0.01089173422189601
selecao_epocas,DilatedRNN,42,18,0.010772111377063302,0.010484509202439303
selecao_epocas,DilatedRNN,42,19,0.010357083934890977,0.01010383259896149
refit_epocas_fixas,DilatedRNN,42,1,0.04772631459102775,0.04772631459102775
refit_epocas_fixas,DilatedRNN,42,2,0.01429307451420232,0.01429307451420232
refit_epocas_fixas,DilatedRNN,42,3,0.012390431847567386,0.012390431847567386
refit_epocas_fixas,DilatedRNN,42,4,0.011560884957814085,0.011560884957814085
refit_epocas_fixas,DilatedRNN,42,5,0.010791612855102146,0.010791612855102146
refit_epocas_fixas,DilatedRNN,42,6,0.010687308268858253,0.010687308268858253
refit_epocas_fixas,DilatedRNN,42,7,0.01052711850927515,0.01052711850927515
refit_epocas_fixas,DilatedRNN,42,8,0.010507687098290051,0.010507687098290051
refit_epocas_fixas,DilatedRNN,42,9,0.010520692404503651,0.010520692404503651
refit_epocas_fixas,DilatedRNN,42,10,0.010381420748874298,0.010381420748874298
refit_epocas_fixas,DilatedRNN,42,11,0.010351093859097904,0.010351093859097904
refit_epocas_fixas,DilatedRNN,42,12,0.010309423455834719,0.010309423455834719
refit_epocas_fixas,DilatedRNN,42,13,0.010300603438971451,0.010300603438971451
refit_epocas_fixas,DilatedRNN,42,14,0.01032564117660674,0.01032564117660674
