data,ghi_real_normalizado,ghi_previsto_climatologia_normalizado,ghi_real_wm2,ghi_previsto_climatologia_wm2
2024-01-31,0.1350315631053078,0.09659146332966378,128.3319892473118,120.91666666666667
2024-02-29,0.2668251268939184,0.2358002859004538,153.75574712643677,147.770871818555
2024-03-31,0.4436811081227964,0.49426568749041955,187.87231182795696,197.63037634408602
2024-04-30,0.8341775709182795,0.7765933677995941,263.20138888888886,252.09305555555557
2024-05-31,0.8040718496119061,0.8482131659257814,257.39381720430106,265.908938172043
2024-06-30,0.9378118569510828,0.8339921754156157,283.19305555555553,263.165625
2024-07-31,0.7410710553085937,0.8193395437633255,245.24059139784944,260.33904569892474
2024-08-31,0.6879433118267583,0.6766523599169465,234.99193548387098,232.8138440860215
2024-09-30,0.4095030726996558,0.5438356140522009,181.27916666666667,207.19270833333331
2024-10-31,0.46384526414068916,0.40654568637560784,191.76209677419354,180.7086693548387
2024-11-30,0.13532652369207043,0.1571941932247321,128.38888888888889,132.60729166666667
2024-12-31,0.11640724070177393,0.054756413650868856,124.73924731182795,112.84643817204301
