data,ghi_real_normalizado,ghi_previsto_xgboost_normalizado,ghi_real_wm2,ghi_previsto_xgboost_wm2
2024-01-31,0.1350315631053078,0.12651736,128.3319892473118,126.68954823622781
2024-02-29,0.2668251268939184,0.17697296,153.75574712643677,136.42273187405
2024-03-31,0.4436811081227964,0.46878868,187.87231182795696,192.71571158737905
2024-04-30,0.8341775709182795,0.7350019,263.20138888888886,244.0698196231037
2024-05-31,0.8040718496119061,0.78180426,257.39381720430106,253.09826817099125
2024-06-30,0.9378118569510828,0.8388437,283.19305555555553,264.1015134149341
2024-07-31,0.7410710553085937,0.79414797,245.24059139784944,255.47944180811604
2024-08-31,0.6879433118267583,0.70432097,234.99193548387098,238.15128206197292
2024-09-30,0.4095030726996558,0.5279256,181.27916666666667,204.12357456485432
2024-10-31,0.46384526414068916,0.4374435,191.76209677419354,186.6690393282521
2024-11-30,0.13532652369207043,0.1377218,128.38888888888889,128.85095315923294
2024-12-31,0.11640724070177393,0.10440182,124.73924731182795,122.42333054444401
