data,ghi_real_normalizado,ghi_previsto_rnn_normalizado,ghi_real_wm2,ghi_previsto_rnn_wm2
2024-01-31,0.1350315631053078,0.25551105,128.3319892473118,151.573193905815
2024-02-29,0.2668251268939184,0.30544156,153.75574712643677,161.20508513319237
2024-03-31,0.4436811081227964,0.45266107,187.87231182795696,189.60459905037635
2024-04-30,0.8341775709182795,0.51901025,263.20138888888886,202.4037479807933
2024-05-31,0.8040718496119061,0.52268034,257.39381720430106,203.11173128072292
2024-06-30,0.9378118569510828,0.5563933,283.19305555555553,209.6151651046289
2024-07-31,0.7410710553085937,0.5680986,245.24059139784944,211.8731827160684
2024-08-31,0.6879433118267583,0.5475579,234.99193548387098,207.91075745721656
2024-09-30,0.4095030726996558,0.5130859,181.27916666666667,201.26090697463482
2024-10-31,0.46384526414068916,0.4282697,191.76209677419354,184.8993627815958
2024-11-30,0.13532652369207043,0.28150222,128.38888888888889,156.5870446183829
2024-12-31,0.11640724070177393,0.25906193,124.73924731182795,152.2581810287891
