data,ghi_real_normalizado,ghi_previsto_sazonalingenuo_normalizado,ghi_real_wm2,ghi_previsto_sazonalingenuo_wm2
2024-01-31,0.1350315631053078,0.10407463664107246,128.3319892473118,122.36021505376344
2024-02-29,0.2668251268939184,0.29234442902730684,153.75574712643677,158.67857142857142
2024-03-31,0.4436811081227964,0.5196485556221346,187.87231182795696,202.5268817204301
2024-04-30,0.8341775709182795,0.7030111527617137,263.20138888888886,237.8986111111111
2024-05-31,0.8040718496119061,0.6195635512325636,257.39381720430106,221.8010752688172
2024-06-30,0.9378118569510828,0.8189931392632022,283.19305555555553,260.2722222222222
2024-07-31,0.7410710553085937,0.8440239127102467,245.24059139784944,265.1008064516129
2024-08-31,0.6879433118267583,0.7513342902133471,234.99193548387098,247.22043010752688
2024-09-30,0.4095030726996558,0.5989520770334861,181.27916666666667,217.825
2024-10-31,0.46384526414068916,0.41811708309527446,191.76209677419354,182.94086021505373
2024-11-30,0.13532652369207043,0.12461318357696614,128.38888888888889,126.32222222222222
2024-12-31,0.11640724070177393,0.029528574016527115,124.73924731182795,107.97983870967742
