data,ghi_real,ghi_previsto_xgboost,ghi_previsto_mlp
2023-10-26,0.06299212598425197,0.52472633,0.42934167420706304
2023-10-27,0.41732283464566927,0.34224126,0.3403408178822841
2023-10-28,0.4015748031496063,0.47550818,0.43763877754806724
2023-10-29,0.1732283464566929,0.44047022,0.4324904127907262
2023-10-30,0.07086614173228346,0.37622315,0.2882158078651089
2023-10-31,0.5590551181102362,0.26204118,0.2522591078866856
2023-11-01,0.5905511811023622,0.5658088,0.5050873254427288
2023-11-02,0.5118110236220472,0.42369896,0.5144483871219777
2023-11-03,0.5118110236220472,0.42434746,0.45540472930339615
2023-11-04,0.5196850393700787,0.42134333,0.4507735187717298
2023-11-05,0.33858267716535434,0.45390975,0.45961730056152184
2023-11-06,0.33858267716535434,0.30107105,0.3489890455198292
2023-11-07,0.47244094488188976,0.29352972,0.3884908183475066
2023-11-08,0.2440944881889764,0.39460257,0.4436978417420153
2023-11-09,0.05511811023622047,0.31718335,0.3326939797240097
2023-11-10,0.047244094488188976,0.19380948,0.2966940669795051
2023-11-11,0.28346456692913385,0.27186534,0.3166513114417191
2023-11-12,0.031496062992125984,0.4139697,0.36244409404136035
2023-11-13,0.14960629921259844,0.26365325,0.25587868483242315
2023-11-14,0.4881889763779528,0.33372784,0.30816459049713796
2023-11-15,0.4881889763779528,0.5334169,0.44355581152579926
2023-11-16,0.1889763779527559,0.3996457,0.43057627354711836
2023-11-17,0.3543307086614173,0.34222117,0.2532911305075648
2023-11-18,0.2047244094488189,0.2824534,0.3495410080202369
2023-11-19,0.023622047244094488,0.28982463,0.26342082609249295
2023-11-20,0.33858267716535434,0.23051544,0.20799521440112967
2023-11-21,0.1732283464566929,0.3683681,0.35888555643742925
2023-11-22,0.4881889763779528,0.23704553,0.27110137217616037
2023-11-23,0.07874015748031496,0.40946478,0.4120843326139942
2023-11-24,0.4645669291338583,0.2711594,0.2386552920185342
2023-11-25,0.12598425196850394,0.406727,0.40700978834740353
2023-11-26,0.3700787401574803,0.30227962,0.23737459037550523
2023-11-27,0.33858267716535434,0.3014864,0.34915228503641244
2023-11-28,0.41732283464566927,0.31198972,0.3302133008522239
2023-11-29,0.1968503937007874,0.32225367,0.36976695111449154
2023-11-30,0.2677165354330709,0.24966991,0.24567933572744916
2023-12-01,0.36220472440944884,0.28513065,0.30400313593020545
2023-12-02,0.28346456692913385,0.3139509,0.3389098953372486
2023-12-03,0.36220472440944884,0.27247295,0.2989166670498331
2023-12-04,0.4566929133858268,0.31697547,0.3323674226458169
2023-12-05,0.4409448818897638,0.369512,0.38148627870377433
2023-12-06,0.4409448818897638,0.3541493,0.3616823812172615
2023-12-07,0.2677165354330709,0.31199053,0.36029139713567165
2023-12-08,0.1968503937007874,0.33729112,0.28236020921029104
2023-12-09,0.3779527559055118,0.25656685,0.25201280241164403
2023-12-10,0.4566929133858268,0.30244607,0.35206665231374423
2023-12-11,0.44881889763779526,0.37738717,0.39424062096750745
2023-12-12,0.33070866141732286,0.37334636,0.3803333850721811
2023-12-13,0.09448818897637795,0.30917472,0.3277883257633774
2023-12-14,0.31496062992125984,0.21919882,0.22361289094639453
2023-12-15,0.13385826771653545,0.33270296,0.32572697871942957
2023-12-16,0.4409448818897638,0.23520625,0.2511570345473403
2023-12-17,0.4409448818897638,0.33846968,0.3913829910565144
2023-12-18,0.4330708661417323,0.33944193,0.3904675261491474
2023-12-19,0.4015748031496063,0.31065562,0.36836109997769817
2023-12-20,0.25984251968503935,0.3042173,0.35684341087255844
2023-12-21,0.03937007874015748,0.31435373,0.29152763730763054
2023-12-22,0.2047244094488189,0.22462079,0.20679001488042037
2023-12-23,0.08661417322834646,0.26539946,0.31039013542859095
2023-12-24,0.25196850393700787,0.17430875,0.2670843954789678
2023-12-25,0.3858267716535433,0.2915133,0.3101541666391173
2023-12-26,0.4251968503937008,0.391269,0.3725483287817728
2023-12-27,0.4409448818897638,0.34385034,0.3733363299159874
2023-12-28,0.4330708661417323,0.37116456,0.3822620227276854
2023-12-29,0.4409448818897638,0.31536776,0.3715978745415658
2023-12-30,0.44881889763779526,0.3276795,0.3760808763849467
2023-12-31,0.4330708661417323,0.3609984,0.37986762511115996
2024-01-01,0.3858267716535433,0.32680863,0.37606087325866205
2024-01-02,0.13385826771653545,0.2930771,0.3587344075419441
2024-01-03,0.10236220472440945,0.24243803,0.2647544498129817
2024-01-04,0.1732283464566929,0.25581554,0.2697495492979483
2024-01-05,0.4094488188976378,0.2804016,0.29661871883431784
2024-01-06,0.4330708661417323,0.33223534,0.38825206262346645
2024-01-07,0.4094488188976378,0.33433643,0.386738942354403
2024-01-08,0.2204724409448819,0.29571968,0.3626112157737481
2024-01-09,0.48031496062992124,0.29641664,0.2597414837564901
2024-01-10,0.4566929133858268,0.39333782,0.4096040083209021
2024-01-11,0.33858267716535434,0.36729035,0.38520181122542757
2024-01-12,0.48031496062992124,0.28849268,0.3289405443526596
2024-01-13,0.30708661417322836,0.37062415,0.4008792299015337
2024-01-14,0.36220472440944884,0.29831353,0.3219733947461949
2024-01-15,0.33070866141732286,0.32390207,0.3414491786181264
2024-01-16,0.4881889763779528,0.2835997,0.33979666368941985
2024-01-17,0.48031496062992124,0.39923778,0.4124659462525591
2024-01-18,0.47244094488188976,0.3602157,0.4024321236466056
2024-01-19,0.48031496062992124,0.3487658,0.40073788065849447
2024-01-20,0.41732283464566927,0.35220844,0.3994566498871147
2024-01-21,0.15748031496062992,0.33396605,0.37439268453102137
2024-01-22,0.1968503937007874,0.33667934,0.26608858548790115
2024-01-23,0.031496062992125984,0.26215592,0.3188769770269511
2024-01-24,0.03937007874015748,0.20876075,0.27668558766455714
2024-01-25,0.25984251968503935,0.3096556,0.2972938376252169
2024-01-26,0.1968503937007874,0.42066625,0.3444069259148804
2024-01-27,0.36220472440944884,0.23694812,0.29219417232845696
2024-01-28,0.5275590551181102,0.33786556,0.3592840371431303
2024-01-29,0.5196850393700787,0.48503923,0.4364605048097351
2024-01-30,0.5039370078740157,0.40887493,0.4300291432866328
2024-01-31,0.47244094488188976,0.43158007,0.41394369332921854
2024-02-01,0.4330708661417323,0.3680829,0.39158897973469475
2024-02-02,0.06299212598425197,0.31008092,0.372904282940577
2024-02-03,0.4015748031496063,0.23907968,0.24255649546404634
2024-02-04,0.5354330708661418,0.3233296,0.3968824978432166
2024-02-05,0.25984251968503935,0.4223944,0.4594851202001581
2024-02-06,0.5433070866141733,0.31737524,0.32296228023034956
2024-02-07,0.36220472440944884,0.48105016,0.4467880543595737
2024-02-08,0.2440944881889764,0.307134,0.3610258121844634
2024-02-09,0.2125984251968504,0.35005993,0.28360963791901384
2024-02-10,0.047244094488188976,0.2625202,0.29086567419527143
2024-02-11,0.3228346456692913,0.19614136,0.2781573597012497
2024-02-12,0.6062992125984252,0.38666716,0.3486305920382114
