data,ghi_real_normalizado,ghi_previsto_xgboost_normalizado,ghi_real_wm2,ghi_previsto_xgboost_wm2
2023-10-26,0.06299212598425197,0.52472633,33.625,198.4841203937928
2023-10-27,0.41732283464566927,0.34224126,159.20833333333334,133.7171262825529
2023-10-28,0.4015748031496063,0.47550818,155.125,181.0157793685794
2023-10-29,0.1732283464566929,0.44047022,74.41666666666667,168.5802217721939
2023-10-30,0.07086614173228346,0.37622315,38.16666666666666,145.7778652260701
2023-10-31,0.5590551181102362,0.26204118,211.58333333333331,105.25278260558844
2023-11-01,0.5905511811023622,0.5658088,222.04166666666663,213.06496369838715
2023-11-02,0.5118110236220472,0.42369896,194.70833333333331,162.62782316903275
2023-11-03,0.5118110236220472,0.42434746,193.54166666666663,162.8579861074686
2023-11-04,0.5196850393700787,0.42134333,198.0,161.79176898797354
2023-11-05,0.33858267716535434,0.45390975,132.41666666666666,173.35013712445897
2023-11-06,0.33858267716535434,0.30107105,132.58333333333334,119.10513270894687
2023-11-07,0.47244094488188976,0.29352972,180.875,116.42858947565159
2023-11-08,0.2440944881889764,0.39460257,97.54166666666669,152.30102772265673
2023-11-09,0.05511811023622047,0.31718335,32.541666666666664,124.82365572700898
2023-11-10,0.047244094488188976,0.19380948,30.20833333333333,81.03621442367634
2023-11-11,0.28346456692913385,0.27186534,112.16666666666669,108.7395395760735
2023-11-12,0.031496062992125984,0.4139697,23.541666666666668,159.17474445203942
2023-11-13,0.14960629921259844,0.26365325,64.33333333333333,105.82493213067453
2023-11-14,0.4881889763779528,0.33372784,185.375,130.69557134310406
2023-11-15,0.4881889763779528,0.5334169,186.5,201.5685576250156
2023-11-16,0.1889763779527559,0.3996457,78.54166666666667,154.09091477592787
2023-11-17,0.3543307086614173,0.34222117,138.41666666666666,133.70999715477228
2023-11-18,0.2047244094488189,0.2824534,84.54166666666667,112.49741494903962
2023-11-19,0.023622047244094488,0.28982463,20.041666666666668,115.11359329770009
2023-11-20,0.33858267716535434,0.23051544,133.41666666666666,94.06376992538571
2023-11-21,0.1732283464566929,0.3683681,73.33333333333333,142.9899743249019
2023-11-22,0.4881889763779528,0.23704553,186.66666666666663,96.38140811522803
2023-11-23,0.07874015748031496,0.40946478,39.41666666666666,157.57587359845638
2023-11-24,0.4645669291338583,0.2711594,178.125,108.4889941016833
2023-11-25,0.12598425196850394,0.406727,55.91666666666666,156.6041861747702
2023-11-26,0.3700787401574803,0.30227962,143.75,119.5340756153067
2023-11-27,0.33858267716535434,0.3014864,132.58333333333334,119.25254910935959
2023-11-28,0.41732283464566927,0.31198972,159.375,122.98035310208797
2023-11-29,0.1968503937007874,0.32225367,81.91666666666667,126.62319989254078
2023-11-30,0.2677165354330709,0.24966991,107.41666666666669,100.86201203862827
2023-12-01,0.36220472440944884,0.28513065,141.54166666666666,113.44761979331574
2023-12-02,0.28346456692913385,0.3139509,113.20833333333331,123.67640559871992
2023-12-03,0.36220472440944884,0.27247295,141.25,108.95519040276608
2023-12-04,0.4566929133858268,0.31697547,174.0,124.74987877408664
2023-12-05,0.4409448818897638,0.369512,169.79166666666666,143.3959644014637
2023-12-06,0.4409448818897638,0.3541493,169.375,137.94349323958158
2023-12-07,0.2677165354330709,0.31199053,108.5,122.98063869029284
2023-12-08,0.1968503937007874,0.33729112,82.33333333333333,131.96024053295454
2023-12-09,0.3779527559055118,0.25656685,145.04166666666666,103.30985200653474
2023-12-10,0.4566929133858268,0.30244607,174.79166666666666,119.59315006434917
2023-12-11,0.44881889763779526,0.37738717,170.375,146.19099500775337
2023-12-12,0.33070866141732286,0.37334636,129.75,144.75684508432946
2023-12-13,0.09448818897637795,0.30917472,46.583333333333336,121.98125978807609
