data,ghi_real_normalizado,ghi_previsto_lstm_normalizado,ghi_real_wm2,ghi_previsto_lstm_wm2
2023-10-26,0.4881889763779528,0.4012976,191.29166666666663,158.305875663956
2023-10-27,0.4251968503937008,0.40083358,167.83333333333334,158.13689426084358
2023-10-28,0.48031496062992124,0.40736282,188.25,160.51462648312247
2023-10-29,0.4881889763779528,0.40803424,190.16666666666663,160.75913399954635
2023-10-30,0.47244094488188976,0.43535247,185.625,170.70752611259616
2023-10-31,0.3937007874015748,0.43139058,156.75,169.26473749677336
2023-11-01,0.4094488188976378,0.41279262,161.41666666666666,162.49198022484777
2023-11-02,0.3779527559055118,0.41382974,149.54166666666666,162.86966505646703
2023-11-03,0.4015748031496063,0.39514148,159.45833333333334,156.0640231569608
2023-11-04,0.3779527559055118,0.4002013,151.125,157.90663674970466
2023-11-05,0.30708661417322836,0.39581662,123.91666666666669,156.30988729993499
2023-11-06,0.15748031496062992,0.38454536,69.375,152.2052671561638
2023-11-07,0.4015748031496063,0.37336743,158.45833333333334,148.1346386472384
2023-11-08,0.41732283464566927,0.37484217,165.45833333333334,148.67168911298114
2023-11-09,0.33858267716535434,0.37755746,136.04166666666666,149.66050707300502
2023-11-10,0.3700787401574803,0.38481835,147.08333333333334,152.30468074977395
2023-11-11,0.3779527559055118,0.38127705,150.58333333333334,151.01506069799262
2023-11-12,0.3858267716535433,0.3782067,151.45833333333334,149.89693994820115
2023-11-13,0.3543307086614173,0.3772215,140.66666666666666,149.53816106418765
2023-11-14,0.2992125984251969,0.3828185,122.33333333333331,151.57640020549294
2023-11-15,0.1732283464566929,0.37832236,75.75,149.9390604893366
2023-11-16,0.2283464566929134,0.37205768,96.66666666666669,147.65767045815784
2023-11-17,0.1889763779527559,0.37045565,82.41666666666667,147.0742667764425
2023-11-18,0.11811023622047244,0.36896402,54.875,146.53106265266734
2023-11-19,0.36220472440944884,0.36790967,145.41666666666666,146.14710477987924
2023-11-20,0.3700787401574803,0.3697088,148.16666666666666,146.80229028562704
2023-11-21,0.25984251968503935,0.3721372,106.95833333333331,147.68662629524866
2023-11-22,0.2992125984251969,0.372378,120.875,147.7743186354637
2023-11-23,0.3464566929133858,0.37200361,139.125,147.63798309365907
2023-11-24,0.3700787401574803,0.3717181,145.70833333333334,147.53401123483974
