data,ghi_real,ghi_previsto_mlp
2023-10-26,0.4881889763779528,0.4195704430327209
2023-10-27,0.4251968503937008,0.43753403936052476
2023-10-28,0.48031496062992124,0.4327947545950441
2023-10-29,0.4881889763779528,0.43997853743274723
2023-10-30,0.47244094488188976,0.4722158663432631
2023-10-31,0.3937007874015748,0.4648693118421125
2023-11-01,0.4094488188976378,0.42561542293910787
2023-11-02,0.3779527559055118,0.4364241849390453
2023-11-03,0.4015748031496063,0.4026828754226628
2023-11-04,0.3779527559055118,0.41823391357089207
2023-11-05,0.30708661417322836,0.40858310927403396
2023-11-06,0.15748031496062992,0.37708411813808645
2023-11-07,0.4015748031496063,0.2835832398981802
2023-11-08,0.41732283464566927,0.34199169664531487
2023-11-09,0.33858267716535434,0.3736714667380238
2023-11-10,0.3700787401574803,0.37910781599294185
2023-11-11,0.3779527559055118,0.3683626791608942
2023-11-12,0.3858267716535433,0.3524614401313942
2023-11-13,0.3543307086614173,0.3407730640258211
2023-11-14,0.2992125984251969,0.3682758003797642
2023-11-15,0.1732283464566929,0.34248162894895384
2023-11-16,0.2283464566929134,0.25945282077402027
2023-11-17,0.1889763779527559,0.25748112587271044
2023-11-18,0.11811023622047244,0.24142939599294527
2023-11-19,0.36220472440944884,0.21834403681157372
2023-11-20,0.3700787401574803,0.29486902661591724
2023-11-21,0.25984251968503935,0.3238405657983821
2023-11-22,0.2992125984251969,0.2731394504104629
2023-11-23,0.3464566929133858,0.2788244467868782
2023-11-24,0.3700787401574803,0.29468989599683026
2023-11-25,0.3464566929133858,0.31196438960850315
2023-11-26,0.25984251968503935,0.338056969716616
2023-11-27,0.33858267716535434,0.3006602904016813
2023-11-28,0.33070866141732286,0.2919150444193009
2023-11-29,0.30708661417322836,0.30052981150150904
2023-11-30,0.2992125984251969,0.3037441587068203
2023-12-01,0.2755905511811024,0.29781290358446627
2023-12-02,0.15748031496062992,0.2775198033533601
2023-12-03,0.2047244094488189,0.20968637677334323
2023-12-04,0.2992125984251969,0.22804267271115525
2023-12-05,0.25196850393700787,0.2703129548694137
2023-12-06,0.13385826771653545,0.25789212351601093
2023-12-07,0.1732283464566929,0.20736715781318654
2023-12-08,0.31496062992125984,0.20933476331033996
2023-12-09,0.28346456692913385,0.2568017218167044
2023-12-10,0.25196850393700787,0.2616090268663498
2023-12-11,0.29133858267716534,0.25865064916405506
2023-12-12,0.29133858267716534,0.26402192105155525
2023-12-13,0.29133858267716534,0.2569765359451078
2023-12-14,0.23622047244094488,0.25994070133576924
2023-12-15,0.2440944881889764,0.24937435889282483
2023-12-16,0.2992125984251969,0.24204326368895485
2023-12-17,0.047244094488188976,0.26308667235080613
2023-12-18,0.1889763779527559,0.18766585524378232
2023-12-19,0.16535433070866143,0.21225573342144133
2023-12-20,0.05511811023622047,0.2155477522496837
2023-12-21,0.16535433070866143,0.18140827324727415
2023-12-22,0.2677165354330709,0.21097283237331654
2023-12-23,0.2992125984251969,0.24490714614274417
2023-12-24,0.23622047244094488,0.2515525502421814
2023-12-25,0.2283464566929134,0.24007030986710798
2023-12-26,0.18110236220472442,0.22810107962517828
2023-12-27,0.10236220472440945,0.2056281243598585
2023-12-28,0.18110236220472442,0.18721554686631187
2023-12-29,0.14960629921259844,0.21603199245956273
2023-12-30,0.1732283464566929,0.2097794340287385
2023-12-31,0.14960629921259844,0.21059685661273336
2024-01-01,0.2992125984251969,0.2048168410430316
2024-01-02,0.14960629921259844,0.2499317726436488
2024-01-03,0.14960629921259844,0.2067611776391206
2024-01-04,0.30708661417322836,0.2023593046432412
2024-01-05,0.3228346456692913,0.2509923969917291
2024-01-06,0.11023622047244094,0.269901265868611
2024-01-07,0.3228346456692913,0.19740106143745922
2024-01-08,0.30708661417322836,0.26448163576522526
2024-01-09,0.1732283464566929,0.26120967459446165
2024-01-10,0.05511811023622047,0.211915769131854
2024-01-11,0.33070866141732286,0.18511215855022517
2024-01-12,0.2047244094488189,0.26887376579961325
2024-01-13,0.09448818897637795,0.22669863939643897
2024-01-14,0.2992125984251969,0.1994086372736507
2024-01-15,0.25984251968503935,0.2532721094177312
2024-01-16,0.15748031496062992,0.2439630597626395
2024-01-17,0.2440944881889764,0.2017952936095619
2024-01-18,0.2125984251968504,0.23505301260678163
2024-01-19,0.05511811023622047,0.22560029139890275
2024-01-20,0.11811023622047244,0.1741241595847473
2024-01-21,0.1732283464566929,0.2027304906500022
2024-01-22,0.15748031496062992,0.2169942342485524
2024-01-23,0.2440944881889764,0.20856451166805462
2024-01-24,0.18110236220472442,0.23402510245146102
2024-01-25,0.3779527559055118,0.2194501430560431
2024-01-26,0.1889763779527559,0.2882261192519194
2024-01-27,0.2677165354330709,0.22291807925151885
2024-01-28,0.23622047244094488,0.23801178373352833
2024-01-29,0.36220472440944884,0.23103703294094607
2024-01-30,0.31496062992125984,0.28821198342060855
2024-01-31,0.007874015748031496,0.27618162618133374
2024-02-01,0.2125984251968504,0.2007265142198355
2024-02-02,0.2755905511811024,0.2127774929982234
2024-02-03,0.1889763779527559,0.2496573451161565
2024-02-04,0.14173228346456693,0.22019173403775666
2024-02-05,0.18110236220472442,0.21199415225552537
2024-02-06,0.29133858267716534,0.21734931326360618
2024-02-07,0.08661417322834646,0.24479543746514892
2024-02-08,0.4251968503937008,0.19376014343712555
2024-02-09,0.4015748031496063,0.30733540977221635
2024-02-10,0.4566929133858268,0.31851634799328793
2024-02-11,0.3937007874015748,0.36931821004990306
2024-02-12,0.3779527559055118,0.3395491443719181
2024-02-13,0.3464566929133858,0.34289280020814017
2024-02-14,0.1732283464566929,0.2891721941729775
2024-02-15,0.36220472440944884,0.2621755807617172
2024-02-16,0.2047244094488189,0.3012444659587494
2024-02-17,0.07874015748031496,0.265172120695683
2024-02-18,0.33858267716535434,0.20829129288854903
2024-02-19,0.11811023622047244,0.2819487221096925
2024-02-20,0.11811023622047244,0.21065141588181435
2024-02-21,0.4645669291338583,0.18381856886896192
2024-02-22,0.5039370078740157,0.33668000840386747
2024-02-23,0.3937007874015748,0.38276593895467764
2024-02-24,0.5196850393700787,0.36043311254610605
2024-02-25,0.5196850393700787,0.43311095941464867
2024-02-26,0.29133858267716534,0.4153358159999438
2024-02-27,0.5275590551181102,0.313023695744846
2024-02-28,0.5511811023622047,0.433331147311984
2024-02-29,0.16535433070866143,0.4638024988555745
2024-03-01,0.30708661417322836,0.3354643981711985
2024-03-02,0.25196850393700787,0.348477804812949
2024-03-03,0.23622047244094488,0.30324050090908
2024-03-04,0.44881889763779526,0.24409476744879816
2024-03-05,0.3228346456692913,0.3763181312047624
2024-03-06,0.3464566929133858,0.3629443228692448
2024-03-07,0.36220472440944884,0.31308028432434587
2024-03-08,0.6062992125984252,0.32563233480518083
2024-03-09,0.4881889763779528,0.45078696017830727
2024-03-10,0.5039370078740157,0.436779962346663
2024-03-11,0.44881889763779526,0.4898232210126027
2024-03-12,0.3700787401574803,0.42560602523915053
2024-03-13,0.5826771653543307,0.3865928685850189
2024-03-14,0.6692913385826772,0.4587742824755742
2024-03-15,0.6614173228346457,0.553210810149933
2024-03-16,0.6535433070866141,0.5871852087688191
2024-03-17,0.6456692913385826,0.60156067787734
2024-03-18,0.6456692913385826,0.5911960243548979
2024-03-19,0.6377952755905512,0.5820186278292737
2024-03-20,0.6456692913385826,0.6012202049742362
2024-03-21,0.6377952755905512,0.6180145955309152
2024-03-22,0.4330708661417323,0.6172333867366322
2024-03-23,0.44881889763779526,0.5418964120647346
2024-03-24,0.5748031496062992,0.5129801976054353
2024-03-25,0.5039370078740157,0.5314421637809116
2024-03-26,0.4409448818897638,0.5236008237100215
2024-03-27,0.2677165354330709,0.5101413610593158
2024-03-28,0.5433070866141733,0.43935070426021144
2024-03-29,0.2440944881889764,0.4559192886254298
2024-03-30,0.48031496062992124,0.36064560286573205
2024-03-31,0.6771653543307087,0.4706230296026355
2024-04-01,0.7559055118110236,0.5267653410180934
2024-04-02,0.7480314960629921,0.6341261396853269
2024-04-03,0.6850393700787402,0.6641357289477623
2024-04-04,0.3779527559055118,0.6771690287118916
2024-04-05,0.6614173228346457,0.4978868549347571
2024-04-06,0.7480314960629921,0.5792663277444556
2024-04-07,0.6850393700787402,0.6388838272830791
2024-04-08,0.7874015748031497,0.6821817472893889
2024-04-09,0.7795275590551181,0.7226330301909657
2024-04-10,0.7401574803149606,0.7252301468331319
2024-04-11,0.7874015748031497,0.7004391895567476
2024-04-12,0.7716535433070866,0.7325473225150868
2024-04-13,0.16535433070866143,0.7355654540312037
2024-04-14,0.6141732283464567,0.5355324290736959
2024-04-15,0.6377952755905512,0.6200227489898565
2024-04-16,0.7952755905511811,0.5886443984286193
2024-04-17,0.7559055118110236,0.6985354711287671
2024-04-18,0.7559055118110236,0.7258833263591308
2024-04-19,0.8267716535433071,0.742320558182455
2024-04-20,0.8346456692913385,0.706164162810753
2024-04-21,0.84251968503937,0.7630763125868475
2024-04-22,0.8188976377952756,0.7819084376785045
2024-04-23,0.36220472440944884,0.7876576431203286
2024-04-24,0.4645669291338583,0.6262900474686655
2024-04-25,0.5118110236220472,0.6050331845621494
2024-04-26,0.7322834645669292,0.5747046815869443
2024-04-27,0.8661417322834646,0.6571835787512922
2024-04-28,0.8661417322834646,0.7495620027756259
2024-04-29,0.889763779527559,0.8139275095468351
2024-04-30,0.8818897637795275,0.81300492912978
2024-05-01,0.889763779527559,0.8175955221041816
2024-05-02,0.8582677165354331,0.8229127261394276
2024-05-03,0.8818897637795275,0.8243795274704434
2024-05-04,0.2440944881889764,0.8396684875458459
2024-05-05,0.889763779527559,0.651020857702372
2024-05-06,0.8818897637795275,0.7685613193033075
2024-05-07,0.889763779527559,0.76664057727099
2024-05-08,0.9291338582677166,0.8571353488531709
2024-05-09,0.905511811023622,0.8725231437939256
2024-05-10,0.905511811023622,0.8719821875460546
2024-05-11,0.9133858267716536,0.8074249209765669
2024-05-12,0.84251968503937,0.8691792741930201
2024-05-13,0.8346456692913385,0.8398246131917043
2024-05-14,0.8503937007874016,0.8302396730155486
2024-05-15,0.84251968503937,0.8290572302015884
2024-05-16,0.9212598425196851,0.8262230149538804
2024-05-17,0.8661417322834646,0.8625077154263007
2024-05-18,0.905511811023622,0.8518742727457286
2024-05-19,0.9291338582677166,0.8692128368889093
2024-05-20,0.9212598425196851,0.875914077018784
2024-05-21,0.937007874015748,0.8838299379388633
2024-05-22,0.905511811023622,0.8924925746236435
2024-05-23,0.937007874015748,0.8852397987713703
