data,ghi_real_normalizado,ghi_previsto_xgboost_normalizado,ghi_real_wm2,ghi_previsto_xgboost_wm2
2023-10-26,0.8661417322834646,0.8425823,304.7916666666667,297.7185359721382
2023-10-27,0.7559055118110236,0.80257946,270.0833333333333,284.90929873039323
2023-10-28,0.8188976377952756,0.78992826,289.0833333333333,280.8582774425546
2023-10-29,0.8582677165354331,0.793701,301.625,282.06633881976205
2023-10-30,0.9212598425196851,0.7929716,322.875,281.8327846129735
2023-10-31,0.8503937007874016,0.8014876,300.75,284.559683141609
2023-11-01,0.8661417322834646,0.81585807,304.875,289.16121824334067
2023-11-02,0.6377952755905512,0.807693,232.625,286.54669751723605
2023-11-03,0.7244094488188977,0.73091465,259.375,261.96162930379313
2023-11-04,0.8110236220472441,0.79303265,286.9583333333333,281.85232857863105
2023-11-05,0.7952755905511811,0.79183817,281.7083333333333,281.4698470632235
2023-11-06,0.6456692913385826,0.78997064,235.625,280.8718475202719
2023-11-07,0.36220472440944884,0.7125872,144.16666666666666,256.09301920980215
2023-11-08,0.8110236220472441,0.5636551,288.5416666666667,208.40371989955503
2023-11-09,0.6850393700787402,0.7314634,246.375,262.13733413567144
2023-11-10,0.968503937007874,0.73847336,337.5833333333333,264.38198912888765
2023-11-11,0.9606299212598425,0.848361,336.375,299.568933447202
2023-11-12,0.9763779527559056,0.8690147,341.2916666666667,306.18240911513567
2023-11-13,0.968503937007874,0.90065634,339.0416666666667,316.3143330067396
2023-11-14,0.8740157480314961,0.7981456,307.375,283.48953650643426
2023-11-15,0.6929133858267716,0.8289076,249.33333333333331,293.33979062736034
2023-11-16,0.8188976377952756,0.7473014,289.375,267.2088023647666
2023-11-17,0.8110236220472441,0.7483123,287.0833333333333,267.5324992959698
2023-11-18,0.8110236220472441,0.79558104,287.0,282.66834640254575
2023-11-19,0.9291338582677166,0.8196862,325.0,290.3870104253292
2023-11-20,0.7559055118110236,0.8140517,270.7916666666667,288.58280083785456
2023-11-21,0.7952755905511811,0.7883518,282.7083333333333,280.3534743686517
2023-11-22,0.6614173228346457,0.79345715,239.16666666666663,281.98825838665164
2023-11-23,0.8740157480314961,0.74550265,307.6666666666667,266.6328279549877
2023-11-24,0.968503937007874,0.81341213,339.0416666666667,288.3780090883374
2023-11-25,0.9763779527559056,0.8413098,340.0833333333333,297.31107100844383
2023-11-26,0.905511811023622,0.8554273,318.0833333333333,301.83162461966276
2023-11-27,0.84251968503937,0.8470636,296.75,299.15349057565135
2023-11-28,0.84251968503937,0.8226061,298.375,291.32199068864185
2023-11-29,0.9763779527559056,0.77066475,339.9583333333333,274.6899423127373
2023-11-30,0.952755905511811,0.87724555,333.125,308.8180006792148
2023-12-01,0.952755905511811,0.9355775,331.9166666666667,327.4963824202617
2023-12-02,0.9291338582677166,0.89836895,325.0833333333333,315.5818923562765
2023-12-03,0.968503937007874,0.89266604,337.9583333333333,313.75577215105295
2023-12-04,0.8976377952755905,0.9006647,315.0416666666667,316.3170050332944
2023-12-05,0.905511811023622,0.82752824,317.5,292.89810463786125
2023-12-06,0.7795275590551181,0.87661433,277.0,308.6158809562524
2023-12-07,0.5590551181102362,0.69451845,206.375,250.30726102491218
2023-12-08,0.6771653543307087,0.6818283,246.0,246.24377664178607
2023-12-09,0.8976377952755905,0.77751815,314.5833333333333,276.8844586362441
2023-12-10,0.6299212598425197,0.7986704,230.45833333333331,283.65758789082366
2023-12-11,0.9133858267716536,0.697229,319.25,251.1752115935087
2023-12-12,0.5748031496062992,0.6976097,212.58333333333331,251.29711326211688
2023-12-13,0.8346456692913385,0.6244124,295.5833333333333,227.8587261587381
2023-12-14,0.8110236220472441,0.72637635,286.4583333333333,260.50842857609194
2023-12-15,0.7322834645669292,0.79055053,261.875,281.0575342799226
2023-12-16,0.7086614173228346,0.75593835,253.83333333333331,269.9744261925419
2023-12-17,0.84251968503937,0.78943825,296.9166666666667,280.7013722260793
2023-12-18,0.8661417322834646,0.8141338,305.0,288.6091012135148
2023-12-19,0.8031496062992126,0.8013111,286.25,284.50315069407225
2023-12-20,0.41732283464566927,0.75780785,160.54166666666666,270.57305557032424
2023-12-21,0.28346456692913385,0.60837716,117.5,222.72410267343122
2023-12-22,0.5669291338582677,0.48701736,210.625,183.86368487651148
2023-12-23,0.9133858267716536,0.52639407,319.25,196.4724342400829
2023-12-24,0.7637795275590551,0.81509006,273.0,288.91529637078446
2023-12-25,0.9291338582677166,0.78737646,324.4166666666667,280.0411717221141
2023-12-26,0.8661417322834646,0.86528045,306.2083333333333,304.986677231888
2023-12-27,0.8031496062992126,0.77055484,285.625,274.6547479058305
2023-12-28,0.8346456692913385,0.6929391,294.25,249.80154182761905
2023-12-29,0.8582677165354331,0.7234503,303.625,259.57148246467113
2023-12-30,0.9291338582677166,0.77800405,326.125,277.040046925346
2023-12-31,0.8503937007874016,0.8515186,299.6666666666667,300.580009209613
2024-01-01,0.8582677165354331,0.82577187,301.7083333333333,292.33570030579966
2024-01-02,0.9448818897637795,0.8130386,330.1666666666667,288.2583977282047
2024-01-03,0.8740157480314961,0.8770943,307.0,308.76957974086207
2024-01-04,0.7401574803149606,0.8273302,265.2083333333333,292.834682178994
2024-01-05,0.6692913385826772,0.8015955,243.125,284.5942286277811
2024-01-06,0.6299212598425197,0.70443314,230.54166666666663,253.4820293759306
2024-01-07,0.7637795275590551,0.7350209,271.5833333333333,263.27647631367046
2024-01-08,0.9212598425196851,0.7764944,322.9166666666667,276.55663914978504
2024-01-09,0.2755905511811024,0.8504649,115.08333333333331,300.24260859936476
2024-01-10,0.8582677165354331,0.5417457,301.5,201.3881614928444
2024-01-11,0.5039370078740157,0.7166083,189.875,257.38061154882115
2024-01-12,0.9921259842519685,0.6711125,344.5,242.81247465560833
2024-01-13,0.9763779527559056,0.8746664,341.5416666666667,307.9921345288555
2024-01-14,0.9606299212598425,0.9137737,336.4166666666667,320.5146251494686
2024-01-15,0.7322834645669292,0.9258973,261.625,324.3966980154316
2024-01-16,0.9133858267716536,0.6992106,320.0,251.80972247074047
2024-01-17,0.9763779527559056,0.84980446,339.4166666666667,300.0311367834608
2024-01-18,0.8582677165354331,0.8944807,303.25,314.3368424971898
2024-01-19,0.6535433070866141,0.81406724,237.5,288.58778225878876
2024-01-20,0.7874015748031497,0.7869421,281.2083333333333,279.9020927399397
2024-01-21,0.7637795275590551,0.7947617,271.375,282.40599156667787
2024-01-22,0.6220472440944882,0.73766553,227.125,264.1233178724845
2024-01-23,0.3937007874015748,0.72957456,154.08333333333334,261.53252092500526
2024-01-24,0.5669291338582677,0.7273853,210.54166666666663,260.83149567246437
2024-01-25,0.25984251968503935,0.64451015,111.70833333333331,234.29418760041395
2024-01-26,0.5196850393700787,0.4153735,195.29166666666663,160.92272414515415
2024-01-27,0.3228346456692913,0.56405866,131.16666666666666,208.5329505552848
2024-01-28,0.6692913385826772,0.53151083,241.75,198.11086366573969
2024-01-29,0.8346456692913385,0.6344577,295.2083333333333,231.07531172533828
2024-01-30,0.9606299212598425,0.6748532,334.625,244.01028690238792
