data,ghi_real_normalizado,ghi_previsto_deepnpts_aprox_normalizado,ghi_real_wm2,ghi_previsto_deepnpts_aprox_wm2
2023-10-26,0.4881889763779528,0.5077597,193.29166666666663,200.3671064029137
2023-10-27,0.5275590551181102,0.50647527,206.45833333333331,199.88218415031827
2023-10-28,0.5196850393700787,0.5196828,206.125,204.8685864085952
2023-10-29,0.5354330708661418,0.51858014,210.20833333333331,204.45227652539808
2023-10-30,0.5196850393700787,0.51309,206.08333333333331,202.3795258750518
2023-10-31,0.5275590551181102,0.4988077,206.95833333333331,196.98735650007922
2023-11-01,0.5118110236220472,0.5132373,200.45833333333331,202.43513137350476
2023-11-02,0.5118110236220472,0.5080329,203.20833333333331,200.47026124099887
2023-11-03,0.5039370078740157,0.5170437,200.125,203.8722105870644
2023-11-04,0.5039370078740157,0.50938743,198.375,200.98164730022347
2023-11-05,0.4645669291338583,0.51081514,185.41666666666663,201.52066733439761
2023-11-06,0.4881889763779528,0.50427645,191.75,199.05203973998624
2023-11-07,0.4881889763779528,0.4850808,193.79166666666663,191.80488353843486
2023-11-08,0.48031496062992124,0.48581648,190.25,192.08262974023816
2023-11-09,0.48031496062992124,0.48691085,191.20833333333331,192.49580042188364
2023-11-10,0.48031496062992124,0.48355994,189.79166666666663,191.23069094493982
2023-11-11,0.4566929133858268,0.48030958,182.45833333333331,190.00354442869622
2023-11-12,0.4645669291338583,0.47174138,183.95833333333331,186.76869286845124
2023-11-13,0.44881889763779526,0.4658383,178.04166666666666,184.54003979265687
2023-11-14,0.3779527559055118,0.45682064,152.25,181.13549132272598
2023-11-15,0.2677165354330709,0.4454913,109.58333333333331,176.85819981495536
2023-11-16,0.2047244094488189,0.41717267,85.83333333333333,166.16673192381856
2023-11-17,0.3700787401574803,0.3125749,148.04166666666666,126.676712817202
2023-11-18,0.2755905511811024,0.35669252,114.125,143.3329561986029
2023-11-19,0.4251968503937008,0.3422247,168.58333333333334,137.870745498687
2023-11-20,0.4330708661417323,0.36512873,170.91666666666666,146.5179743406673
2023-11-21,0.4330708661417323,0.37875858,172.08333333333334,151.66381203259027
2023-11-22,0.4330708661417323,0.39561898,172.83333333333334,158.0293139144778
2023-11-23,0.2992125984251969,0.40684932,120.16666666666669,162.26923879732686
2023-11-24,0.3937007874015748,0.37959462,156.66666666666666,151.97945368538296
2023-11-25,0.4094488188976378,0.3454732,163.08333333333334,139.0971944145858
2023-11-26,0.4015748031496063,0.34953856,159.625,140.63203894098598
