data,ghi_real_normalizado,ghi_previsto_dilatedrnn_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_wm2
2023-10-26,0.4881889763779528,0.51385206,193.29166666666663,202.6672297591964
2023-10-27,0.5275590551181102,0.508232,206.45833333333331,200.54542205234367
2023-10-28,0.5196850393700787,0.5084694,206.125,200.63505244503415
2023-10-29,0.5354330708661418,0.51111025,210.20833333333331,201.63208086043593
2023-10-30,0.5196850393700787,0.50733733,206.08333333333331,200.20764846603072
2023-10-31,0.5275590551181102,0.49881586,206.95833333333331,196.99043944353855
2023-11-01,0.5118110236220472,0.5095086,200.45833333333331,201.0273963809013
2023-11-02,0.5118110236220472,0.49913377,203.20833333333331,197.11046045770246
2023-11-03,0.5039370078740157,0.50143147,200.125,197.97793773810065
2023-11-04,0.5039370078740157,0.4957946,198.375,195.84978411843377
2023-11-05,0.4645669291338583,0.49575084,185.41666666666663,195.83326674252746
2023-11-06,0.4881889763779528,0.4746024,191.75,187.84884824107087
2023-11-07,0.4881889763779528,0.47969085,193.79166666666663,189.76994957774875
2023-11-08,0.48031496062992124,0.48444933,190.25,191.56647299478448
2023-11-09,0.48031496062992124,0.47512785,191.20833333333331,188.04722552622354
2023-11-10,0.48031496062992124,0.4718162,189.79166666666663,186.79694568241632
2023-11-11,0.4566929133858268,0.4723992,182.45833333333331,187.01704984282452
2023-11-12,0.4645669291338583,0.45421258,183.95833333333331,180.15083968763548
2023-11-13,0.44881889763779526,0.45783782,178.04166666666666,181.51952031254766
2023-11-14,0.3779527559055118,0.45401073,152.25,180.07463247577346
2023-11-15,0.2677165354330709,0.4118904,109.58333333333331,164.1724500606457
2023-11-16,0.2047244094488189,0.3625595,85.83333333333333,145.5479835644364
2023-11-17,0.3700787401574803,0.3268955,148.04166666666666,132.08334052190182
2023-11-18,0.2755905511811024,0.38666922,114.125,154.65040788302815
2023-11-19,0.4251968503937008,0.32894728,168.58333333333334,132.85796944672862
