data,ghi_real_normalizado,ghi_previsto_deepar_exp_normalizado,ghi_real_wm2,ghi_previsto_deepar_exp_wm2
2023-10-26,0.4881889763779528,0.5080065,193.29166666666663,200.46029230703908
2023-10-27,0.5275590551181102,0.5060547,206.45833333333331,199.72340131054318
2023-10-28,0.5196850393700787,0.52267414,206.125,205.9979338571429
2023-10-29,0.5354330708661418,0.52227455,210.20833333333331,205.847072156767
2023-10-30,0.5196850393700787,0.5254031,206.08333333333331,207.02822205672658
2023-10-31,0.5275590551181102,0.5178476,206.95833333333331,204.17571174353358
2023-11-01,0.5118110236220472,0.5294678,200.45833333333331,208.562830299139
2023-11-02,0.5118110236220472,0.5189249,203.20833333333331,204.58243524779874
2023-11-03,0.5039370078740157,0.5217678,200.125,205.65574963639176
2023-11-04,0.5039370078740157,0.5145589,198.375,202.93409564594424
2023-11-05,0.4645669291338583,0.5141875,185.41666666666663,202.79387797663605
2023-11-06,0.4881889763779528,0.49799013,191.75,196.67869085073468
2023-11-07,0.4881889763779528,0.49573308,193.79166666666663,195.82656077792245
2023-11-08,0.48031496062992124,0.49093786,190.25,194.0161641153196
2023-11-09,0.48031496062992124,0.49286848,191.20833333333331,194.74505521108705
2023-11-10,0.48031496062992124,0.4893697,189.79166666666663,193.42411520332095
2023-11-11,0.4566929133858268,0.4873194,182.45833333333331,192.6500488594174
2023-11-12,0.4645669291338583,0.47481182,183.95833333333331,187.92791336402294
2023-11-13,0.44881889763779526,0.47418007,178.04166666666666,187.68940155580637
2023-11-14,0.3779527559055118,0.46636707,152.25,184.73966600745914
2023-11-15,0.2677165354330709,0.4426138,109.58333333333331,175.77182229732472
2023-11-16,0.2047244094488189,0.39537388,85.83333333333333,157.93678060422337
2023-11-17,0.3700787401574803,0.34956187,148.04166666666666,140.64083770662543
2023-11-18,0.2755905511811024,0.35282028,114.125,141.87102215985456
2023-11-19,0.4251968503937008,0.35215002,168.58333333333334,141.61797326058146
2023-11-20,0.4330708661417323,0.3889582,170.91666666666666,155.5145884392162
2023-11-21,0.4330708661417323,0.3970877,172.08333333333334,158.58381617565948
2023-11-22,0.4330708661417323,0.4121284,172.83333333333334,164.2623054857055
2023-11-23,0.2992125984251969,0.40796274,120.16666666666669,162.68959926317132
2023-11-24,0.3937007874015748,0.39430144,156.66666666666666,157.53189111376798
2023-11-25,0.4094488188976378,0.3803295,163.08333333333334,152.2568960934877
2023-11-26,0.4015748031496063,0.39709777,159.625,158.58761922270057
2023-11-27,0.30708661417322836,0.41469073,124.54166666666669,165.22969713807103
2023-11-28,0.3779527559055118,0.3918755,152.79166666666666,156.6159981191158
2023-11-29,0.3858267716535433,0.3877831,153.875,155.07094837476808
2023-11-30,0.2204724409448819,0.3742274,91.75,149.9531047095855
2023-12-01,0.3543307086614173,0.35969523,142.54166666666666,144.46660176540414
2023-12-02,0.3937007874015748,0.36036566,156.16666666666666,144.719718174388
2023-12-03,0.3779527559055118,0.36688358,151.54166666666666,147.1805033907294
2023-12-04,0.33070866141732286,0.3810779,134.33333333333334,152.53944673637545
2023-12-05,0.3858267716535433,0.38077202,155.625,152.42397137607134
2023-12-06,0.3937007874015748,0.38238794,156.95833333333334,153.0340453808506
2023-12-07,0.3937007874015748,0.37086695,155.91666666666666,148.68439471473295
2023-12-08,0.3937007874015748,0.39546886,156.75,157.97263951227066
2023-12-09,0.4015748031496063,0.4011211,160.45833333333334,160.1065989670654
2023-12-10,0.4015748031496063,0.40124056,159.45833333333334,160.15169545387226
2023-12-11,0.29133858267716534,0.39786297,117.29166666666669,158.87651577840245
2023-12-12,0.2992125984251969,0.37925577,122.70833333333331,151.85152278343833
2023-12-13,0.3779527559055118,0.36113483,152.125,145.0101111953457
2023-12-14,0.3858267716535433,0.36251754,154.5,145.532141285638
2023-12-15,0.3858267716535433,0.37939146,154.66666666666666,151.90275140230852
2023-12-16,0.2992125984251969,0.3942119,123.04166666666669,157.4980800002813
2023-12-17,0.3937007874015748,0.3754837,157.0,150.42740543435013
2023-12-18,0.2047244094488189,0.36930057,84.5,148.09302089984217
2023-12-19,0.18110236220472442,0.3366347,75.83333333333333,135.76029067486522
2023-12-20,0.25196850393700787,0.323948,104.0,130.9705329524974
2023-12-21,0.36220472440944884,0.31573874,145.66666666666666,127.87119588504234
2023-12-22,0.015748031496062992,0.33323008,14.666666666666666,134.47490578144786
2023-12-23,0.2047244094488189,0.307367,87.20833333333333,124.71051499371727
2023-12-24,0.3543307086614173,0.30822113,142.33333333333334,125.03298637891808
2023-12-25,0.3779527559055118,0.3057316,150.875,124.09308243046203
2023-12-26,0.3858267716535433,0.33508122,153.08333333333334,135.1737888107697
2023-12-27,0.33858267716535434,0.36806765,135.58333333333334,147.6275414439539
2023-12-28,0.3700787401574803,0.37416604,147.83333333333334,149.92993762716648
2023-12-29,0.3464566929133858,0.34280863,140.91666666666666,138.09120971088606
2023-12-30,0.3700787401574803,0.35514575,149.04166666666666,142.74898594866195
2023-12-31,0.3228346456692913,0.37575307,129.375,150.52910881365335
2024-01-01,0.13385826771653545,0.36846045,60.375,147.7758377753198
2024-01-02,0.3779527559055118,0.327771,151.16666666666666,132.4138793175419
2024-01-03,0.28346456692913385,0.33240762,116.79166666666669,134.1643948666751
2024-01-04,0.3464566929133858,0.3309847,140.875,133.62718634307382
2024-01-05,0.30708661417322836,0.35704368,123.95833333333331,143.4655340189735
2024-01-06,0.4015748031496063,0.34860358,159.33333333333334,140.2790419148902
2024-01-07,0.12598425196850394,0.36547425,55.66666666666666,146.64842560514805
2024-01-08,0.41732283464566927,0.3162577,165.04166666666666,128.06712031736967
2024-01-09,0.4015748031496063,0.35134384,161.70833333333334,141.3136057294905
2024-01-10,0.4094488188976378,0.35056815,163.08333333333334,141.020748604089
