data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_normalizado,ghi_previsto_dilatedrnn_wm2,ghi_previsto_deepar_exp_normalizado,ghi_previsto_deepar_exp_wm2,ghi_previsto_deepnpts_aprox_normalizado,ghi_previsto_deepnpts_aprox_wm2
2023-10-26,0.4881889763779528,0.4881889763779528,193.29166666666663,0.51385206,202.6672297591964,0.5080065,200.46029230703908,0.5077597,200.3671064029137
2023-10-27,0.5275590551181102,0.5275590551181102,206.45833333333331,0.508232,200.54542205234367,0.5060547,199.72340131054318,0.50647527,199.88218415031827
2023-10-28,0.5196850393700787,0.5196850393700787,206.125,0.5084694,200.63505244503415,0.52267414,205.9979338571429,0.5196828,204.8685864085952
2023-10-29,0.5354330708661418,0.5354330708661418,210.20833333333331,0.51111025,201.63208086043593,0.52227455,205.847072156767,0.51858014,204.45227652539808
2023-10-30,0.5196850393700787,0.5196850393700787,206.08333333333331,0.50733733,200.20764846603072,0.5254031,207.02822205672658,0.51309,202.3795258750518
2023-10-31,0.5275590551181102,0.5275590551181102,206.95833333333331,0.49881586,196.99043944353855,0.5178476,204.17571174353358,0.4988077,196.98735650007922
2023-11-01,0.5118110236220472,0.5118110236220472,200.45833333333331,0.5095086,201.0273963809013,0.5294678,208.562830299139,0.5132373,202.43513137350476
2023-11-02,0.5118110236220472,0.5118110236220472,203.20833333333331,0.49913377,197.11046045770246,0.5189249,204.58243524779874,0.5080329,200.47026124099887
2023-11-03,0.5039370078740157,0.5039370078740157,200.125,0.50143147,197.97793773810065,0.5217678,205.65574963639176,0.5170437,203.8722105870644
2023-11-04,0.5039370078740157,0.5039370078740157,198.375,0.4957946,195.84978411843377,0.5145589,202.93409564594424,0.50938743,200.98164730022347
2023-11-05,0.4645669291338583,0.4645669291338583,185.41666666666663,0.49575084,195.83326674252746,0.5141875,202.79387797663605,0.51081514,201.52066733439761
2023-11-06,0.4881889763779528,0.4881889763779528,191.75,0.4746024,187.84884824107087,0.49799013,196.67869085073468,0.50427645,199.05203973998624
2023-11-07,0.4881889763779528,0.4881889763779528,193.79166666666663,0.47969085,189.76994957774875,0.49573308,195.82656077792245,0.4850808,191.80488353843486
2023-11-08,0.48031496062992124,0.48031496062992124,190.25,0.48444933,191.56647299478448,0.49093786,194.0161641153196,0.48581648,192.08262974023816
2023-11-09,0.48031496062992124,0.48031496062992124,191.20833333333331,0.47512785,188.04722552622354,0.49286848,194.74505521108705,0.48691085,192.49580042188364
2023-11-10,0.48031496062992124,0.48031496062992124,189.79166666666663,0.4718162,186.79694568241632,0.4893697,193.42411520332095,0.48355994,191.23069094493982
2023-11-11,0.4566929133858268,0.4566929133858268,182.45833333333331,0.4723992,187.01704984282452,0.4873194,192.6500488594174,0.48030958,190.00354442869622
2023-11-12,0.4645669291338583,0.4645669291338583,183.95833333333331,0.45421258,180.15083968763548,0.47481182,187.92791336402294,0.47174138,186.76869286845124
2023-11-13,0.44881889763779526,0.44881889763779526,178.04166666666666,0.45783782,181.51952031254766,0.47418007,187.68940155580637,0.4658383,184.54003979265687
2023-11-14,0.3779527559055118,0.3779527559055118,152.25,0.45401073,180.07463247577346,0.46636707,184.73966600745914,0.45682064,181.13549132272598
2023-11-15,0.2677165354330709,0.2677165354330709,109.58333333333331,0.4118904,164.1724500606457,0.4426138,175.77182229732472,0.4454913,176.85819981495536
