data,ghi_real,ghi_previsto_xgboost
2023-10-26,0.14960629921259844,0.35638672
2023-10-27,0.3228346456692913,0.35470453
2023-10-28,0.5275590551181102,0.4073138
2023-10-29,0.6456692913385826,0.4660527
2023-10-30,0.6220472440944882,0.56886894
2023-10-31,0.5196850393700787,0.5603391
2023-11-01,0.4645669291338583,0.43931937
2023-11-02,0.5984251968503937,0.41017917
2023-11-03,0.5433070866141733,0.55642635
2023-11-04,0.6456692913385826,0.56129754
2023-11-05,0.6377952755905512,0.6175216
2023-11-06,0.6377952755905512,0.58934486
2023-11-07,0.6220472440944882,0.6099855
2023-11-08,0.6220472440944882,0.605508
2023-11-09,0.5354330708661418,0.6011688
2023-11-10,0.1732283464566929,0.5417005
2023-11-11,0.2283464566929134,0.4536109
2023-11-12,0.3937007874015748,0.3931452
2023-11-13,0.31496062992125984,0.49333352
2023-11-14,0.4330708661417323,0.44312435
2023-11-15,0.5275590551181102,0.44000286
2023-11-16,0.5905511811023622,0.4806611
2023-11-17,0.5984251968503937,0.50148445
2023-11-18,0.5905511811023622,0.5715466
2023-11-19,0.5905511811023622,0.49919024
2023-11-20,0.5118110236220472,0.5323533
2023-11-21,0.33858267716535434,0.45480794
2023-11-22,0.07874015748031496,0.44315875
2023-11-23,0.4251968503937008,0.26654708
2023-11-24,0.5905511811023622,0.4369426
2023-11-25,0.5984251968503937,0.526897
2023-11-26,0.5748031496062992,0.53164274
2023-11-27,0.18110236220472442,0.50070006
2023-11-28,0.18110236220472442,0.4480415
2023-11-29,0.3464566929133858,0.4648822
2023-11-30,0.47244094488188976,0.46524346
2023-12-01,0.15748031496062992,0.44381386
2023-12-02,0.2440944881889764,0.37549096
2023-12-03,0.007874015748031496,0.38778535
2023-12-04,0.03937007874015748,0.35259247
2023-12-05,0.07874015748031496,0.39894822
2023-12-06,0.03937007874015748,0.4494031
2023-12-07,0.08661417322834646,0.37271377
2023-12-08,0.5354330708661418,0.39380327
2023-12-09,0.4015748031496063,0.5948802
2023-12-10,0.2992125984251969,0.49625468
2023-12-11,0.031496062992125984,0.45623848
2023-12-12,0.33858267716535434,0.40092123
2023-12-13,0.2677165354330709,0.533086
2023-12-14,0.07086614173228346,0.3908736
2023-12-15,0.36220472440944884,0.41343272
2023-12-16,0.3543307086614173,0.5187458
2023-12-17,0.5196850393700787,0.49986744
2023-12-18,0.5196850393700787,0.446445
2023-12-19,0.5433070866141733,0.568267
2023-12-20,0.5275590551181102,0.58256024
2023-12-21,0.3937007874015748,0.52318645
2023-12-22,0.10236220472440945,0.50789595
2023-12-23,0.33858267716535434,0.4142356
2023-12-24,0.48031496062992124,0.47613558
2023-12-25,0.09448818897637795,0.4969873
2023-12-26,0.25984251968503935,0.4220988
2023-12-27,0.5354330708661418,0.48595092
2023-12-28,0.5275590551181102,0.56373155
2023-12-29,0.36220472440944884,0.49587637
2023-12-30,0.5275590551181102,0.5087443
2023-12-31,0.48031496062992124,0.5157595
2024-01-01,0.5196850393700787,0.49741212
2024-01-02,0.11811023622047244,0.56926167
2024-01-03,0.5669291338582677,0.4322048
2024-01-04,0.5354330708661418,0.5166914
2024-01-05,0.5590551181102362,0.5082822
2024-01-06,0.5511811023622047,0.5772313
2024-01-07,0.14960629921259844,0.57566905
2024-01-08,0.36220472440944884,0.46402165
2024-01-09,0.5196850393700787,0.45048714
2024-01-10,0.3858267716535433,0.49763566
2024-01-11,0.41732283464566927,0.4942746
2024-01-12,0.41732283464566927,0.47379312
2024-01-13,0.3700787401574803,0.47377327
2024-01-14,0.5826771653543307,0.40827432
2024-01-15,0.5748031496062992,0.46638596
2024-01-16,0.5748031496062992,0.51295215
2024-01-17,0.5196850393700787,0.49586082
2024-01-18,0.3228346456692913,0.4753321
2024-01-19,0.3779527559055118,0.47701585
2024-01-20,0.36220472440944884,0.41862407
2024-01-21,0.4566929133858268,0.44998527
2024-01-22,0.33070866141732286,0.37870938
2024-01-23,0.4409448818897638,0.39007512
2024-01-24,0.4645669291338583,0.41199976
2024-01-25,0.49606299212598426,0.40139762
2024-01-26,0.6141732283464567,0.4581178
2024-01-27,0.6220472440944882,0.54284126
2024-01-28,0.4330708661417323,0.5883746
2024-01-29,0.47244094488188976,0.5201931
2024-01-30,0.3779527559055118,0.4737932
2024-01-31,0.3228346456692913,0.39134493
2024-02-01,0.4015748031496063,0.37015098
2024-02-02,0.5748031496062992,0.4053748
2024-02-03,0.6535433070866141,0.48837447
2024-02-04,0.6692913385826772,0.5897376
2024-02-05,0.6771653543307087,0.60269296
2024-02-06,0.6771653543307087,0.6395316
2024-02-07,0.6614173228346457,0.665251
2024-02-08,0.5984251968503937,0.64178026
2024-02-09,0.6850393700787402,0.5687007
2024-02-10,0.5196850393700787,0.6482138
2024-02-11,0.44881889763779526,0.5231508
2024-02-12,0.2677165354330709,0.52448696
2024-02-13,0.3779527559055118,0.3726323
2024-02-14,0.29133858267716534,0.3926357
2024-02-15,0.3464566929133858,0.404727
2024-02-16,0.12598425196850394,0.43196076
2024-02-17,0.3228346456692913,0.38301972
2024-02-18,0.6771653543307087,0.4522582
2024-02-19,0.7322834645669292,0.6812148
2024-02-20,0.7480314960629921,0.6013876
2024-02-21,0.7637795275590551,0.6791747
2024-02-22,0.7559055118110236,0.7101312
2024-02-23,0.6377952755905512,0.59256124
2024-02-24,0.6299212598425197,0.63493705
2024-02-25,0.7480314960629921,0.64082295
2024-02-26,0.7480314960629921,0.6805866
2024-02-27,0.7637795275590551,0.67611045
2024-02-28,0.7244094488188977,0.7108492
2024-02-29,0.6535433070866141,0.6867203
2024-03-01,0.6771653543307087,0.653407
2024-03-02,0.7322834645669292,0.66826665
2024-03-03,0.7716535433070866,0.6775853
2024-03-04,0.7795275590551181,0.72058713
2024-03-05,0.7637795275590551,0.7470768
2024-03-06,0.7874015748031497,0.7323193
2024-03-07,0.7795275590551181,0.7416166
2024-03-08,0.7244094488188977,0.7445468
2024-03-09,0.6771653543307087,0.70989347
2024-03-10,0.6535433070866141,0.67949104
2024-03-11,0.7637795275590551,0.67589
2024-03-12,0.7401574803149606,0.7136015
2024-03-13,0.7007874015748031,0.69110996
2024-03-14,0.7795275590551181,0.67777264
2024-03-15,0.4881889763779528,0.73355526
2024-03-16,0.6456692913385826,0.5127003
2024-03-17,0.7244094488188977,0.66634595
2024-03-18,0.8267716535433071,0.72562426
2024-03-19,0.6614173228346457,0.7501366
2024-03-20,0.5748031496062992,0.6994944
2024-03-21,0.8346456692913385,0.6625205
2024-03-22,0.8818897637795275,0.76656556
2024-03-23,0.8503937007874016,0.78698695
2024-03-24,0.8740157480314961,0.80190295
2024-03-25,0.8267716535433071,0.8196644
2024-03-26,0.8976377952755905,0.8050808
2024-03-27,0.9212598425196851,0.792142
2024-03-28,0.8188976377952756,0.8376952
2024-03-29,0.8740157480314961,0.8059241
2024-03-30,0.8976377952755905,0.82144123
2024-03-31,0.8503937007874016,0.8548275
2024-04-01,0.7874015748031497,0.85466605
2024-04-02,0.7795275590551181,0.8059996
2024-04-03,0.8818897637795275,0.77450687
2024-04-04,0.9133858267716536,0.8300998
2024-04-05,0.9133858267716536,0.86000824
2024-04-06,0.8818897637795275,0.8651525
2024-04-07,0.8503937007874016,0.839868
2024-04-08,0.889763779527559,0.8349603
2024-04-09,0.8503937007874016,0.87326044
2024-04-10,0.9133858267716536,0.87284756
2024-04-11,0.8582677165354331,0.87458754
2024-04-12,0.8582677165354331,0.87398523
2024-04-13,0.7716535433070866,0.8493017
2024-04-14,0.7952755905511811,0.7941443
2024-04-15,0.7007874015748031,0.7866363
2024-04-16,0.6456692913385826,0.7162515
2024-04-17,0.7874015748031497,0.7003909
2024-04-18,0.7874015748031497,0.78324264
2024-04-19,0.7322834645669292,0.7058031
2024-04-20,0.8582677165354331,0.7354511
2024-04-21,0.7952755905511811,0.80027735
2024-04-22,0.7244094488188977,0.7097621
2024-04-23,0.8188976377952756,0.71236527
2024-04-24,0.8267716535433071,0.7902687
2024-04-25,0.8188976377952756,0.80038667
2024-04-26,0.7007874015748031,0.8025591
2024-04-27,0.905511811023622,0.750719
2024-04-28,0.937007874015748,0.8527563
2024-04-29,0.8818897637795275,0.8874775
2024-04-30,0.8976377952755905,0.84304124
2024-05-01,0.6929133858267716,0.86482733
2024-05-02,0.8582677165354331,0.77285004
2024-05-03,0.905511811023622,0.8305421
2024-05-04,0.8976377952755905,0.85217977
2024-05-05,0.8976377952755905,0.8622645
2024-05-06,0.7086614173228346,0.85464054
2024-05-07,0.7716535433070866,0.79523444
2024-05-08,0.7716535433070866,0.7784352
2024-05-09,0.889763779527559,0.78895664
2024-05-10,0.7401574803149606,0.84472466
2024-05-11,0.8188976377952756,0.768131
2024-05-12,0.84251968503937,0.79665995
2024-05-13,0.8818897637795275,0.806192
2024-05-14,0.8976377952755905,0.8689828
2024-05-15,0.9448818897637795,0.8707091
2024-05-16,0.952755905511811,0.8499546
2024-05-17,0.968503937007874,0.8827714
2024-05-18,0.9291338582677166,0.94597435
2024-05-19,0.7716535433070866,0.856278
2024-05-20,0.7874015748031497,0.7883488
2024-05-21,0.905511811023622,0.77395
2024-05-22,0.8346456692913385,0.84870905
2024-05-23,0.8661417322834646,0.8037156
2024-05-24,0.9291338582677166,0.8142975
2024-05-25,0.889763779527559,0.8404851
2024-05-26,0.84251968503937,0.8459004
2024-05-27,0.6062992125984252,0.8208974
2024-05-28,0.7559055118110236,0.6728342
2024-05-29,0.8031496062992126,0.72858447
2024-05-30,0.8031496062992126,0.7025153
2024-05-31,0.8267716535433071,0.79450047
2024-06-01,0.8818897637795275,0.75819504
2024-06-02,0.7165354330708661,0.82384217
2024-06-03,0.7795275590551181,0.7351054
2024-06-04,0.8188976377952756,0.7124394
2024-06-05,0.7716535433070866,0.77965194
2024-06-06,0.7637795275590551,0.71412355
2024-06-07,0.7874015748031497,0.7187926
2024-06-08,0.7086614173228346,0.71703726
2024-06-09,0.7874015748031497,0.7460727
2024-06-10,0.7480314960629921,0.77974933
2024-06-11,0.8818897637795275,0.78078765
2024-06-12,0.8740157480314961,0.8489638
2024-06-13,0.8110236220472441,0.86620057
2024-06-14,0.7716535433070866,0.8266812
2024-06-15,0.8267716535433071,0.7795036
2024-06-16,0.937007874015748,0.80656046
2024-06-17,0.9448818897637795,0.875939
2024-06-18,0.937007874015748,0.88373667
2024-06-19,0.7559055118110236,0.8941317
2024-06-20,0.18110236220472442,0.8281811
2024-06-21,0.44881889763779526,0.5851658
2024-06-22,0.4330708661417323,0.7246307
