data,ghi_real_normalizado,ghi_previsto_lstm_normalizado,ghi_real_wm2,ghi_previsto_lstm_wm2
2023-10-26,0.14960629921259844,0.44297734,80.08333333333333,182.343789268285
2023-10-27,0.3228346456692913,0.4000102,140.54166666666666,167.32856390004355
2023-10-28,0.5275590551181102,0.41117248,212.875,171.2293160272141
2023-10-29,0.6456692913385826,0.46850193,254.41666666666663,191.26356870432693
2023-10-30,0.6220472440944882,0.5436498,243.625,217.5246171305577
2023-10-31,0.5196850393700787,0.5826438,208.54166666666663,231.15140036493537
2023-11-01,0.4645669291338583,0.5329452,190.29166666666663,213.78381350388128
2023-11-02,0.5984251968503937,0.5029697,235.54166666666663,203.30861353129146
2023-11-03,0.5433070866141733,0.52958685,217.91666666666663,212.61020518094298
2023-11-04,0.6456692913385826,0.546653,252.625,218.57410341749588
2023-11-05,0.6377952755905512,0.59799224,249.83333333333331,236.51503868649402
2023-11-06,0.6377952755905512,0.60967684,251.41666666666663,240.59831831852594
2023-11-07,0.6220472440944882,0.61551005,246.25,242.63678166021901
2023-11-08,0.6220472440944882,0.60408074,245.75,238.64271409064528
2023-11-09,0.5354330708661418,0.6125063,215.91666666666663,241.5870870798826
2023-11-10,0.1732283464566929,0.57307225,87.0,227.8065416589379
2023-11-11,0.2283464566929134,0.46907642,107.5,191.46433229620257
2023-11-12,0.3937007874015748,0.42788026,163.79166666666666,177.0679882727563
2023-11-13,0.31496062992125984,0.4387437,137.25,180.86431250472862
2023-11-14,0.4330708661417323,0.44421574,179.66666666666666,182.7765604617695
2023-11-15,0.5275590551181102,0.47183335,211.66666666666663,192.4277621656656
2023-11-16,0.5905511811023622,0.49632916,234.58333333333331,200.9880271963775
2023-11-17,0.5984251968503937,0.5167462,236.125,208.1229405030608
2023-11-18,0.5905511811023622,0.5485086,233.54166666666663,219.22256242483851
2023-11-19,0.5905511811023622,0.5683195,234.91666666666663,226.14565176020065
2023-11-20,0.5118110236220472,0.5640148,207.625,224.64133600890634
2023-11-21,0.33858267716535434,0.54374975,144.83333333333334,217.5595479334394
2023-11-22,0.07874015748031496,0.49044293,54.208333333333336,198.93103615691263
2023-11-23,0.4251968503937008,0.4116358,175.70833333333334,171.39122248565155
2023-11-24,0.5905511811023622,0.4370095,234.125,180.25828286260364
2023-11-25,0.5984251968503937,0.49416563,235.33333333333331,200.2319638195137
2023-11-26,0.5748031496062992,0.56149274,227.625,223.75998415301243
2023-11-27,0.18110236220472442,0.5693665,91.45833333333331,226.51153994351623
2023-11-28,0.18110236220472442,0.45524037,89.66666666666667,186.62920722862083
2023-11-29,0.3464566929133858,0.39462763,148.58333333333334,165.4475807820757
2023-11-30,0.47244094488188976,0.410155,193.25,170.8737487817804
2023-12-01,0.15748031496062992,0.46519226,82.04166666666667,190.10697795202333
2023-12-02,0.2440944881889764,0.42754674,112.66666666666669,176.95143770178157
2023-12-03,0.007874015748031496,0.41227964,31.041666666666668,171.61622101441023
2023-12-04,0.03937007874015748,0.3539171,41.125,151.2209438048303
2023-12-05,0.07874015748031496,0.34563693,54.75,148.3273735754192
2023-12-06,0.03937007874015748,0.3448783,41.583333333333336,148.06225773816305
2023-12-07,0.08661417322834646,0.34593365,57.375,148.43106202905375
2023-12-08,0.5354330708661418,0.34085035,215.33333333333331,146.65466302633286
2023-12-09,0.4015748031496063,0.40430835,166.66666666666666,168.8305884239574
2023-12-10,0.2992125984251969,0.42789513,131.375,177.07318519304195
2023-12-11,0.031496062992125984,0.42871803,37.625,177.36075505862632
2023-12-12,0.33858267716535434,0.36424562,144.79166666666666,154.83033512656885
2023-12-13,0.2677165354330709,0.37674874,120.625,159.19965366770822
2023-12-14,0.07086614173228346,0.3803885,51.083333333333336,160.4715973039468
2023-12-15,0.36220472440944884,0.3778458,153.20833333333334,159.58302808180449
2023-12-16,0.3543307086614173,0.3945087,150.04166666666666,165.40601583446065
2023-12-17,0.5196850393700787,0.4068771,209.41666666666663,169.72826006760198
2023-12-18,0.5196850393700787,0.45589653,209.45833333333331,186.85850701605278
2023-12-19,0.5433070866141733,0.49161395,217.66666666666663,199.34025978172818
2023-12-20,0.5275590551181102,0.5090036,210.83333333333331,205.41720926016566
2023-12-21,0.3937007874015748,0.5001972,164.0,202.33973678946492
2023-12-22,0.10236220472440945,0.482847,63.25,196.27657633398968
2023-12-23,0.33858267716535434,0.40427506,144.95833333333334,168.81895523766676
2023-12-24,0.48031496062992124,0.4124023,195.66666666666663,171.65908779576418
2023-12-25,0.09448818897637795,0.44943392,59.79166666666666,184.60009626050788
2023-12-26,0.25984251968503935,0.4038101,117.625,168.6564759723842
2023-12-27,0.5354330708661418,0.39865407,214.66666666666663,166.85465476041037
2023-12-28,0.5275590551181102,0.44222757,213.25,182.0817770026624
2023-12-29,0.36220472440944884,0.4756223,153.25,193.75184163947898
2023-12-30,0.5275590551181102,0.47320077,210.625,192.9056184651951
