data,ghi_real_normalizado,ghi_previsto_rnn_normalizado,ghi_real_wm2,ghi_previsto_rnn_wm2
2024-01-31,0.03937007874015748,0.10853025,93.5994623655914,111.96793259045637
2024-02-29,0.2125984251968504,0.23553112,140.06896551724137,146.88507450422853
2024-03-31,0.4015748031496063,0.42429516,192.7016129032258,198.78314976921726
2024-04-30,0.7165354330708661,0.69650364,278.4597222222222,273.6231278163558
2024-05-31,0.937007874015748,0.8506478,338.80779569892474,316.0029466075656
2024-06-30,0.984251968503937,0.8944413,351.66805555555555,328.04336692995014
2024-07-31,0.8976377952755905,0.88471836,329.9233870967742,325.3701760910078
2024-08-31,0.8031496062992126,0.7806944,303.0147849462366,296.77022639489246
2024-09-30,0.5984251968503937,0.65640134,247.60833333333332,262.5975511851143
2024-10-31,0.3464566929133858,0.3488475,177.8709677419355,178.03985648484746
2024-11-30,0.12598425196850394,0.123325214,117.06805555555555,116.03560351538655
2024-12-31,0.047244094488188976,0.07026711,95.06854838709677,101.44800795724342
