data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_xgboost_normalizado,ghi_previsto_xgboost_wm2,ghi_previsto_mlp_normalizado,ghi_previsto_mlp_wm2,ghi_previsto_rnn_normalizado,ghi_previsto_rnn_wm2,ghi_previsto_lstm_normalizado,ghi_previsto_lstm_wm2
2024-01-31,0.03937007874015748,0.03937007874015748,93.5994623655914,0.07768347,103.48703415312747,0.10777768280577461,111.76102371949874,0.10853025,111.96793259045637,0.11359748,113.36109758139484
2024-02-29,0.2125984251968504,0.2125984251968504,140.06896551724137,0.3194205,169.94930161031158,0.26816310088010814,155.85678840096557,0.23553112,146.88507450422853,0.1595737,126.00162732067741
2024-03-31,0.4015748031496063,0.4015748031496063,192.7016129032258,0.39794296,191.53797568358135,0.4258949476956991,199.22299016333469,0.42429516,198.78314976921726,0.30724525,166.60188898860767
2024-04-30,0.7165354330708661,0.7165354330708661,278.4597222222222,0.71080166,277.55417224658277,0.632921419838524,256.1420711374745,0.69650364,273.6231278163558,0.6624838,264.26984407605346
2024-05-31,0.937007874015748,0.937007874015748,338.80779569892474,0.7514379,288.7265478990305,0.879193872732444,323.85129471105927,0.8506478,316.0029466075656,0.8589016,318.272218907248
2024-06-30,0.984251968503937,0.984251968503937,351.66805555555555,0.94721246,342.5520690757421,0.9953777687058507,355.7944588598407,0.8944413,328.04336692995014,0.8849649,325.4379546969141
2024-07-31,0.8976377952755905,0.8976377952755905,329.9233870967742,0.8642644,319.7466493978696,0.9672443424170234,348.0595602623849,0.88471836,325.3701760910078,0.8721912,321.92600360988075
2024-08-31,0.8031496062992126,0.8031496062992126,303.0147849462366,0.85234636,316.4699405467612,0.7709121552708397,294.0807258537394,0.7806944,296.77022639489246,0.6678112,265.73454040518857
2024-09-30,0.5984251968503937,0.5984251968503937,247.60833333333332,0.60186285,247.60294395138018,0.5893080741624653,244.1511816227455,0.65640134,262.5975511851143,0.519562,224.9754595014891
2024-10-31,0.3464566929133858,0.3464566929133858,177.8709677419355,0.4339243,201.430546718968,0.332602602484403,173.5735430352119,0.3488475,178.03985648484746,0.340606,175.77396819921725
2024-11-30,0.12598425196850394,0.12598425196850394,117.06805555555555,0.12940325,117.70667553927055,0.11469960690476773,113.66411154304834,0.123325214,116.03560351538655,0.2010983,137.41824193406035
2024-12-31,0.047244094488188976,0.047244094488188976,95.06854838709677,0.036977652,92.29552919364227,0.046609905245457425,94.94378461028016,0.07026711,101.44800795724342,0.13392071,118.94869063379289
