Modelo,Metrica,N_localidades,Media,Desvio_padrao_localidades,IC95_inferior,IC95_superior
Climatologia,MAE_wm2,10,12.071309238963709,2.0475110000109997,10.901459470647504,13.306556729573224
MLP,MAE_wm2,10,12.831728365986843,3.9203411507431576,10.645528165071802,15.232993559310199
XGBoost,MAE_wm2,10,13.833471920910531,4.277445884743235,11.236860895348245,16.290199717992724
VizinhosHistoricos,MAE_wm2,10,15.494257728997724,3.2616571761395647,13.542448568442882,17.36599385341901
SazonalIngenuo,MAE_wm2,10,16.94283868558392,6.7418308644200104,13.376210301459293,21.266407695816664
Persistencia,MAE_wm2,10,35.08767138384213,5.659896334606835,31.690776832797752,38.39885902031063
RNN,MAE_wm2,10,43.1299394778549,12.520617954509598,35.892162359228486,50.52859008522552
LSTM,MAE_wm2,10,59.078540627391035,20.075687784928174,47.10298148980594,70.42499981409101
