Localidade,Pais,Modelo,N_seeds,MAE_wm2_media_seeds,MAE_wm2_desvio_seeds,RMSE_wm2_media_seeds,RMSE_wm2_desvio_seeds
BMW San Luis Potosi,Mexico,LSTM,3,33.865281872233574,7.795756017023353,40.18507988720381,9.678094496703517
BMW San Luis Potosi,Mexico,MLP,3,19.936195056522337,2.90925651509761,25.316531513724698,3.0912026058091095
BMW San Luis Potosi,Mexico,RNN,3,34.961375424894136,3.759034515061427,43.323349766376225,2.858335153228835
BMW San Luis Potosi,Mexico,VizinhosHistoricos,1,18.551838280544636,,24.34945889360032,
BMW San Luis Potosi,Mexico,XGBoost,1,18.610379479068936,,21.85459149521768,
BYD Camacari,Brasil,LSTM,3,28.275746590455054,10.159958333159539,32.49238900613072,9.44345563584115
BYD Camacari,Brasil,MLP,3,16.113858288485908,1.9963710181820975,20.18845323355656,2.022646911232223
BYD Camacari,Brasil,RNN,3,28.367924929943246,5.1601424458742375,32.681788452949625,4.663084088924943
BYD Camacari,Brasil,VizinhosHistoricos,1,11.990397310811453,,16.40026964173519,
BYD Camacari,Brasil,XGBoost,1,15.509727544783436,,18.700947337803157,
Ford Rouge Electric Vehicle Center,EUA,LSTM,3,67.8981286645506,2.361999915261758,76.5339761370588,2.449500892284044
Ford Rouge Electric Vehicle Center,EUA,MLP,3,12.415528109029623,0.9138311289247851,15.041694715928509,0.21355262441122894
Ford Rouge Electric Vehicle Center,EUA,RNN,3,49.15113660881542,17.37434289035689,56.4710656884198,18.656548823106032
Ford Rouge Electric Vehicle Center,EUA,VizinhosHistoricos,1,17.253518878175612,,21.181290830867272,
Ford Rouge Electric Vehicle Center,EUA,XGBoost,1,13.671618271743766,,18.713993894548864,
GM Factory Zero,EUA,LSTM,3,67.7657462439876,2.410303806511534,76.2564703029934,2.5701136709139996
GM Factory Zero,EUA,MLP,3,12.017247977638197,1.089411936480176,14.510061692141056,1.3099847820022776
GM Factory Zero,EUA,RNN,3,48.76070316620886,17.600779586616927,55.73643446687927,19.103183029661444
GM Factory Zero,EUA,VizinhosHistoricos,1,18.31579512679244,,21.852198809959187,
GM Factory Zero,EUA,XGBoost,1,13.884698626764015,,18.886172792309416,
Hyundai Metaplant Georgia,EUA,LSTM,3,48.042883227425186,0.5123359806989002,54.40529119424226,1.183730967050514
Hyundai Metaplant Georgia,EUA,MLP,3,11.981806407844708,1.0598896339633348,14.492581889844468,1.7396525478070155
Hyundai Metaplant Georgia,EUA,RNN,3,33.58080465538391,12.830642690897065,40.48328935720187,12.694523318885597
Hyundai Metaplant Georgia,EUA,VizinhosHistoricos,1,11.465791148857468,,14.27800754717296,
Hyundai Metaplant Georgia,EUA,XGBoost,1,9.204263319402909,,12.054542454936362,
Lucid AMP 1 Casa Grande,EUA,LSTM,3,66.5545894190949,2.1373757368160375,74.34941132228596,2.186840158686002
Lucid AMP 1 Casa Grande,EUA,MLP,3,8.916223598488953,1.9685597749831876,10.634603961505546,1.847499069812174
Lucid AMP 1 Casa Grande,EUA,RNN,3,44.734779715972444,19.81532044368095,54.739881669664186,18.450484046930452
Lucid AMP 1 Casa Grande,EUA,VizinhosHistoricos,1,11.136503553737478,,13.877869775993616,
Lucid AMP 1 Casa Grande,EUA,XGBoost,1,6.53358531022393,,8.236661760989474,
Rivian Normal,EUA,LSTM,3,64.55857943058697,2.5481425923412293,76.7491523569725,2.241817610482827
Rivian Normal,EUA,MLP,3,19.15118955797563,0.3835570433306599,22.478465690443695,0.2815430220288878
Rivian Normal,EUA,RNN,3,50.78391801759796,13.776767798612312,61.38543885175674,14.470717390382246
Rivian Normal,EUA,VizinhosHistoricos,1,18.313040440726105,,19.21430587797259,
Rivian Normal,EUA,XGBoost,1,18.8871127835294,,21.038846363439763,
Tesla Fremont Factory,EUA,LSTM,3,84.883506348768,2.3481334051716285,93.8357137298352,2.441786380732172
Tesla Fremont Factory,EUA,MLP,3,9.348237195591759,0.23415366949617275,11.668843826370116,1.1256111463711695
Tesla Fremont Factory,EUA,RNN,3,61.61677287692405,22.02192304959492,74.20962018682336,18.456666551087704
Tesla Fremont Factory,EUA,VizinhosHistoricos,1,17.55206576587557,,19.647898824739823,
Tesla Fremont Factory,EUA,XGBoost,1,9.293840339996695,,11.569332110004355,
Tesla Gigafactory Nevada,EUA,LSTM,3,84.97052544297453,2.6279422076594012,93.01478228722563,2.442995901695621
Tesla Gigafactory Nevada,EUA,MLP,3,8.427462111467687,0.9898798048942152,10.752620347637901,0.6433104586635985
Tesla Gigafactory Nevada,EUA,RNN,3,60.80526512588644,22.445037206351724,72.44546580089121,19.206673775995473
Tesla Gigafactory Nevada,EUA,VizinhosHistoricos,1,17.96298588017569,,20.975556024740477,
Tesla Gigafactory Nevada,EUA,XGBoost,1,17.994639425651602,,21.75059875303651,
Tesla Gigafactory Texas,EUA,LSTM,3,48.63876831106131,1.8050357718103955,57.32356053713713,0.9416889096467609
Tesla Gigafactory Texas,EUA,MLP,3,13.13122324838504,1.339825590954452,16.643369944730434,0.5006781722328106
Tesla Gigafactory Texas,EUA,RNN,3,35.24981074581776,12.31778185369696,43.704372496936486,12.100123551563888
Tesla Gigafactory Texas,EUA,VizinhosHistoricos,1,12.400640904280763,,15.339010198366486,
Tesla Gigafactory Texas,EUA,XGBoost,1,14.744854107940624,,19.130129158165584,
