Localidade,Pais,Frequencia,Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2
BMW San Luis Potosi,Mexico,mensal,Climatologia,0.06754520650314498,0.006878201475258889,0.08293492313409888,0.869412800675996,0.14344955533396372,14.344955533396373,13.22969103126048,263.86709076919067,16.24398629552459,0.8694128006759959,0.0655477939199522,6.55477939199522
BMW San Luis Potosi,Mexico,mensal,VizinhosHistoricos,0.09471783919302522,0.015454974513073766,0.12431803776232057,0.7065770980181703,0.21502844113282318,21.50284411328232,18.551838280544626,592.8961484111315,24.349458893600318,0.7065770980181705,0.09825502709638413,9.825502709638414
BMW San Luis Potosi,Mexico,mensal,XGBoost,0.09501672613029977,0.012450163502041395,0.11158030068986817,0.7636254202925445,0.1929964351942661,19.29964351942661,18.61037947906894,477.6231694228408,21.854591495217676,0.7636254227635362,0.08818772889065687,8.818772889065688
BMW San Luis Potosi,Mexico,mensal,MLP,0.09573125005809054,0.015556799718288092,0.12472690053989192,0.7046438792229138,0.2157356363820475,21.573563638204753,18.7503292368483,596.8024487373916,24.42954049378317,0.7046438792229137,0.09857817266730914,9.857817266730914
BMW San Luis Potosi,Mexico,mensal,LSTM,0.16268084703406202,0.03797691353749095,0.19487666237261697,0.2789832057595937,0.33707115779341856,33.707115779341855,31.863360416592496,1456.9007842033286,38.169369711895015,0.2789832466509615,0.15402118263415845,15.402118263415845
BMW San Luis Potosi,Mexico,mensal,SazonalIngenuo,0.16619007137094774,0.03525242360488907,0.18775628779055328,0.33070944715637285,0.3247553018305843,32.47553018305843,32.55069323976965,1352.3817952475874,36.77474398615968,0.33070944715637285,0.14839358371829692,14.839358371829691
BMW San Luis Potosi,Mexico,mensal,Persistencia,0.17068517362088045,0.03830630789032985,0.19571997315125977,0.272729436345438,0.33852980213325895,33.85298021332589,33.431123058542425,1469.5373576200418,38.334545225162664,0.27272943634543845,0.15468769947967395,15.468769947967395
BMW San Luis Potosi,Mexico,mensal,RNN,0.1709783001175107,0.04652299744448299,0.21569190398455615,0.11673015652625074,0.37307453297679793,37.30745329767979,33.48853547198676,1784.7525890244688,42.24633225529133,0.11673016363060773,0.17047255705372025,17.047255705372024
BYD Camacari,Brasil,mensal,VizinhosHistoricos,0.07785360735911086,0.011339458341847186,0.1064868928171312,0.808059714068602,0.2015258339632695,20.15258339632695,11.990397310811453,268.9688443216209,16.40026964173519,0.8080597140686019,0.06942739429778073,6.942739429778073
BYD Camacari,Brasil,mensal,Climatologia,0.08530082455406113,0.012146545285169695,0.11021136640641788,0.7943983473610644,0.20857437887145955,20.857437887145956,13.137358846138563,288.1127254373003,16.97388362860133,0.7943983473610645,0.0718556790339983,7.185567903399829
BYD Camacari,Brasil,mensal,XGBoost,0.10070460561742316,0.014744075549104148,0.1214251849869052,0.7504305768957759,0.2297964662247489,22.97964662247489,15.50972754478343,349.72543133128676,18.70094733780315,0.7504305769818382,0.07916687182140274,7.916687182140274
BYD Camacari,Brasil,mensal,MLP,0.10417266517053152,0.016329587107870868,0.12778727287124828,0.723593003815751,0.24183668105984252,24.183668105984253,16.04385058946956,387.3333311208042,19.68078583595696,0.7235930038157513,0.08331483007120823,8.331483007120823
BYD Camacari,Brasil,mensal,SazonalIngenuo,0.13713488711398705,0.026756240466197363,0.16357334888727249,0.54710354844916,0.3095616246901071,30.95616246901071,21.12043150531748,634.6506913849794,25.192274438505535,0.54710354844916,0.10664665940912997,10.664665940912997
BYD Camacari,Brasil,mensal,Persistencia,0.1587956304752599,0.042570980524199574,0.20632736251937012,0.27941124453535593,0.390473350298269,39.047335029826904,24.456448008074815,1009.7719915753004,31.77690972349735,0.27941124453535593,0.1345214492890992,13.45214492890992
BYD Camacari,Brasil,mensal,RNN,0.16399380705559724,0.03904705405568318,0.19760327440526682,0.3390599008977263,0.3739630635742219,37.39630635742219,25.25702899786589,926.185334652486,30.433293194337118,0.33905996284798834,0.1288335065544483,12.883350655444831
BYD Camacari,Brasil,mensal,LSTM,0.17071882413978515,0.03939403374366238,0.1984793030612068,0.33318665911532697,0.3756209427816395,37.56209427816395,26.292764195815334,934.415684156145,30.568213623896064,0.3331866594137859,0.12940466630160133,12.940466630160133
Ford Rouge Electric Vehicle Center,EUA,mensal,MLP,0.04509456915879729,0.002951665117038665,0.05432922893837777,0.9640762765171497,0.1177949794128905,11.77949794128905,12.188918597636773,215.64974662830113,14.685017760571526,0.9640762765171497,0.09152653095029567,9.152653095029567
Ford Rouge Electric Vehicle Center,EUA,mensal,SazonalIngenuo,0.04655618888995697,0.004076178662246578,0.06384495800176063,0.9503902003367671,0.13842669333600174,13.842669333600174,12.583989761551637,297.8071227155569,17.257089056835653,0.9503902003367671,0.10755734323408848,10.755734323408848
Ford Rouge Electric Vehicle Center,EUA,mensal,Climatologia,0.049128092110060674,0.0037447574220657322,0.06119442312879281,0.9544238167927372,0.1326798843549922,13.26798843549922,13.279167020712308,273.5933641629126,16.540657912033385,0.9544238167927372,0.10309208085459318,10.309208085459318
Ford Rouge Electric Vehicle Center,EUA,mensal,XGBoost,0.050580019928254255,0.00479348178374436,0.06923497514800131,0.9416601452768881,0.15011316434218325,15.011316434218324,13.671618271743766,350.2135674852121,18.71399389454886,0.941660143102481,0.11663771670688187,11.663771670688188
Ford Rouge Electric Vehicle Center,EUA,mensal,VizinhosHistoricos,0.06383174963817981,0.006140772063619116,0.0783630784465434,0.9252627283795705,0.16990443988835538,16.990443988835537,17.253518878175615,448.647081261782,21.181290830867272,0.9252627283795705,0.13201550739718934,13.201550739718934
