data,ghi_real_normalizado,ghi_previsto_deepnpts_aprox_normalizado,ghi_real_wm2,ghi_previsto_deepnpts_aprox_wm2
2024-01-31,0.03937007874015748,0.08010727,93.5994623655914,104.15342477019809
2024-02-29,0.2125984251968504,0.27004197,140.06896551724137,156.37335828211707
2024-03-31,0.4015748031496063,0.4285835,192.7016129032258,199.9621714011903
2024-04-30,0.7165354330708661,0.7086682,278.4597222222222,276.96759888589327
2024-05-31,0.937007874015748,0.78785205,338.80779569892474,298.73811660046863
2024-06-30,0.984251968503937,0.9488984,351.66805555555555,343.0155888697607
2024-07-31,0.8976377952755905,0.8952101,329.9233870967742,328.2547326115217
2024-08-31,0.8031496062992126,0.75205857,303.0147849462366,288.89719069963553
2024-09-30,0.5984251968503937,0.6177586,247.60833333333332,251.9732547092956
2024-10-31,0.3464566929133858,0.36527777,177.8709677419355,182.5571301387416
2024-11-30,0.12598425196850394,0.16363484,117.06805555555555,127.11817988937312
2024-12-31,0.047244094488188976,0.033884246,95.06854838709677,91.44503960870958
