tarefa,resolucao,particao,modelo,tipo_estimativa,semente,tipo_horizonte,horizonte,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
daily_30,diaria,validacao_2023,Climatologia,deterministica,,cumulativo,1,10,3360,3360,48.35480853964885,62.30237995921593,0.3054478616930543,0.44408998143563183,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,cumulativo,3,10,3360,10080,48.414524563413764,62.35787295071081,0.3057176046515668,0.445152608201009,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,cumulativo,7,10,3360,23520,48.4684361246877,62.41812711285648,0.30581697229320287,0.4458674964556687,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,cumulativo,14,10,3360,47040,48.559500914137985,62.49988006318765,0.3060101027799265,0.4461858694901813,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,cumulativo,30,10,3360,100800,48.65650569930081,62.610419889655724,0.3066405902409519,0.44936508355267746,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,lead_exato,1,10,3360,3360,48.35480853964885,62.30237995921593,0.3054478616930543,0.44408998143563183,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,lead_exato,3,10,3360,3360,48.461963797857365,62.39788047915615,0.30589453910166936,0.44606284072981994,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,lead_exato,7,10,3360,3360,48.52195882701448,62.47638545262795,0.3058296075327858,0.44591261466016113,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,lead_exato,14,10,3360,3360,48.754272220603056,62.664077213798635,0.30636007441390156,0.4446953760576687,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,lead_exato,30,10,3360,3360,48.58516879120753,62.62745355546316,0.3073549223840961,0.4578607706182417,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,DilatedRNN,ensemble,,cumulativo,1,10,3360,3360,43.121601070571714,53.962581267571316,0.26518053892616933,0.5896279946700866,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,DilatedRNN,ensemble,,cumulativo,3,10,3360,10080,43.88172203202379,54.89443110675874,0.2695893654543736,0.5768507254671663,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,DilatedRNN,ensemble,,cumulativo,7,10,3360,23520,44.290515540663186,55.49754676709641,0.2722232713273788,0.5688619579910211,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,DilatedRNN,ensemble,,cumulativo,14,10,3360,47040,44.655252667696836,55.91324422122021,0.2739955875368195,0.5633563532361038,media_aritmetica_das_metricas_por_localidade
