tarefa,epoca,fase,modelo,mse_treino_normalizado,mse_validacao_normalizado,semente
daily_30,1,selecao_epocas,LSTM,0.17973867794594814,0.055380554956103126,11
daily_30,2,selecao_epocas,LSTM,0.041424297651008905,0.03697851843304104,11
daily_30,3,selecao_epocas,LSTM,0.034705616957608404,0.034478562937842475,11
daily_30,4,selecao_epocas,LSTM,0.032930614303486754,0.03361618303117298,11
daily_30,5,selecao_epocas,LSTM,0.03219378038004893,0.033530536019612873,11
daily_30,6,selecao_epocas,LSTM,0.03205171912880623,0.03281969882193066,11
daily_30,7,selecao_epocas,LSTM,0.03156869331516165,0.03271057416522314,11
daily_30,8,selecao_epocas,LSTM,0.031191749196244716,0.032423487844921293,11
daily_30,9,selecao_epocas,LSTM,0.029142325038078128,0.028019748358499436,11
daily_30,10,selecao_epocas,LSTM,0.02731989351116058,0.027655380226316906,11
daily_30,11,selecao_epocas,LSTM,0.027043439516659752,0.027129958167908683,11
daily_30,12,selecao_epocas,LSTM,0.026980352398591166,0.02787673900997828,11
daily_30,13,selecao_epocas,LSTM,0.026899631958954114,0.02688848714979868,11
daily_30,14,selecao_epocas,LSTM,0.026836460841000918,0.027417703318217444,11
daily_30,15,selecao_epocas,LSTM,0.026571884968483013,0.02673472932406834,11
daily_30,16,selecao_epocas,LSTM,0.02695460937351631,0.02722504977195982,11
daily_30,17,selecao_epocas,LSTM,0.026464208907813477,0.02705072902497791,11
daily_30,18,selecao_epocas,LSTM,0.02639591337234871,0.027003061960613917,11
daily_30,19,selecao_epocas,LSTM,0.026277630374659525,0.026539345639092583,11
daily_30,20,selecao_epocas,LSTM,0.026239287168932722,0.026767043878161718,11
daily_30,21,selecao_epocas,LSTM,0.026245189179520574,0.02650292604688614,11
daily_30,22,selecao_epocas,LSTM,0.026337015175635053,0.026383867017806522,11
daily_30,23,selecao_epocas,LSTM,0.026392002997617913,0.02629080059036376,11
daily_30,24,selecao_epocas,LSTM,0.026226817072834384,0.026235955858987477,11
daily_30,25,selecao_epocas,LSTM,0.02617541799616791,0.026732733306430636,11
daily_30,26,selecao_epocas,LSTM,0.026256440489115622,0.026955225751513528,11
daily_30,27,selecao_epocas,LSTM,0.02616121938771585,0.026244164421444848,11
daily_30,28,selecao_epocas,LSTM,0.026126343435708226,0.026335280736287436,11
daily_30,29,selecao_epocas,LSTM,0.026157604496587408,0.02654905230279953,11
daily_30,1,refit_epocas_fixas,LSTM,0.14716727510510877,0.14716727510510877,11
daily_30,2,refit_epocas_fixas,LSTM,0.037108707436303186,0.037108707436303186,11
daily_30,3,refit_epocas_fixas,LSTM,0.033380972872899234,0.033380972872899234,11
daily_30,4,refit_epocas_fixas,LSTM,0.0321973482739992,0.0321973482739992,11
