tarefa,resolucao,particao,modelo,tipo_estimativa,semente,localidade,tipo_horizonte,horizonte,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2
daily_30,diaria,validacao_2023,Persistencia,deterministica,,GM Factory Zero,lead_exato,1,336,336,59.12202405361902,79.48227637801219,0.4778685944846906,0.37190027109862744
daily_30,diaria,validacao_2023,Persistencia,deterministica,,GM Factory Zero,cumulativo,3,336,1008,67.38016733290657,88.50269023873886,0.5322836142084014,0.22244599626274997
daily_30,diaria,validacao_2023,Persistencia,deterministica,,GM Factory Zero,lead_exato,3,336,336,71.18762440057029,92.36641416506089,0.5557735891051394,0.15470796323449465
daily_30,diaria,validacao_2023,Persistencia,deterministica,,GM Factory Zero,cumulativo,7,336,2352,70.00228550077296,91.29236736799447,0.5487745807197222,0.17092136594711005
daily_30,diaria,validacao_2023,Persistencia,deterministica,,GM Factory Zero,lead_exato,7,336,336,73.7070930202802,94.36593539964352,0.5663978960875173,0.1087883498470672
daily_30,diaria,validacao_2023,Persistencia,deterministica,,GM Factory Zero,cumulativo,14,336,4704,72.59848016034178,94.109215725653,0.5651734889191854,0.11564245810831664
daily_30,diaria,validacao_2023,Persistencia,deterministica,,GM Factory Zero,lead_exato,14,336,336,74.67373547099885,96.39888659751728,0.5770721493307804,0.06064166507701163
daily_30,diaria,validacao_2023,Persistencia,deterministica,,GM Factory Zero,cumulativo,30,336,10080,77.13998455618109,98.53736628488777,0.5915406970456181,0.029065762416803365
daily_30,diaria,validacao_2023,Persistencia,deterministica,,GM Factory Zero,lead_exato,30,336,336,85.51016897672699,104.94175467415603,0.631588525932375,-0.08975258036372291
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Hyundai Metaplant Georgia,cumulativo,1,336,336,54.54650341896784,73.06348793856455,0.3593376136054086,0.1467231418860112
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Hyundai Metaplant Georgia,lead_exato,1,336,336,54.54650341896784,73.06348793856455,0.3593376136054086,0.1467231418860112
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Hyundai Metaplant Georgia,cumulativo,3,336,1008,63.86400537263779,83.82224247157995,0.4127218029476348,-0.11372380538715299
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Hyundai Metaplant Georgia,lead_exato,3,336,336,70.26959427197774,90.38602536286201,0.44550173026007656,-0.2863020535422598
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Hyundai Metaplant Georgia,cumulativo,7,336,2352,66.5704371320958,86.13604085151513,0.42395089902959276,-0.17933563347908765
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Hyundai Metaplant Georgia,lead_exato,7,336,336,69.14682533059802,87.55033281454139,0.430815028246334,-0.22174501866318064
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Hyundai Metaplant Georgia,cumulativo,14,336,4704,67.79590999350256,87.36262696605206,0.430192938690312,-0.2099766642578742
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Hyundai Metaplant Georgia,lead_exato,14,336,336,70.36570035275959,89.68244705378837,0.4415316447058391,-0.27657393864006186
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Hyundai Metaplant Georgia,cumulativo,30,336,10080,69.89151008640017,89.23705549066915,0.4401318982216492,-0.25115899964418986
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Hyundai Metaplant Georgia,lead_exato,30,336,336,73.02443016994567,92.14777285993311,0.4555118311494535,-0.32864288405507125
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Lucid AMP 1 Casa Grande,cumulativo,1,336,336,25.417409692491805,41.624360952997414,0.16191796087718519,0.7417354291643329
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Lucid AMP 1 Casa Grande,lead_exato,1,336,336,25.417409692491805,41.624360952997414,0.16191796087718519,0.7417354291643329
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Lucid AMP 1 Casa Grande,cumulativo,3,336,1008,29.759423706266617,47.54802905755984,0.1847367618507058,0.6577454371908666
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Lucid AMP 1 Casa Grande,lead_exato,3,336,336,32.52393263294583,51.459013220482795,0.19973184779102432,0.5939855193892016
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Lucid AMP 1 Casa Grande,cumulativo,7,336,2352,32.08496247019087,49.431887045072735,0.1918663523816035,0.6257902222024683
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Lucid AMP 1 Casa Grande,lead_exato,7,336,336,34.70858053366343,51.01865370003461,0.19773246411125894,0.5947034445529096
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Lucid AMP 1 Casa Grande,cumulativo,14,336,4704,34.50955704483045,51.352432799668826,0.19919437177632468,0.5932469322896892
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Lucid AMP 1 Casa Grande,lead_exato,14,336,336,38.18303640115829,54.745577701585454,0.2122327619847737,0.5346592444912379
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Lucid AMP 1 Casa Grande,cumulativo,30,336,10080,40.6068285065984,56.809795588025814,0.22049818010600608,0.5036333302871485
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Lucid AMP 1 Casa Grande,lead_exato,30,336,336,51.9360121800786,66.92270213118171,0.26091983577502303,0.33587933092571676
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Rivian Normal,cumulativo,1,336,336,57.42410696120489,77.16627577194446,0.420511876068609,0.40288068126341603
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Rivian Normal,lead_exato,1,336,336,57.42410696120489,77.16627577194446,0.420511876068609,0.40288068126341603
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Rivian Normal,cumulativo,3,336,1008,64.76384726970915,84.72142182716588,0.461632856811655,0.27977033854165556
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Rivian Normal,lead_exato,3,336,336,70.47879453500111,90.12737314569239,0.49100603832147405,0.18409216018985786
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Rivian Normal,cumulativo,7,336,2352,67.97558769198503,87.65521916486306,0.47729257435581424,0.226416220384273
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Rivian Normal,lead_exato,7,336,336,70.3834321016357,89.19157935706251,0.48484369657077836,0.19265657540755998
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Rivian Normal,cumulativo,14,336,4704,70.08997615462258,90.0040567101634,0.48929154767661115,0.1785948934246686
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Rivian Normal,lead_exato,14,336,336,71.80270326421375,91.51576500293014,0.49558072234381934,0.13564463191561094
