data,ghi,ghi_quantizado,ghi_normalizado,ghi_t-1,ghi_t-2,ghi_t-3,ghi_t-7,ghi_media_movel_3d,ghi_media_movel_7d,ghi_media_movel_30d,data_alvo,ghi_alvo,ghi_alvo_quantizado,ghi_alvo_original
2019-01-31,134.625,42,0.33070866141732286,0.3779527559055118,0.33070866141732286,0.41732283464566927,0.4645669291338583,0.3753280839895013,0.41957255343082117,0.35748031496062993,2019-02-01,0.4566929133858268,58.0,180.54166666666663
2019-02-01,180.54166666666663,58,0.4566929133858268,0.33070866141732286,0.3779527559055118,0.33070866141732286,0.4645669291338583,0.3464566929133859,0.40044994375703036,0.3556430446194226,2019-02-02,0.3543307086614173,45.0,141.29166666666666
2019-02-02,141.29166666666666,45,0.3543307086614173,0.4566929133858268,0.33070866141732286,0.3779527559055118,0.4645669291338583,0.38845144356955386,0.3993250843644544,0.357742782152231,2019-02-03,0.13385826771653545,17.0,58.625
2019-02-03,58.625,17,0.13385826771653545,0.3543307086614173,0.4566929133858268,0.33070866141732286,0.41732283464566927,0.3805774278215223,0.38357705286839144,0.35643044619422576,2019-02-04,0.2992125984251969,38.0,121.25
2019-02-04,121.25,38,0.2992125984251969,0.13385826771653545,0.3543307086614173,0.4566929133858268,0.41732283464566927,0.31496062992125984,0.3430821147356581,0.34750656167979,2019-02-05,0.3937007874015748,50.0,156.375
2019-02-05,156.375,50,0.3937007874015748,0.2992125984251969,0.13385826771653545,0.3543307086614173,0.33070866141732286,0.26246719160104987,0.3262092238470191,0.3496062992125984,2019-02-06,0.49606299212598426,63.0,196.875
2019-02-06,196.875,63,0.49606299212598426,0.3937007874015748,0.2992125984251969,0.13385826771653545,0.3779527559055118,0.2755905511811024,0.3352080989876266,0.3569553805774278,2019-02-07,0.5275590551181102,67.0,208.125
2019-02-07,208.125,67,0.5275590551181102,0.49606299212598426,0.3937007874015748,0.2992125984251969,0.33070866141732286,0.39632545931758534,0.35208098987626546,0.3603674540682415,2019-02-08,0.5275590551181102,67.0,208.29166666666663
2019-02-08,208.29166666666663,67,0.5275590551181102,0.5275590551181102,0.49606299212598426,0.3937007874015748,0.4566929133858268,0.4724409448818898,0.38020247469066365,0.3645669291338583,2019-02-09,0.2283464566929134,29.0,94.29166666666669
2019-02-09,94.29166666666669,29,0.2283464566929134,0.5275590551181102,0.5275590551181102,0.49606299212598426,0.3543307086614173,0.5170603674540682,0.39032620922384703,0.3766404199475065,2019-02-10,0.4881889763779528,62.0,194.125
2019-02-10,194.125,62,0.4881889763779528,0.2283464566929134,0.5275590551181102,0.5275590551181102,0.13385826771653545,0.42782152230971127,0.37232845894263217,0.3795275590551181,2019-02-11,0.5511811023622047,70.0,216.70833333333331
2019-02-11,216.70833333333331,70,0.5511811023622047,0.4881889763779528,0.2283464566929134,0.5275590551181102,0.2992125984251969,0.4146981627296588,0.42294713160854897,0.3824146981627296,2019-02-12,0.5511811023622047,70.0,215.625
2019-02-12,215.625,70,0.5511811023622047,0.5511811023622047,0.4881889763779528,0.2283464566929134,0.3937007874015748,0.42257217847769035,0.4589426321709786,0.3897637795275591,2019-02-13,0.31496062992125984,40.0,127.29166666666669
2019-02-13,127.29166666666669,40,0.31496062992125984,0.5511811023622047,0.5511811023622047,0.4881889763779528,0.49606299212598426,0.5301837270341209,0.48143982002249724,0.39868766404199474,2019-02-14,0.07874015748031496,10.0,37.0
2019-02-14,37.0,10,0.07874015748031496,0.31496062992125984,0.5511811023622047,0.5511811023622047,0.5275590551181102,0.4724409448818898,0.45556805399325084,0.3973753280839895,2019-02-15,0.29133858267716534,37.0,118.29166666666669
2019-02-15,118.29166666666669,37,0.29133858267716534,0.07874015748031496,0.31496062992125984,0.5511811023622047,0.5275590551181102,0.3149606299212599,0.3914510686164229,0.3958005249343832,2019-02-16,0.5275590551181102,67.0,207.33333333333331
2019-02-16,207.33333333333331,67,0.5275590551181102,0.29133858267716534,0.07874015748031496,0.31496062992125984,0.2283464566929134,0.22834645669291342,0.3577052868391451,0.39238845144356954,2019-02-17,0.4645669291338583,59.0,183.0
2019-02-17,183.0,59,0.4645669291338583,0.5275590551181102,0.29133858267716534,0.07874015748031496,0.4881889763779528,0.2992125984251969,0.40044994375703036,0.3973753280839895,2019-02-18,0.3228346456692913,41.0,131.75
2019-02-18,131.75,41,0.3228346456692913,0.4645669291338583,0.5275590551181102,0.29133858267716534,0.5511811023622047,0.4278215223097113,0.39707536557930256,0.39921259842519685,2019-02-19,0.5748031496062992,73.0,227.08333333333331
2019-02-19,227.08333333333331,73,0.5748031496062992,0.3228346456692913,0.4645669291338583,0.5275590551181102,0.5511811023622047,0.4383202099737533,0.3644544431946007,0.3958005249343832,2019-02-20,0.5826771653543307,74.0,228.0
2019-02-20,228.0,74,0.5826771653543307,0.5748031496062992,0.3228346456692913,0.4645669291338583,0.31496062992125984,0.4540682414698163,0.3678290213723284,0.4023622047244094,2019-02-21,0.08661417322834646,11.0,41.04166666666666
2019-02-21,41.04166666666666,11,0.08661417322834646,0.5826771653543307,0.5748031496062992,0.3228346456692913,0.07874015748031496,0.49343832020997375,0.40607424071991,0.410761154855643,2019-02-22,0.2755905511811024,35.0,111.95833333333331
2019-02-22,111.95833333333331,35,0.2755905511811024,0.08661417322834646,0.5826771653543307,0.5748031496062992,0.29133858267716534,0.4146981627296588,0.4071991001124859,0.3989501312335958,2019-02-23,0.5984251968503937,76.0,234.70833333333331
2019-02-23,234.70833333333331,76,0.5984251968503937,0.2755905511811024,0.08661417322834646,0.5826771653543307,0.5275590551181102,0.31496062992125984,0.40494938132733405,0.3931758530183727,2019-02-24,0.5511811023622047,70.0,215.79166666666663
2019-02-24,215.79166666666663,70,0.5511811023622047,0.5984251968503937,0.2755905511811024,0.08661417322834646,0.4645669291338583,0.32020997375328086,0.41507311586051737,0.39763779527559057,2019-02-25,0.49606299212598426,63.0,195.66666666666663
2019-02-25,195.66666666666663,63,0.49606299212598426,0.5511811023622047,0.5984251968503937,0.2755905511811024,0.3228346456692913,0.4750656167979003,0.42744656917885265,0.4005249343832021,2019-02-26,0.5354330708661418,68.0,211.375
2019-02-26,211.375,68,0.5354330708661418,0.49606299212598426,0.5511811023622047,0.5984251968503937,0.5748031496062992,0.5485564304461943,0.452193475815523,0.4015748031496063,2019-02-27,0.41732283464566927,53.0,165.45833333333334
2019-02-27,165.45833333333334,53,0.41732283464566927,0.5354330708661418,0.49606299212598426,0.5511811023622047,0.5826771653543307,0.5275590551181102,0.44656917885264347,0.40551181102362205,2019-02-28,0.6062992125984252,77.0,238.25
2019-02-28,238.25,77,0.6062992125984252,0.41732283464566927,0.5354330708661418,0.49606299212598426,0.08661417322834646,0.4829396325459318,0.42294713160854897,0.40551181102362205,2019-03-01,0.5196850393700787,66.0,204.08333333333331
2019-03-01,204.08333333333331,66,0.5196850393700787,0.6062992125984252,0.41732283464566927,0.5354330708661418,0.2755905511811024,0.5196850393700788,0.4971878515185602,0.4146981627296588,2019-03-02,0.4015748031496063,51.0,160.375
2019-03-02,160.375,51,0.4015748031496063,0.5196850393700787,0.6062992125984252,0.41732283464566927,0.5984251968503937,0.5144356955380577,0.532058492688414,0.41942257217847767,2019-03-03,0.6220472440944882,79.0,244.0
2019-03-03,244.0,79,0.6220472440944882,0.4015748031496063,0.5196850393700787,0.6062992125984252,0.5511811023622047,0.5091863517060368,0.5039370078740159,0.4217847769028872,2019-03-04,0.5748031496062992,73.0,225.875
