data,ghi,ghi_quantizado,ghi_normalizado,ghi_t-1,ghi_t-2,ghi_t-3,ghi_t-4,ghi_t-5,ghi_t-6,ghi_t-7,ghi_t-8,ghi_t-9,ghi_t-10,ghi_t-11,ghi_t-12,ghi_media_movel_3m,ghi_media_movel_6m,ghi_media_movel_12m,data_alvo,ghi_alvo,ghi_alvo_quantizado,ghi_alvo_original,mes_alvo_sin,mes_alvo_cos
2019-12-31,102.28360215053763,0,0.0,0.0,0.1883604371919752,0.29635874639428095,0.6870419401439035,0.6836861247752957,0.9066345229302826,0.875108578011269,0.960577472443249,0.7416742148706585,0.5353464974010952,0.11102454178254408,0.09322612561140453,0.16157306119541873,0.4603469619059563,0.5065866001296632,2020-01-31,0.08521341675840638,11.0,118.72177419354838,0.0,1.0
2020-01-31,118.72177419354838,11,0.08521341675840638,0.08521341675840638,0.0,0.1883604371919752,0.29635874639428095,0.6870419401439035,0.6836861247752957,0.9066345229302826,0.875108578011269,0.960577472443249,0.7416742148706585,0.5353464974010952,0.11102454178254408,0.0911912846501272,0.3234434442106436,0.5059188743919133,2020-02-29,0.18296702319817368,23.0,137.57902298850576,0.49999999999999994,0.8660254037844387
2020-02-29,137.57902298850576,23,0.18296702319817368,0.18296702319817368,0.08521341675840638,0.0,0.1883604371919752,0.29635874639428095,0.6870419401439035,0.6836861247752957,0.9066345229302826,0.875108578011269,0.960577472443249,0.7416742148706585,0.5353464974010952,0.08939347998552667,0.2399902606144566,0.5119140811765491,2020-03-31,0.43309039729100757,55.0,185.8293010752688,0.8660254037844386,0.5000000000000001
2020-03-31,185.8293010752688,55,0.43309039729100757,0.43309039729100757,0.18296702319817368,0.08521341675840638,0.0,0.1883604371919752,0.29635874639428095,0.6870419401439035,0.6836861247752957,0.9066345229302826,0.875108578011269,0.960577472443249,0.7416742148706585,0.2337569457491959,0.1976650034723073,0.5033927395007085,2020-04-30,0.7690479508368054,98.0,250.6375,1.0,6.123233995736766e-17
2020-04-30,250.6375,98,0.7690479508368054,0.7690479508368054,0.43309039729100757,0.18296702319817368,0.08521341675840638,0.0,0.1883604371919752,0.29635874639428095,0.6870419401439035,0.6836861247752957,0.9066345229302826,0.875108578011269,0.960577472443249,0.46170179044199555,0.27644653754606135,0.5056738841645542,2020-05-31,0.8978832513482254,114.0,275.49059139784947,0.8660254037844387,-0.4999999999999998
2020-05-31,275.49059139784947,114,0.8978832513482254,0.8978832513482254,0.7690479508368054,0.43309039729100757,0.18296702319817368,0.08521341675840638,0.0,0.1883604371919752,0.29635874639428095,0.6870419401439035,0.6836861247752957,0.9066345229302826,0.875108578011269,0.7000071998253462,0.39470033990543646,0.5004493657399688,2020-06-30,0.8201955100960131,104.0,260.50416666666666,0.49999999999999994,-0.8660254037844387
2020-06-30,260.50416666666666,104,0.8201955100960131,0.8201955100960131,0.8978832513482254,0.7690479508368054,0.43309039729100757,0.18296702319817368,0.08521341675840638,0.0,0.1883604371919752,0.29635874639428095,0.6870419401439035,0.6836861247752957,0.9066345229302826,0.8290422374270147,0.5313995915881052,0.4958732767470308,2020-07-31,0.9149816752832319,116.0,278.7889784946237,1.2246467991473532e-16,-1.0
2020-07-31,278.7889784946237,116,0.9149816752832319,0.9149816752832319,0.8201955100960131,0.8978832513482254,0.7690479508368054,0.43309039729100757,0.18296702319817368,0.08521341675840638,0.0,0.1883604371919752,0.29635874639428095,0.6870419401439035,0.6836861247752957,0.8776868122424902,0.6696943013422428,0.4965688727764432,2020-08-31,0.7019620685330472,89.0,237.69623655913978,-0.4999999999999997,-0.8660254037844388
2020-08-31,237.69623655913978,89,0.7019620685330472,0.7019620685330472,0.9149816752832319,0.8201955100960131,0.8978832513482254,0.7690479508368054,0.43309039729100757,0.18296702319817368,0.08521341675840638,0.0,0.1883604371919752,0.29635874639428095,0.6870419401439035,0.8123797513040975,0.7561934755647218,0.49809186808958916,2020-09-30,0.4256882800778509,54.0,184.40138888888887,-0.8660254037844384,-0.5000000000000004
2020-09-30,184.40138888888887,54,0.4256882800778509,0.4256882800778509,0.7019620685330472,0.9149816752832319,0.8201955100960131,0.8978832513482254,0.7690479508368054,0.43309039729100757,0.18296702319817368,0.08521341675840638,0.0,0.1883604371919752,0.29635874639428095,0.6808773412980433,0.754959789362529,0.4763123964174181,2020-10-31,0.3470339042098075,44.0,169.2284946236559,-1.0,-1.8369701987210297e-16
