data,ghi,ghi_quantizado,ghi_normalizado,ghi_t-1,ghi_t-2,ghi_t-3,ghi_t-6,ghi_media_movel_3m,ghi_media_movel_6m,ghi_media_movel_12m,data_alvo,ghi_alvo,ghi_alvo_quantizado,ghi_alvo_original
2019-12-31,117.16397849462366,0,0.0,0.0,0.13385826771653545,0.4645669291338583,0.8267716535433071,0.19947506561679793,0.45144356955380577,0.5104986876640419,2020-01-31,0.13385826771653545,17.0,149.13440860215056
2020-01-31,149.13440860215056,17,0.13385826771653545,0.13385826771653545,0.0,0.13385826771653545,0.7401574803149606,0.08923884514435697,0.3359580052493438,0.5124671916010499,2020-02-29,0.29133858267716534,37.0,188.47126436781608
2020-02-29,188.47126436781608,37,0.29133858267716534,0.29133858267716534,0.13385826771653545,0.0,0.5433070866141733,0.14173228346456693,0.26115485564304464,0.5196850393700787,2020-03-31,0.4566929133858268,58.0,228.375
2020-03-31,228.375,58,0.4566929133858268,0.4566929133858268,0.29133858267716534,0.13385826771653545,0.4645669291338583,0.29396325459317585,0.24671916010498687,0.5164041994750656,2020-04-30,0.8031496062992126,102.0,313.48055555555555
2020-04-30,313.48055555555555,102,0.8031496062992126,0.8031496062992126,0.4566929133858268,0.29133858267716534,0.13385826771653545,0.5170603674540682,0.3031496062992126,0.5196850393700788,2020-05-31,0.9448818897637795,120.0,347.32930107526886
2020-05-31,347.32930107526886,120,0.9448818897637795,0.9448818897637795,0.8031496062992126,0.4566929133858268,0.0,0.7349081364829396,0.4383202099737533,0.5275590551181103,2020-06-30,1.0,127.0,361.0236111111111
2020-06-30,361.0236111111111,127,1.0,1.0,0.9448818897637795,0.8031496062992126,0.13385826771653545,0.916010498687664,0.60498687664042,0.5282152230971129,2020-07-31,0.8267716535433071,105.0,318.9032258064516
2020-07-31,318.9032258064516,105,0.8267716535433071,0.8267716535433071,1.0,0.9448818897637795,0.29133858267716534,0.9238845144356955,0.7204724409448818,0.5282152230971129,2020-08-31,0.7559055118110236,96.0,301.85887096774195
2020-08-31,301.85887096774195,96,0.7559055118110236,0.7559055118110236,0.8267716535433071,1.0,0.4566929133858268,0.8608923884514436,0.7979002624671917,0.5295275590551182,2020-09-30,0.6062992125984252,77.0,265.6305555555556
2020-09-30,265.6305555555556,77,0.6062992125984252,0.6062992125984252,0.7559055118110236,0.8267716535433071,0.8031496062992126,0.7296587926509185,0.8228346456692913,0.5347769028871391,2020-10-31,0.4015748031496063,51.0,214.75403225806448
2020-10-31,214.75403225806448,51,0.4015748031496063,0.4015748031496063,0.6062992125984252,0.7559055118110236,0.9448818897637795,0.5879265091863517,0.7559055118110236,0.5295275590551182,2020-11-30,0.18110236220472442,23.0,161.025
2020-11-30,161.025,23,0.18110236220472442,0.18110236220472442,0.4015748031496063,0.6062992125984252,1.0,0.3963254593175853,0.6286089238845144,0.5334645669291339,2020-12-31,0.10236220472440945,13.0,141.53897849462365
2020-12-31,141.53897849462365,13,0.10236220472440945,0.10236220472440945,0.18110236220472442,0.4015748031496063,0.8267716535433071,0.22834645669291334,0.47900262467191596,0.541994750656168,2021-01-31,0.12598425196850394,16.0,147.20295698924733
2021-01-31,147.20295698924733,16,0.12598425196850394,0.12598425196850394,0.10236220472440945,0.18110236220472442,0.7559055118110236,0.1364829396325459,0.36220472440944884,0.5413385826771654,2021-02-28,0.36220472440944884,46.0,205.72619047619045
2021-02-28,205.72619047619045,46,0.36220472440944884,0.36220472440944884,0.12598425196850394,0.10236220472440945,0.6062992125984252,0.19685039370078736,0.29658792650918636,0.547244094488189,2021-03-31,0.5196850393700787,66.0,244.81317204301075
2021-03-31,244.81317204301075,66,0.5196850393700787,0.5196850393700787,0.36220472440944884,0.12598425196850394,0.4015748031496063,0.33595800524934377,0.2821522309711286,0.5524934383202099,2021-04-30,0.7637795275590551,97.0,303.8833333333333
2021-04-30,303.8833333333333,97,0.7637795275590551,0.7637795275590551,0.5196850393700787,0.36220472440944884,0.18110236220472442,0.5485564304461942,0.3425196850393701,0.5492125984251969,2021-05-31,0.968503937007874,123.0,354.619623655914
2021-05-31,354.619623655914,123,0.968503937007874,0.968503937007874,0.7637795275590551,0.5196850393700787,0.10236220472440945,0.7506561679790025,0.473753280839895,0.5511811023622047,2021-06-30,0.9212598425196851,117.0,343.09583333333336
2021-06-30,343.09583333333336,117,0.9212598425196851,0.9212598425196851,0.968503937007874,0.7637795275590551,0.12598425196850394,0.884514435695538,0.610236220472441,0.5446194225721784,2021-07-31,0.6377952755905512,81.0,272.93817204301075
2021-07-31,272.93817204301075,81,0.6377952755905512,0.6377952755905512,0.9212598425196851,0.968503937007874,0.36220472440944884,0.84251968503937,0.6955380577427821,0.5288713910761155,2021-08-31,0.7165354330708661,91.0,291.8010752688172
2021-08-31,291.8010752688172,91,0.7165354330708661,0.7165354330708661,0.6377952755905512,0.9212598425196851,0.5196850393700787,0.758530183727034,0.7545931758530183,0.5255905511811023,2021-09-30,0.5433070866141733,69.0,250.18333333333334
2021-09-30,250.18333333333334,69,0.5433070866141733,0.5433070866141733,0.7165354330708661,0.6377952755905512,0.7637795275590551,0.6325459317585301,0.7585301837270341,0.5203412073490813,2021-10-31,0.4015748031496063,51.0,215.27284946236557
2021-10-31,215.27284946236557,51,0.4015748031496063,0.4015748031496063,0.5433070866141733,0.7165354330708661,0.968503937007874,0.5538057742782151,0.6981627296587926,0.5203412073490813,2021-11-30,0.18110236220472442,23.0,161.63194444444443
2021-11-30,161.63194444444443,23,0.18110236220472442,0.18110236220472442,0.4015748031496063,0.5433070866141733,0.9212598425196851,0.37532808398950124,0.5669291338582677,0.5203412073490814,2021-12-31,0.031496062992125984,4.0,125.33198924731182
2021-12-31,125.33198924731182,4,0.031496062992125984,0.031496062992125984,0.18110236220472442,0.4015748031496063,0.6377952755905512,0.20472440944881884,0.41863517060367456,0.5144356955380578,2022-01-31,0.14960629921259844,19.0,153.6801075268817
2022-01-31,153.6801075268817,19,0.14960629921259844,0.14960629921259844,0.031496062992125984,0.18110236220472442,0.7165354330708661,0.12073490813648287,0.33727034120734906,0.5164041994750656,2022-02-28,0.3543307086614173,45.0,203.3943452380952
2022-02-28,203.3943452380952,45,0.3543307086614173,0.3543307086614173,0.14960629921259844,0.031496062992125984,0.5433070866141733,0.17847769028871383,0.27690288713910766,0.5157480314960631,2022-03-31,0.5669291338582677,72.0,255.6760752688172
2022-03-31,255.6760752688172,72,0.5669291338582677,0.5669291338582677,0.3543307086614173,0.14960629921259844,0.4015748031496063,0.35695538057742776,0.2808398950131234,0.5196850393700788,2022-04-30,0.8346456692913385,106.0,320.74444444444447
2022-04-30,320.74444444444447,106,0.8346456692913385,0.8346456692913385,0.5669291338582677,0.3543307086614173,0.18110236220472442,0.5853018372703411,0.353018372703412,0.5255905511811023,2022-05-31,0.968503937007874,123.0,353.2459677419355
2022-05-31,353.2459677419355,123,0.968503937007874,0.968503937007874,0.8346456692913385,0.5669291338582677,0.031496062992125984,0.79002624671916,0.48425196850393704,0.5255905511811023,2022-06-30,0.889763779527559,113.0,334.77916666666664
2022-06-30,334.77916666666664,113,0.889763779527559,0.889763779527559,0.968503937007874,0.8346456692913385,0.14960629921259844,0.8976377952755904,0.6272965879265092,0.5229658792650919,2022-07-31,0.7637795275590551,97.0,304.4086021505376
2022-07-31,304.4086021505376,97,0.7637795275590551,0.7637795275590551,0.889763779527559,0.968503937007874,0.3543307086614173,0.874015748031496,0.7296587926509185,0.5334645669291338,2022-08-31,0.6771653543307087,86.0,282.07930107526886
2022-08-31,282.07930107526886,86,0.6771653543307087,0.6771653543307087,0.7637795275590551,0.889763779527559,0.5669291338582677,0.7769028871391076,0.7834645669291338,0.5301837270341208,2022-09-30,0.5590551181102362,71.0,252.83194444444445
2022-09-30,252.83194444444445,71,0.5590551181102362,0.5590551181102362,0.6771653543307087,0.7637795275590551,0.8346456692913385,0.6666666666666666,0.7821522309711285,0.531496062992126,2022-10-31,0.3858267716535433,49.0,211.99193548387095
2022-10-31,211.99193548387095,49,0.3858267716535433,0.3858267716535433,0.5590551181102362,0.6771653543307087,0.968503937007874,0.5406824146981627,0.7073490813648293,0.5301837270341208,2022-11-30,0.2047244094488189,26.0,166.49305555555554
2022-11-30,166.49305555555554,26,0.2047244094488189,0.2047244094488189,0.3858267716535433,0.5590551181102362,0.889763779527559,0.3832020997375328,0.5800524934383201,0.5321522309711285,2022-12-31,0.031496062992125984,4.0,125.21505376344085
2022-12-31,125.21505376344085,4,0.031496062992125984,0.031496062992125984,0.2047244094488189,0.3858267716535433,0.7637795275590551,0.20734908136482935,0.437007874015748,0.5321522309711285,2023-01-31,0.09448818897637795,12.0,140.9771505376344
2023-01-31,140.9771505376344,12,0.09448818897637795,0.09448818897637795,0.031496062992125984,0.2047244094488189,0.6771653543307087,0.1102362204724409,0.32545931758530183,0.5275590551181102,2023-02-28,0.2755905511811024,35.0,184.67410714285714
2023-02-28,184.67410714285714,35,0.2755905511811024,0.2755905511811024,0.09448818897637795,0.031496062992125984,0.5590551181102362,0.13385826771653542,0.2585301837270341,0.520997375328084,2023-03-31,0.4409448818897638,56.0,224.21774193548387
2023-03-31,224.21774193548387,56,0.4409448818897638,0.4409448818897638,0.2755905511811024,0.09448818897637795,0.3858267716535433,0.27034120734908135,0.2388451443569554,0.5104986876640419,2023-04-30,0.8188976377952756,104.0,318.1652777777778
2023-04-30,318.1652777777778,104,0.8188976377952756,0.8188976377952756,0.4409448818897638,0.2755905511811024,0.2047244094488189,0.5118110236220472,0.3110236220472441,0.5091863517060368,2023-05-31,0.937007874015748,119.0,345.4516129032258
2023-05-31,345.4516129032258,119,0.937007874015748,0.937007874015748,0.8188976377952756,0.4409448818897638,0.031496062992125984,0.7322834645669292,0.43307086614173224,0.5065616797900262,2023-06-30,1.0,127.0,361.47083333333336
2023-06-30,361.47083333333336,127,1.0,1.0,0.937007874015748,0.8188976377952756,0.09448818897637795,0.9186351706036745,0.5944881889763779,0.515748031496063,2023-07-31,0.8661417322834646,110.0,329.3817204301075
2023-07-31,329.3817204301075,110,0.8661417322834646,0.8661417322834646,1.0,0.937007874015748,0.2755905511811024,0.9343832020997375,0.7230971128608924,0.524278215223097,2023-08-31,0.6692913385826772,85.0,280.9489247311828
2023-08-31,280.9489247311828,85,0.6692913385826772,0.6692913385826772,0.8661417322834646,1.0,0.4409448818897638,0.8451443569553806,0.7887139107611548,0.5236220472440946,2023-09-30,0.5748031496062992,73.0,257.46944444444443
2023-09-30,257.46944444444443,73,0.5748031496062992,0.5748031496062992,0.6692913385826772,0.8661417322834646,0.8188976377952756,0.7034120734908136,0.811023622047244,0.5249343832020997,2023-10-31,0.4330708661417323,55.0,223.7782258064516
2023-10-31,223.7782258064516,55,0.4330708661417323,0.4330708661417323,0.5748031496062992,0.6692913385826772,0.937007874015748,0.5590551181102362,0.7467191601049868,0.5288713910761155,2023-11-30,0.1889763779527559,24.0,163.51944444444445
2023-11-30,163.51944444444445,24,0.1889763779527559,0.1889763779527559,0.4330708661417323,0.5748031496062992,1.0,0.39895013123359585,0.6220472440944882,0.5275590551181103,2023-12-31,0.07086614173228346,9.0,134.58064516129033
2023-12-31,134.58064516129033,9,0.07086614173228346,0.07086614173228346,0.1889763779527559,0.4330708661417323,0.8661417322834646,0.23097112860892388,0.46719160104986873,0.5308398950131233,2024-01-31,0.08661417322834646,11.0,137.9798387096774
2024-01-31,137.9798387096774,11,0.08661417322834646,0.08661417322834646,0.07086614173228346,0.1889763779527559,0.6692913385826772,0.11548556430446194,0.33727034120734906,0.5301837270341208,2024-02-29,0.2440944881889764,31.0,176.53879310344828
2024-02-29,176.53879310344828,31,0.2440944881889764,0.2440944881889764,0.08661417322834646,0.07086614173228346,0.5748031496062992,0.13385826771653545,0.2664041994750656,0.5275590551181103,2024-03-31,0.47244094488188976,60.0,233.08602150537632
2024-03-31,233.08602150537632,60,0.47244094488188976,0.47244094488188976,0.2440944881889764,0.08661417322834646,0.4330708661417323,0.2677165354330709,0.24934383202099739,0.5301837270341208,2024-04-30,0.8267716535433071,105.0,319.31111111111113
2024-04-30,319.31111111111113,105,0.8267716535433071,0.8267716535433071,0.47244094488188976,0.2440944881889764,0.1889763779527559,0.5144356955380577,0.3149606299212598,0.5308398950131233,2024-05-31,0.952755905511811,121.0,350.38440860215053
2024-05-31,350.38440860215053,121,0.952755905511811,0.952755905511811,0.8267716535433071,0.47244094488188976,0.07086614173228346,0.7506561679790026,0.442257217847769,0.5321522309711286,2024-06-30,0.8740157480314961,111.0,331.58194444444445
2024-06-30,331.58194444444445,111,0.8740157480314961,0.8740157480314961,0.952755905511811,0.8267716535433071,0.08661417322834646,0.884514435695538,0.5761154855643045,0.5216535433070866,2024-07-31,0.8503937007874016,108.0,324.9180107526882
2024-07-31,324.9180107526882,108,0.8503937007874016,0.8503937007874016,0.8740157480314961,0.952755905511811,0.2440944881889764,0.8923884514435696,0.7034120734908136,0.5203412073490814,2024-08-31,0.6771653543307087,86.0,283.14516129032256
2024-08-31,283.14516129032256,86,0.6771653543307087,0.6771653543307087,0.8503937007874016,0.8740157480314961,0.47244094488188976,0.8005249343832022,0.7755905511811023,0.520997375328084,2024-09-30,0.6456692913385826,82.0,274.7944444444445
2024-09-30,274.7944444444445,82,0.6456692913385826,0.6456692913385826,0.6771653543307087,0.8503937007874016,0.8267716535433071,0.7244094488188977,0.8044619422572178,0.5269028871391076,2024-10-31,0.41732283464566927,53.0,219.50134408602148
2024-10-31,219.50134408602148,53,0.41732283464566927,0.41732283464566927,0.6456692913385826,0.6771653543307087,0.952755905511811,0.5800524934383202,0.7362204724409449,0.5255905511811023,2024-11-30,0.1889763779527559,24.0,163.96944444444443
2024-11-30,163.96944444444443,24,0.1889763779527559,0.1889763779527559,0.41732283464566927,0.6456692913385826,0.8740157480314961,0.4173228346456692,0.6089238845144357,0.5255905511811024,2024-12-31,0.11023622047244094,14.0,143.70698924731184
