data,ghi,ghi_quantizado,ghi_normalizado,ghi_t-1,ghi_t-2,ghi_t-3,ghi_t-4,ghi_t-5,ghi_t-6,ghi_t-7,ghi_t-8,ghi_t-9,ghi_t-10,ghi_t-11,ghi_t-12,ghi_media_movel_3m,ghi_media_movel_6m,ghi_media_movel_12m,data_alvo,ghi_alvo,ghi_alvo_quantizado,ghi_alvo_original,mes_alvo_sin,mes_alvo_cos
2019-12-31,67.59005376344085,9,0.0712954973868026,0.0712954973868026,0.1444573287682525,0.3077967256719846,0.5882157898304213,0.7722424035919784,1.0,0.8386086395802762,0.7034639290837046,0.5418307586057817,0.4477333054885387,0.19645065229833397,0.11736580915690718,0.17451651727567988,0.48066795754157327,0.47745506995524845,2020-01-31,0.046438522540544376,6.0,61.51075268817204,0.0,1.0
2020-01-31,61.51075268817204,6,0.046438522540544376,0.046438522540544376,0.0712954973868026,0.1444573287682525,0.3077967256719846,0.5882157898304213,0.7722424035919784,1.0,0.8386086395802762,0.7034639290837046,0.5418307586057817,0.4477333054885387,0.19645065229833397,0.08739711623186651,0.321741044631664,0.47154446273721823,2020-02-29,0.23867922436581232,30.0,108.52729885057471,0.49999999999999994,0.8660254037844387
2020-02-29,108.52729885057471,30,0.23867922436581232,0.23867922436581232,0.046438522540544376,0.0712954973868026,0.1444573287682525,0.3077967256719846,0.5882157898304213,0.7722424035919784,1.0,0.8386086395802762,0.7034639290837046,0.5418307586057817,0.4477333054885387,0.11880441476438643,0.23281384809396963,0.47506351040950806,2020-03-31,0.30536213804056905,39.0,124.83602150537634,0.8660254037844386,0.5000000000000001
2020-03-31,124.83602150537634,39,0.30536213804056905,0.30536213804056905,0.23867922436581232,0.046438522540544376,0.0712954973868026,0.1444573287682525,0.3077967256719846,0.5882157898304213,0.7722424035919784,1.0,0.8386086395802762,0.7034639290837046,0.5418307586057817,0.1968266283156419,0.1856715727956609,0.4631992464555106,2020-04-30,0.6435734397297589,82.0,207.55277777777778,1.0,6.123233995736766e-17
2020-04-30,207.55277777777778,82,0.6435734397297589,0.6435734397297589,0.30536213804056905,0.23867922436581232,0.046438522540544376,0.0712954973868026,0.1444573287682525,0.3077967256719846,0.5882157898304213,0.7722424035919784,1.0,0.8386086395802762,0.7034639290837046,0.3958716007120468,0.2416343584719566,0.471677803215842,2020-05-31,0.6582894136655656,84.0,211.1518817204301,0.8660254037844387,-0.4999999999999998
2020-05-31,211.1518817204301,84,0.6582894136655656,0.6582894136655656,0.6435734397297589,0.30536213804056905,0.23867922436581232,0.046438522540544376,0.0712954973868026,0.1444573287682525,0.3077967256719846,0.5882157898304213,0.7722424035919784,1.0,0.8386086395802762,0.5357416638119645,0.32727303928817547,0.4679132602643305,2020-06-30,0.9660822923593516,123.0,286.4291666666667,0.49999999999999994,-0.8660254037844387
2020-06-30,286.4291666666667,123,0.9660822923593516,0.9660822923593516,0.6582894136655656,0.6435734397297589,0.30536213804056905,0.23867922436581232,0.046438522540544376,0.0712954973868026,0.1444573287682525,0.3077967256719846,0.5882157898304213,0.7722424035919784,1.0,0.7559817152515587,0.4764041717836003,0.47853606466258675,2020-07-31,0.9376239963508662,119.0,279.46908602150535,1.2246467991473532e-16,-1.0
2020-07-31,279.46908602150535,119,0.9376239963508662,0.9376239963508662,0.9660822923593516,0.6582894136655656,0.6435734397297589,0.30536213804056905,0.23867922436581232,0.046438522540544376,0.0712954973868026,0.1444573287682525,0.3077967256719846,0.5882157898304213,0.7722424035919784,0.8539985674585946,0.6249350840853206,0.47333806435849235,2020-08-31,0.8796060694324606,112.0,265.2795698924731,-0.4999999999999997,-0.8660254037844388
2020-08-31,265.2795698924731,112,0.8796060694324606,0.8796060694324606,0.9376239963508662,0.9660822923593516,0.6582894136655656,0.6435734397297589,0.30536213804056905,0.23867922436581232,0.046438522540544376,0.0712954973868026,0.1444573287682525,0.3077967256719846,0.5882157898304213,0.9277707860475596,0.7317562249297619,0.48228503651186583,2020-09-30,0.5453516596047137,69.0,183.53055555555554,-0.8660254037844384,-0.5000000000000004
2020-09-30,183.53055555555554,69,0.5453516596047137,0.5453516596047137,0.8796060694324606,0.9376239963508662,0.9660822923593516,0.6582894136655656,0.6435734397297589,0.30536213804056905,0.23867922436581232,0.046438522540544376,0.0712954973868026,0.1444573287682525,0.3077967256719846,0.7875272417960136,0.7717544785237861,0.47871302565972346,2020-10-31,0.30367496331631494,39.0,124.42338709677418,-1.0,-1.8369701987210297e-16
