data,ghi,ghi_quantizado,ghi_normalizado,ghi_t-1,ghi_t-2,ghi_t-3,ghi_t-6,ghi_media_movel_3m,ghi_media_movel_6m,ghi_media_movel_12m,data_alvo,ghi_alvo,ghi_alvo_quantizado,ghi_alvo_original
2019-12-31,86.88440860215053,2,0.015748031496062992,0.015748031496062992,0.16535433070866143,0.4251968503937008,0.952755905511811,0.20209973753280838,0.489501312335958,0.49343832020997375,2020-01-31,0.07086614173228346,9.0,101.26747311827957
2020-01-31,101.26747311827957,9,0.07086614173228346,0.07086614173228346,0.015748031496062992,0.16535433070866143,0.8188976377952756,0.08398950131233592,0.3425196850393701,0.49343832020997375,2020-02-29,0.31496062992125984,40.0,169.29454022988503
2020-02-29,169.29454022988503,40,0.31496062992125984,0.31496062992125984,0.07086614173228346,0.015748031496062992,0.5590551181102362,0.1338582677165354,0.2585301837270341,0.505249343832021,2020-03-31,0.4566929133858268,58.0,206.89381720430106
2020-03-31,206.89381720430106,58,0.4566929133858268,0.4566929133858268,0.31496062992125984,0.07086614173228346,0.4251968503937008,0.2808398950131233,0.2414698162729659,0.5091863517060368,2020-04-30,0.7086614173228346,90.0,276.1777777777778
2020-04-30,276.1777777777778,90,0.7086614173228346,0.7086614173228346,0.4566929133858268,0.31496062992125984,0.16535433070866143,0.49343832020997375,0.2887139107611548,0.515748031496063,2020-05-31,0.8661417322834646,110.0,320.2741935483871
2020-05-31,320.2741935483871,110,0.8661417322834646,0.8661417322834646,0.7086614173228346,0.4566929133858268,0.015748031496062992,0.6771653543307087,0.40551181102362205,0.5295275590551181,2020-06-30,0.952755905511811,121.0,343.0847222222222
2020-06-30,343.0847222222222,121,0.952755905511811,0.952755905511811,0.8661417322834646,0.7086614173228346,0.07086614173228346,0.84251968503937,0.5616797900262467,0.5255905511811023,2020-07-31,0.9763779527559056,124.0,349.8037634408602
2020-07-31,349.8037634408602,124,0.9763779527559056,0.9763779527559056,0.952755905511811,0.8661417322834646,0.31496062992125984,0.931758530183727,0.7125984251968505,0.5275590551181102,2020-08-31,0.7637795275590551,97.0,291.3212365591398
2020-08-31,291.3212365591398,97,0.7637795275590551,0.7637795275590551,0.9763779527559056,0.952755905511811,0.4566929133858268,0.8976377952755904,0.7874015748031495,0.5229658792650919,2020-09-30,0.6141732283464567,78.0,250.56805555555556
2020-09-30,250.56805555555556,78,0.6141732283464567,0.6141732283464567,0.7637795275590551,0.9763779527559056,0.7086614173228346,0.7847769028871391,0.8136482939632544,0.5275590551181103,2020-10-31,0.4094488188976378,52.0,195.6088709677419
2020-10-31,195.6088709677419,52,0.4094488188976378,0.4094488188976378,0.6141732283464567,0.7637795275590551,0.8661417322834646,0.5958005249343831,0.7637795275590551,0.526246719160105,2020-11-30,0.18110236220472442,23.0,130.9152777777778
2020-11-30,130.9152777777778,23,0.18110236220472442,0.18110236220472442,0.4094488188976378,0.6141732283464567,0.952755905511811,0.4015748031496063,0.6496062992125984,0.5275590551181102,2020-12-31,0.07874015748031496,10.0,102.86155913978493
2020-12-31,102.86155913978493,10,0.07874015748031496,0.07874015748031496,0.18110236220472442,0.4094488188976378,0.9763779527559056,0.22309711286089237,0.5039370078740157,0.5328083989501312,2021-01-31,0.06299212598425197,8.0,99.88306451612904
2021-01-31,99.88306451612904,8,0.06299212598425197,0.06299212598425197,0.07874015748031496,0.18110236220472442,0.7637795275590551,0.1076115485564304,0.35170603674540685,0.5321522309711286,2021-02-28,0.25196850393700787,32.0,151.64285714285714
2021-02-28,151.64285714285714,32,0.25196850393700787,0.25196850393700787,0.06299212598425197,0.07874015748031496,0.6141732283464567,0.13123359580052488,0.26640419947506566,0.5269028871391076,2021-03-31,0.48031496062992124,61.0,214.98521505376343
2021-03-31,214.98521505376343,61,0.48031496062992124,0.48031496062992124,0.25196850393700787,0.06299212598425197,0.4094488188976378,0.2650918635170603,0.2440944881889764,0.5288713910761155,2021-04-30,0.7401574803149606,94.0,285.2416666666667
2021-04-30,285.2416666666667,94,0.7401574803149606,0.7401574803149606,0.48031496062992124,0.25196850393700787,0.18110236220472442,0.4908136482939633,0.2992125984251969,0.5314960629921259,2021-05-31,0.8976377952755905,114.0,328.2110215053763
2021-05-31,328.2110215053763,114,0.8976377952755905,0.8976377952755905,0.7401574803149606,0.48031496062992124,0.07874015748031496,0.706036745406824,0.41863517060367456,0.5341207349081364,2021-06-30,0.968503937007874,123.0,347.76388888888886
2021-06-30,347.76388888888886,123,0.968503937007874,0.968503937007874,0.8976377952755905,0.7401574803149606,0.06299212598425197,0.868766404199475,0.5669291338582677,0.5354330708661418,2021-07-31,0.8503937007874016,108.0,315.0967741935484
2021-07-31,315.0967741935484,108,0.8503937007874016,0.8503937007874016,0.968503937007874,0.8976377952755905,0.25196850393700787,0.9055118110236219,0.6981627296587928,0.5249343832020997,2021-08-31,0.7637795275590551,97.0,292.3010752688172
2021-08-31,292.3010752688172,97,0.7637795275590551,0.7637795275590551,0.8503937007874016,0.968503937007874,0.48031496062992124,0.8608923884514436,0.7834645669291338,0.5249343832020997,2021-09-30,0.6141732283464567,78.0,252.05
2021-09-30,252.05,78,0.6141732283464567,0.6141732283464567,0.7637795275590551,0.8503937007874016,0.7401574803149606,0.742782152230971,0.805774278215223,0.5249343832020997,2021-10-31,0.28346456692913385,36.0,161.01344086021504
2021-10-31,161.01344086021504,36,0.28346456692913385,0.28346456692913385,0.6141732283464567,0.7637795275590551,0.8976377952755905,0.5538057742782152,0.7296587926509187,0.5144356955380577,2021-11-30,0.15748031496062992,20.0,124.53472222222221
