data,ghi,ghi_quantizado,ghi_normalizado,ghi_t-1,ghi_t-2,ghi_t-3,ghi_t-7,ghi_media_movel_3d,ghi_media_movel_7d,ghi_media_movel_30d,data_alvo,ghi_alvo,ghi_alvo_quantizado,ghi_alvo_original
2019-01-30,117.375,39,0.30708661417322836,0.30708661417322836,0.2440944881889764,0.14960629921259844,0.11023622047244094,0.23359580052493437,0.21597300337457817,0.16115485564304463,2019-01-31,0.30708661417322836,39.0,117.58333333333331
2019-01-31,117.58333333333331,39,0.30708661417322836,0.30708661417322836,0.30708661417322836,0.2440944881889764,0.1968503937007874,0.2860892388451443,0.2440944881889764,0.16981627296587926,2019-02-01,0.30708661417322836,39.0,119.0
2019-02-01,119.0,39,0.30708661417322836,0.30708661417322836,0.30708661417322836,0.30708661417322836,0.28346456692913385,0.30708661417322836,0.25984251968503935,0.17926509186351708,2019-02-02,0.28346456692913385,36.0,107.83333333333331
2019-02-02,107.83333333333331,36,0.28346456692913385,0.28346456692913385,0.30708661417322836,0.30708661417322836,0.2204724409448819,0.2992125984251968,0.2598425196850394,0.18267716535433068,2019-02-03,0.2755905511811024,35.0,107.33333333333331
2019-02-03,107.33333333333331,35,0.2755905511811024,0.2755905511811024,0.28346456692913385,0.30708661417322836,0.14960629921259844,0.2887139107611548,0.2677165354330709,0.18320209973753282,2019-02-04,0.08661417322834646,11.0,37.0
2019-02-04,37.0,11,0.08661417322834646,0.08661417322834646,0.2755905511811024,0.28346456692913385,0.2440944881889764,0.21522309711286083,0.25871766029246346,0.17742782152230968,2019-02-05,0.07874015748031496,10.0,33.125
2019-02-05,33.125,10,0.07874015748031496,0.07874015748031496,0.08661417322834646,0.2755905511811024,0.30708661417322836,0.1469816272965879,0.23509561304836896,0.17191601049868765,2019-02-06,0.031496062992125984,4.0,15.291666666666666
2019-02-06,15.291666666666666,4,0.031496062992125984,0.031496062992125984,0.07874015748031496,0.08661417322834646,0.30708661417322836,0.06561679790026244,0.19572553430821146,0.1711286089238845,2019-02-07,0.023622047244094488,3.0,12.0
2019-02-07,12.0,3,0.023622047244094488,0.023622047244094488,0.031496062992125984,0.07874015748031496,0.30708661417322836,0.044619422572178456,0.15523059617547807,0.16929133858267717,2019-02-08,0.12598425196850394,16.0,49.958333333333336
2019-02-08,49.958333333333336,16,0.12598425196850394,0.12598425196850394,0.023622047244094488,0.031496062992125984,0.28346456692913385,0.06036745406824145,0.1293588301462317,0.1703412073490814,2019-02-09,0.41732283464566927,53.0,158.25
2019-02-09,158.25,53,0.41732283464566927,0.41732283464566927,0.12598425196850394,0.023622047244094488,0.2755905511811024,0.18897637795275588,0.1484814398200225,0.17926509186351705,2019-02-10,0.13385826771653545,17.0,53.0
2019-02-10,53.0,17,0.13385826771653545,0.13385826771653545,0.41732283464566927,0.12598425196850394,0.08661417322834646,0.22572178477690288,0.12823397075365578,0.17637795275590554,2019-02-11,0.11023622047244094,14.0,43.54166666666666
2019-02-11,43.54166666666666,14,0.11023622047244094,0.11023622047244094,0.13385826771653545,0.41732283464566927,0.07874015748031496,0.22047244094488186,0.13160854893138357,0.17874015748031497,2019-02-12,0.12598425196850394,16.0,49.66666666666666
2019-02-12,49.66666666666666,16,0.12598425196850394,0.12598425196850394,0.11023622047244094,0.13385826771653545,0.031496062992125984,0.12335958005249342,0.13835770528683913,0.173753280839895,2019-02-13,0.18110236220472442,23.0,70.20833333333333
2019-02-13,70.20833333333333,23,0.18110236220472442,0.18110236220472442,0.12598425196850394,0.11023622047244094,0.023622047244094488,0.13910761154855641,0.1597300337457818,0.17007874015748034,2019-02-14,0.2755905511811024,35.0,106.33333333333331
2019-02-14,106.33333333333331,35,0.2755905511811024,0.2755905511811024,0.18110236220472442,0.12598425196850394,0.12598425196850394,0.1942257217847769,0.19572553430821146,0.17821522309711288,2019-02-15,0.30708661417322836,39.0,119.125
2019-02-15,119.125,39,0.30708661417322836,0.30708661417322836,0.2755905511811024,0.18110236220472442,0.41732283464566927,0.2545931758530184,0.22159730033745784,0.18398950131233596,2019-02-16,0.08661417322834646,11.0,35.666666666666664
2019-02-16,35.666666666666664,11,0.08661417322834646,0.08661417322834646,0.30708661417322836,0.2755905511811024,0.13385826771653545,0.22309711286089237,0.17435320584926886,0.18398950131233596,2019-02-17,0.1732283464566929,22.0,69.29166666666667
2019-02-17,69.29166666666667,22,0.1732283464566929,0.1732283464566929,0.08661417322834646,0.30708661417322836,0.11023622047244094,0.1889763779527559,0.17997750281214847,0.1889763779527559,2019-02-18,0.28346456692913385,36.0,110.25
2019-02-18,110.25,36,0.28346456692913385,0.28346456692913385,0.1732283464566929,0.08661417322834646,0.12598425196850394,0.1811023622047244,0.20472440944881892,0.1979002624671916,2019-02-19,0.4251968503937008,54.0,160.91666666666666
2019-02-19,160.91666666666666,54,0.4251968503937008,0.4251968503937008,0.28346456692913385,0.1732283464566929,0.18110236220472442,0.29396325459317585,0.24746906636670415,0.2041994750656168,2019-02-20,0.18110236220472442,23.0,71.29166666666667
2019-02-20,71.29166666666667,23,0.18110236220472442,0.18110236220472442,0.4251968503937008,0.28346456692913385,0.2755905511811024,0.29658792650918636,0.24746906636670415,0.2015748031496063,2019-02-21,0.3937007874015748,50.0,149.29166666666666
2019-02-21,149.29166666666666,50,0.3937007874015748,0.3937007874015748,0.18110236220472442,0.4251968503937008,0.30708661417322836,0.3333333333333333,0.2643419572553431,0.20787401574803152,2019-02-22,0.4015748031496063,51.0,152.70833333333334
2019-02-22,152.70833333333334,51,0.4015748031496063,0.4015748031496063,0.3937007874015748,0.18110236220472442,0.08661417322834646,0.32545931758530183,0.2778402699662542,0.21758530183727035,2019-02-23,0.1889763779527559,24.0,73.91666666666667
2019-02-23,73.91666666666667,24,0.1889763779527559,0.1889763779527559,0.4015748031496063,0.3937007874015748,0.1732283464566929,0.32808398950131235,0.2924634420697413,0.22020997375328083,2019-02-24,0.06299212598425197,8.0,26.33333333333333
2019-02-24,26.33333333333333,8,0.06299212598425197,0.06299212598425197,0.1889763779527559,0.4015748031496063,0.28346456692913385,0.2178477690288714,0.2767154105736783,0.215748031496063,2019-02-25,0.4645669291338583,59.0,178.20833333333334
2019-02-25,178.20833333333334,59,0.4645669291338583,0.4645669291338583,0.06299212598425197,0.1889763779527559,0.4251968503937008,0.2388451443569554,0.30258717660292467,0.22178477690288714,2019-02-26,0.2755905511811024,35.0,105.125
2019-02-26,105.125,35,0.2755905511811024,0.2755905511811024,0.4645669291338583,0.06299212598425197,0.18110236220472442,0.2677165354330709,0.281214848143982,0.2236220472440945,2019-02-27,0.11023622047244094,14.0,44.54166666666666
2019-02-27,44.54166666666666,14,0.11023622047244094,0.11023622047244094,0.2755905511811024,0.4645669291338583,0.3937007874015748,0.28346456692913385,0.27109111361079863,0.22230971128608926,2019-02-28,0.4094488188976378,52.0,155.45833333333334
