data,ghi,ghi_quantizado,ghi_normalizado,ghi_t-1,ghi_t-2,ghi_t-3,ghi_t-6,ghi_media_movel_3m,ghi_media_movel_6m,ghi_media_movel_12m,data_alvo,ghi_alvo,ghi_alvo_quantizado,ghi_alvo_original
2019-12-31,308.85349462365593,127,1.0,1.0,0.7637795275590551,0.84251968503937,0.2755905511811024,0.868766404199475,0.6548556430446194,0.6213910761154856,2020-01-31,0.7086614173228346,90.0,264.06720430107526
2020-01-31,264.06720430107526,90,0.7086614173228346,0.7086614173228346,1.0,0.7637795275590551,0.44881889763779526,0.8241469816272966,0.7270341207349081,0.5990813648293963,2020-02-29,0.6377952755905512,81.0,252.67241379310346
2020-02-29,252.67241379310346,81,0.6377952755905512,0.6377952755905512,0.7086614173228346,1.0,0.5984251968503937,0.7821522309711287,0.7585301837270341,0.5741469816272966,2020-03-31,0.3937007874015748,50.0,215.50940860215053
2020-03-31,215.50940860215053,50,0.3937007874015748,0.3937007874015748,0.6377952755905512,0.7086614173228346,0.84251968503937,0.5800524934383202,0.7244094488188977,0.5570866141732284,2020-04-30,0.2755905511811024,35.0,196.97083333333333
2020-04-30,196.97083333333333,35,0.2755905511811024,0.2755905511811024,0.3937007874015748,0.6377952755905512,0.7637795275590551,0.43569553805774275,0.6299212598425197,0.5406824146981627,2020-05-31,0.05511811023622047,7.0,163.80913978494624
2020-05-31,163.80913978494624,7,0.05511811023622047,0.05511811023622047,0.2755905511811024,0.3937007874015748,1.0,0.24146981627296593,0.5118110236220472,0.5183727034120734,2020-06-30,0.28346456692913385,36.0,198.49305555555554
2020-06-30,198.49305555555554,36,0.28346456692913385,0.28346456692913385,0.05511811023622047,0.2755905511811024,0.7086614173228346,0.20472440944881895,0.39238845144356954,0.5236220472440946,2020-07-31,0.25984251968503935,33.0,194.76612903225802
2020-07-31,194.76612903225802,33,0.25984251968503935,0.25984251968503935,0.28346456692913385,0.05511811023622047,0.6377952755905512,0.19947506561679793,0.31758530183727035,0.5223097112860892,2020-08-31,0.4881889763779528,62.0,229.8077956989247
2020-08-31,229.8077956989247,62,0.4881889763779528,0.4881889763779528,0.25984251968503935,0.28346456692913385,0.3937007874015748,0.34383202099737536,0.2926509186351706,0.5255905511811023,2020-09-30,0.6850393700787402,87.0,259.7861111111111
2020-09-30,259.7861111111111,87,0.6850393700787402,0.6850393700787402,0.4881889763779528,0.25984251968503935,0.2755905511811024,0.4776902887139108,0.3412073490813648,0.5328083989501312,2020-10-31,0.7637795275590551,97.0,271.93145161290323
