data,ghi_real_normalizado,ghi_previsto_deepnpts_aprox_normalizado,ghi_real_wm2,ghi_previsto_deepnpts_aprox_wm2
2024-01-31,0.7007874015748031,0.68269205,263.2258064516129,259.9842320648573
2024-02-29,0.6220472440944882,0.6006581,250.05172413793105,247.35001415871486
2024-03-31,0.7244094488188977,0.54085416,266.5255376344086,238.13948046672408
2024-04-30,0.1889763779527559,0.38630193,184.0097222222222,214.33656880347638
2024-05-31,0.23622047244094488,0.24758647,190.63709677419354,192.97270981580903
2024-06-30,0.16535433070866143,0.07582629,180.60694444444442,166.5195633424546
2024-07-31,0.31496062992125984,0.26261866,203.36559139784944,195.28784847083273
2024-08-31,0.44881889763779526,0.3799828,224.1491935483871,213.36334550649087
2024-09-30,0.6062992125984252,0.5045309,248.18888888888887,232.54526067421
2024-10-31,0.7322834645669292,0.6187807,267.252688172043,250.14110667226458
2024-11-30,0.6456692913385826,0.6369389,253.79722222222225,252.93769790776958
2024-12-31,0.9606299212598425,0.7489249,302.8521505376344,270.1848937224156
