data,ghi_real_normalizado,ghi_previsto_persistencia_normalizado,ghi_real_wm2,ghi_previsto_persistencia_wm2
2024-01-31,0.025259981888883693,0.008395359691565778,42.969086021505376,38.368279569892465
2024-02-29,0.28697244249571063,0.025259981888883693,114.36637931034483,42.969086021505376
2024-03-31,0.3625474989809623,0.28697244249571063,134.98387096774192,114.36637931034483
2024-04-30,0.6165396468890693,0.3625474989809623,204.275,134.98387096774192
2024-05-31,0.7839807603055832,0.6165396468890693,249.9543010752688,204.275
2024-06-30,0.7781000670380639,0.7839807603055832,248.35,249.9543010752688
2024-07-31,0.8041808628498435,0.7781000670380639,255.46505376344084,248.35
2024-08-31,0.706116755278878,0.8041808628498435,228.71236559139783,255.46505376344084
2024-09-30,0.5569179767445908,0.706116755278878,188.0097222222222,228.71236559139783
2024-10-31,0.4055934248173533,0.5569179767445908,146.7271505376344,188.0097222222222
2024-11-30,0.10336868734478355,0.4055934248173533,64.27777777777777,146.7271505376344
2024-12-31,0.03367504899756583,0.10336868734478355,45.26478494623656,64.27777777777777
