data,ghi_real_normalizado,ghi_previsto_vizinhoshistoricos_normalizado,ghi_real_wm2,ghi_previsto_vizinhoshistoricos_wm2
2024-01-31,0.025259981888883693,0.15421525414204063,42.969086021505376,78.14913580917153
2024-02-29,0.28697244249571063,0.3341930594203317,114.36637931034483,127.24854865004633
2024-03-31,0.3625474989809623,0.4451198759923439,134.98387096774192,157.51028872167157
2024-04-30,0.6165396468890693,0.5990921471237931,204.275,199.51517979499337
2024-05-31,0.7839807603055832,0.8014652199765829,249.9543010752688,254.72420424393243
2024-06-30,0.7781000670380639,0.8762059286609459,248.35,275.11407901787345
2024-07-31,0.8041808628498435,0.8191470378604367,255.46505376344084,259.54794834234553
2024-08-31,0.706116755278878,0.6460020645025978,228.71236559139783,212.31258776511422
2024-09-30,0.5569179767445908,0.44141468445552107,188.0097222222222,156.49948225784297
2024-10-31,0.4055934248173533,0.2787288194433405,146.7271505376344,112.11745172215129
2024-11-30,0.10336868734478355,0.19132685958157422,64.27777777777777,88.2734843856296
2024-12-31,0.03367504899756583,0.04213808216164969,45.26478494623656,47.57356940200239
