data,ghi_real_normalizado,ghi_previsto_sazonalingenuo_normalizado,ghi_real_wm2,ghi_previsto_sazonalingenuo_wm2
2024-01-31,0.025259981888883693,0.02989615176550541,42.969086021505376,44.233870967741936
2024-02-29,0.28697244249571063,0.2657305893789315,114.36637931034483,108.57142857142857
2024-03-31,0.3625474989809623,0.3918524282329771,134.98387096774192,142.9784946236559
2024-04-30,0.6165396468890693,0.5295432247706467,204.275,180.54166666666666
2024-05-31,0.7839807603055832,0.8560113698658484,249.9543010752688,269.60483870967744
2024-06-30,0.7781000670380639,0.828328689499461,248.35,262.05277777777775
2024-07-31,0.8041808628498435,0.7861830641683354,255.46505376344084,250.5551075268817
2024-08-31,0.706116755278878,0.6925974671370608,228.71236559139783,225.0241935483871
2024-09-30,0.5569179767445908,0.47484463165030893,188.0097222222222,165.61944444444444
2024-10-31,0.4055934248173533,0.2498801953267801,146.7271505376344,104.24731182795698
2024-11-30,0.10336868734478355,0.1656071740253615,64.27777777777777,81.25694444444444
2024-12-31,0.03367504899756583,0.008395359691565778,45.26478494623656,38.368279569892465
