data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,137.9798387096774,0.09563825,140.52905923717665
2024-02-29,176.53879310344828,0.21243706,169.06380931862822
2024-03-31,233.08602150537632,0.4972732,238.65123162170252
2024-04-30,319.31111111111113,0.54830474,251.11858419001265
2024-05-31,350.38440860215053,0.54830474,251.11858419001265
2024-06-30,331.58194444444445,0.54830474,251.11858419001265
2024-07-31,324.9180107526882,0.54830474,251.11858419001265
2024-08-31,283.14516129032256,0.54830474,251.11858419001265
2024-09-30,274.7944444444445,0.54546285,250.42429101694654
2024-10-31,219.50134408602148,0.46539032,230.86202496820562
2024-11-30,163.96944444444443,0.2128679,169.16906581788817
2024-12-31,143.70698924731184,0.11089083,144.25536793160444
