data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,137.9798387096774,0.48173675,234.85556860335814
2024-02-29,176.53879310344828,0.48505145,235.66537343974238
2024-03-31,233.08602150537632,0.4857463,235.83512789484877
2024-04-30,319.31111111111113,0.48368338,235.33114319047542
2024-05-31,350.38440860215053,0.47843337,234.0485305134007
2024-06-30,331.58194444444445,0.4736289,232.8747674654849
2024-07-31,324.9180107526882,0.47104874,232.2444152585241
2024-08-31,283.14516129032256,0.46904612,231.75515983841754
2024-09-30,274.7944444444445,0.46940902,231.8438194995726
2024-10-31,219.50134408602148,0.46947122,231.85901476218498
2024-11-30,163.96944444444443,0.47239012,232.57212181095315
2024-12-31,143.70698924731184,0.47701403,233.70177709609672
