data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,133.8051075268817,0.11442774,130.74816833506588
2024-02-29,158.33908045977012,0.16292876,141.08631766339144
2024-03-31,188.81854838709677,0.37766838,186.8587605209761
2024-04-30,216.54722222222225,0.48623523,210.00013490445832
2024-05-31,229.73655913978493,0.6790577,251.1008698379481
2024-06-30,297.1555555555555,0.86465645,290.6618380649116
2024-07-31,269.8413978494624,0.88032395,294.0014158277422
2024-08-31,286.88440860215053,0.8330773,283.93064317748116
2024-09-30,242.84305555555554,0.5279669,218.89537826581028
2024-10-31,215.73655913978493,0.29901794,170.0941645122504
2024-11-30,151.6361111111111,0.16890973,142.36118038735725
2024-12-31,115.30107526881721,0.10897516,129.58593315923568
