data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,133.8051075268817,0.065557376,120.3312929556655
2024-02-29,158.33908045977012,0.13733473,135.63086849202713
2024-03-31,188.81854838709677,0.4065623,193.0175923060185
2024-04-30,216.54722222222225,0.54267544,222.03054653364484
2024-05-31,229.73655913978493,0.54267544,222.03054653364484
2024-06-30,297.1555555555555,0.54267544,222.03054653364484
2024-07-31,269.8413978494624,0.54267544,222.03054653364484
2024-08-31,286.88440860215053,0.54267544,222.03054653364484
2024-09-30,242.84305555555554,0.54146844,221.77327185692968
2024-10-31,215.73655913978493,0.26930162,163.7600365616782
2024-11-30,151.6361111111111,0.14335012,136.91306830862518
2024-12-31,115.30107526881721,0.09418003,126.43230463928914
