data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,133.8051075268817,0.49800146,212.50814373999515
2024-02-29,158.33908045977012,0.4935639,211.5622622742448
2024-03-31,188.81854838709677,0.497185,212.33411171423495
2024-04-30,216.54722222222225,0.50605345,214.22445169443728
2024-05-31,229.73655913978493,0.5167864,216.51221434932245
2024-06-30,297.1555555555555,0.5255057,218.37076661391285
2024-07-31,269.8413978494624,0.5416087,221.80316653911785
2024-08-31,286.88440860215053,0.5466361,222.87477591601754
2024-09-30,242.84305555555554,0.5516476,223.94299307866123
2024-10-31,215.73655913978493,0.5469254,222.93644560889533
2024-11-30,151.6361111111111,0.5382437,221.0859101502806
2024-12-31,115.30107526881721,0.5194684,217.083897738367
