data,ghi_real_normalizado,ghi_previsto_deepnpts_aprox_normalizado,ghi_real_wm2,ghi_previsto_deepnpts_aprox_wm2
2024-01-31,0.023622047244094488,0.12812538,42.969086021505376,71.03160661719471
2024-02-29,0.28346456692913385,0.27666885,114.36637931034483,111.55547433518487
2024-03-31,0.36220472440944884,0.39656284,134.98387096774192,144.26353459465835
2024-04-30,0.6141732283464567,0.5287471,204.275,180.32447236058533
2024-05-31,0.7874015748031497,0.7761445,249.9543010752688,247.81650660657542
2024-06-30,0.7795275590551181,0.88120407,248.35,276.4776123652589
2024-07-31,0.8031496062992126,0.7984006,255.46505376344084,253.8881457097695
2024-08-31,0.7086614173228346,0.66737777,228.71236559139783,218.14405451046844
2024-09-30,0.5590551181102362,0.55375165,188.0097222222222,187.14592177812878
2024-10-31,0.4094488188976378,0.29411528,146.7271505376344,116.31500230048346
2024-11-30,0.10236220472440945,0.16696478,64.27777777777777,81.62731158781835
2024-12-31,0.031496062992125984,0.047584463,45.26478494623656,49.05938648084766
