data,ghi_real_normalizado,ghi_previsto_deepar_exp_normalizado,ghi_real_wm2,ghi_previsto_deepar_exp_wm2
2024-01-31,0.023622047244094488,0.46024433,42.969086021505376,161.63636249694505
2024-02-29,0.28346456692913385,0.46339828,114.36637931034483,162.49678576808142
2024-03-31,0.36220472440944884,0.46502227,134.98387096774192,162.93982297802165
2024-04-30,0.6141732283464567,0.46446538,204.275,162.78789988279772
2024-05-31,0.7874015748031497,0.46083546,249.9543010752688,161.79762732589543
2024-06-30,0.7795275590551181,0.45803207,248.35,161.03284096844413
2024-07-31,0.8031496062992126,0.45408365,255.46505376344084,159.95567971847444
2024-08-31,0.7086614173228346,0.4501044,228.71236559139783,158.87010359086605
2024-09-30,0.5590551181102362,0.44938642,188.0097222222222,158.67423613463998
2024-10-31,0.4094488188976378,0.44865805,146.7271505376344,158.4755311979348
2024-11-30,0.10236220472440945,0.45008686,64.27777777777777,158.86532296472927
2024-12-31,0.031496062992125984,0.45461842,45.26478494623656,160.1015701188115
