data,ghi_real_normalizado,ghi_previsto_xgboost_normalizado,ghi_real_wm2,ghi_previsto_xgboost_wm2
2024-01-31,0.08661417322834646,0.0853351,137.9798387096774,138.0119279449275
2024-02-29,0.2440944881889764,0.2914719,176.53879310344828,188.37256130464777
2024-03-31,0.47244094488188976,0.44163877,233.08602150537632,225.05935681096167
2024-04-30,0.8267716535433071,0.80489564,319.31111111111113,313.8055006346075
2024-05-31,0.952755905511811,0.9423407,350.38440860215053,347.38426426148385
2024-06-30,0.8740157480314961,0.9238352,331.58194444444445,342.8632549818886
2024-07-31,0.8503937007874016,0.8744071,324.9180107526882,330.78763002214095
2024-08-31,0.6771653543307087,0.713691,283.14516129032256,291.5235810956327
2024-09-30,0.6456692913385826,0.62243,274.7944444444445,269.2279006336405
2024-10-31,0.41732283464566927,0.42285582,219.50134408602148,220.47055496299862
2024-11-30,0.1889763779527559,0.20559058,163.96944444444443,167.39116548540534
2024-12-31,0.11023622047244094,0.09459247,143.70698924731184,140.27356658671454
