data,ghi_real_normalizado,ghi_previsto_lstm_normalizado,ghi_real_wm2,ghi_previsto_lstm_wm2
2024-01-31,0.08661417322834646,0.17232886,137.9798387096774,159.265100173536
2024-02-29,0.2440944881889764,0.22242877,176.53879310344828,171.50485144368503
2024-03-31,0.47244094488188976,0.3767874,233.08602150537632,209.2157217353142
2024-04-30,0.8267716535433071,0.7289062,319.31111111111113,295.24076316730793
2024-05-31,0.952755905511811,0.88842344,350.38440860215053,334.211915579983
2024-06-30,0.8740157480314961,0.89750546,331.58194444444445,336.4307151578527
2024-07-31,0.8503937007874016,0.79921424,324.9180107526882,312.4174967614073
2024-08-31,0.6771653543307087,0.67711425,283.14516129032256,282.58763085735103
2024-09-30,0.6456692913385826,0.54537916,274.7944444444445,250.40384621703498
2024-10-31,0.41732283464566927,0.40291965,219.50134408602148,215.6000109578493
2024-11-30,0.1889763779527559,0.31715104,163.96944444444443,194.64615154646498
2024-12-31,0.11023622047244094,0.22047892,143.70698924731184,171.0284905181096
