data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_xgboost_normalizado,ghi_previsto_xgboost_wm2,ghi_previsto_mlp_normalizado,ghi_previsto_mlp_wm2,ghi_previsto_rnn_normalizado,ghi_previsto_rnn_wm2,ghi_previsto_lstm_normalizado,ghi_previsto_lstm_wm2
2024-01-31,0.08661417322834646,0.08661417322834646,137.9798387096774,0.0853351,138.0119279449275,0.15914107577505687,156.04323419287658,0.13305895,149.67119215177473,0.17232886,159.265100173536
2024-02-29,0.2440944881889764,0.2440944881889764,176.53879310344828,0.2914719,188.37256130464777,0.2819985064382047,186.05814667175508,0.26130134,181.00168671088034,0.22242877,171.50485144368503
2024-03-31,0.47244094488188976,0.47244094488188976,233.08602150537632,0.44163877,225.05935681096167,0.4225615558584994,220.3986631821654,0.41101447,217.57763033733175,0.3767874,209.2157217353142
2024-04-30,0.8267716535433071,0.8267716535433071,319.31111111111113,0.80489564,313.8055006346075,0.650547742071466,276.0972512825277,0.77687067,306.9588079941289,0.7289062,295.24076316730793
2024-05-31,0.952755905511811,0.952755905511811,350.38440860215053,0.9423407,347.38426426148385,0.9268837437906932,343.6080307412563,0.91833544,341.51962098428,0.88842344,334.211915579983
2024-06-30,0.8740157480314961,0.8740157480314961,331.58194444444445,0.9238352,342.8632549818886,1.0,361.47083333333336,0.9109497,339.7152363356724,0.89750546,336.4307151578527
2024-07-31,0.8503937007874016,0.8503937007874016,324.9180107526882,0.8744071,330.78763002214095,0.8722291200627525,330.25553151589,0.8352742,321.2271959916879,0.79921424,312.4174967614073
2024-08-31,0.6771653543307087,0.6771653543307087,283.14516129032256,0.713691,291.5235810956327,0.7215647644295051,293.4471966548305,0.76657104,304.4425394899102,0.67711425,282.58763085735103
2024-09-30,0.6456692913385826,0.6456692913385826,274.7944444444445,0.62243,269.2279006336405,0.5235638648702071,245.07421962826317,0.6028389,264.44164774265664,0.54537916,250.40384621703498
2024-10-31,0.41732283464566927,0.41732283464566927,219.50134408602148,0.42285582,220.47055496299862,0.34205327986970524,200.72993948685627,0.4103132,217.40630320530906,0.40291965,215.6000109578493
2024-11-30,0.1889763779527559,0.1889763779527559,163.96944444444443,0.20559058,167.39116548540534,0.238234213105452,175.36622981339156,0.21788554,170.39490922683228,0.31715104,194.64615154646498
2024-12-31,0.11023622047244094,0.11023622047244094,143.70698924731184,0.09459247,140.27356658671454,0.14634950517867584,152.9181658120274,0.10045786,141.70652280843828,0.22047892,171.0284905181096
