data,ghi_real_normalizado,ghi_previsto_mlp_normalizado,ghi_real_wm2,ghi_previsto_mlp_wm2
2024-01-31,0.08661417322834646,0.15914107577505687,137.9798387096774,156.04323419287658
2024-02-29,0.2440944881889764,0.2819985064382047,176.53879310344828,186.05814667175508
2024-03-31,0.47244094488188976,0.4225615558584994,233.08602150537632,220.3986631821654
2024-04-30,0.8267716535433071,0.650547742071466,319.31111111111113,276.0972512825277
2024-05-31,0.952755905511811,0.9268837437906932,350.38440860215053,343.6080307412563
2024-06-30,0.8740157480314961,1.0,331.58194444444445,361.47083333333336
2024-07-31,0.8503937007874016,0.8722291200627525,324.9180107526882,330.25553151589
2024-08-31,0.6771653543307087,0.7215647644295051,283.14516129032256,293.4471966548305
2024-09-30,0.6456692913385826,0.5235638648702071,274.7944444444445,245.07421962826317
2024-10-31,0.41732283464566927,0.34205327986970524,219.50134408602148,200.72993948685627
2024-11-30,0.1889763779527559,0.238234213105452,163.96944444444443,175.36622981339156
2024-12-31,0.11023622047244094,0.14634950517867584,143.70698924731184,152.9181658120274
