data,ghi_real_normalizado,ghi_previsto_dilatedrnn_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_wm2
2023-10-26,0.06299212598425197,0.41402215,33.625,159.19336057205996
2023-10-27,0.41732283464566927,0.325367,159.20833333333334,127.72817238916954
2023-10-28,0.4015748031496063,0.47500703,155.125,180.8379108036558
2023-10-29,0.1732283464566929,0.42823753,74.41666666666667,164.23863584051531
2023-10-30,0.07086614173228346,0.32355648,38.16666666666666,127.08558835089207
2023-10-31,0.5590551181102362,0.30454946,211.58333333333331,120.33967763185501
2023-11-01,0.5905511811023622,0.5603954,222.04166666666663,211.14367433885735
2023-11-02,0.5118110236220472,0.51588243,194.70833333333331,195.3452733208736
2023-11-03,0.5118110236220472,0.4184646,193.54166666666663,160.77006131907305
2023-11-04,0.5196850393700787,0.41855162,198.0,160.8009471545617
2023-11-05,0.33858267716535434,0.41953823,132.41666666666666,161.15111002574366
2023-11-06,0.33858267716535434,0.37697774,132.58333333333334,146.0456834981839
2023-11-07,0.47244094488188976,0.37360364,180.875,144.84815926849842
2023-11-08,0.2440944881889764,0.44862992,97.54166666666669,171.4762342522542
2023-11-09,0.05511811023622047,0.34370762,32.541666666666664,134.23756318787736
2023-11-10,0.047244094488188976,0.32924056,30.20833333333333,129.10296227534613
2023-11-11,0.28346456692913385,0.30761728,112.16666666666669,121.42849852889776
2023-11-12,0.031496062992125984,0.40065697,23.541666666666668,154.44983568539223
2023-11-13,0.14960629921259844,0.28980672,64.33333333333333,115.10723631580672
2023-11-14,0.4881889763779528,0.2945905,185.375,116.80507934838533
2023-11-15,0.4881889763779528,0.48670346,186.5,184.98916806280613
2023-11-16,0.1889763779527559,0.4083178,78.54166666666667,157.16879405577978
2023-11-17,0.3543307086614173,0.31078872,138.41666666666666,122.55409684032202
2023-11-18,0.2047244094488189,0.32059976,84.54166666666667,126.03619978080194
2023-11-19,0.023622047244094488,0.28225332,20.041666666666668,112.42640925943851
2023-11-20,0.33858267716535434,0.2931973,133.41666666666666,116.31060981502137
2023-11-21,0.1732283464566929,0.39655733,73.33333333333333,152.99480609099072
