data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_normalizado,ghi_previsto_dilatedrnn_wm2,ghi_previsto_deepar_exp_normalizado,ghi_previsto_deepar_exp_wm2,ghi_previsto_deepnpts_aprox_normalizado,ghi_previsto_deepnpts_aprox_wm2
2023-10-26,0.06299212598425197,0.06299212598425197,33.625,0.41402215,159.19336057205996,0.34508085,134.7249459028244,0.4155727,159.74367846548557
2023-10-27,0.41732283464566927,0.41732283464566927,159.20833333333334,0.325367,127.72817238916954,0.32438836,127.38083366801342,0.32146135,126.34199070682129
2023-10-28,0.4015748031496063,0.4015748031496063,155.125,0.47500703,180.8379108036558,0.34897947,136.10863133271536,0.43250987,165.75496112555265
2023-10-29,0.1732283464566929,0.1732283464566929,74.41666666666667,0.42823753,164.23863584051531,0.37502605,145.35299459596476,0.54388624,205.2842928717534
2023-10-30,0.07086614173228346,0.07086614173228346,38.16666666666666,0.32355648,127.08558835089207,0.34725204,135.495536920925,0.31081772,122.56438859303793
2023-10-31,0.5590551181102362,0.5590551181102362,211.58333333333331,0.30454946,120.33967763185501,0.30960298,122.1332561771075,0.31210274,123.02046237885952
2023-11-01,0.5905511811023622,0.5905511811023622,222.04166666666663,0.5603954,211.14367433885735,0.34834188,135.88233970105648,0.45294115,173.00636296719313
2023-11-02,0.5118110236220472,0.5118110236220472,194.70833333333331,0.51588243,195.3452733208736,0.40621132,156.4211664448182,0.34319046,134.0540145908793
2023-11-03,0.5118110236220472,0.5118110236220472,193.54166666666663,0.4184646,160.77006131907305,0.541991,204.6116374532382,0.45048037,172.13299192736548
2023-11-04,0.5196850393700787,0.5196850393700787,198.0,0.41855162,160.8009471545617,0.5306161,200.574499125282,0.4223841,162.16116146494946
2023-11-05,0.33858267716535434,0.33858267716535434,132.41666666666666,0.41953823,161.15111002574366,0.48801666,185.45524801313877,0.48088592,182.92442880570889
2023-11-06,0.33858267716535434,0.33858267716535434,132.58333333333334,0.37697774,146.0456834981839,0.411641,158.3482521871726,0.3393806,132.7018284822504
2023-11-07,0.47244094488188976,0.47244094488188976,180.875,0.37360364,144.84815926849842,0.431948,165.55554651717347,0.37109026,143.9561192219456
2023-11-08,0.2440944881889764,0.2440944881889764,97.54166666666669,0.44862992,171.4762342522542,0.44089454,168.73082195222378,0.43673187,167.25342128177485
2023-11-09,0.05511811023622047,0.05511811023622047,32.541666666666664,0.34370762,134.23756318787736,0.38797414,149.94848959644636,0.37508002,145.37215016037226
2023-11-10,0.047244094488188976,0.047244094488188976,30.20833333333333,0.32924056,129.10296227534613,0.33800662,132.2141813337803,0.24466369,99.08521973341703
2023-11-11,0.28346456692913385,0.28346456692913385,112.16666666666669,0.30761728,121.42849852889776,0.30542874,120.6517514983813,0.21417333,88.26368503148358
2023-11-12,0.031496062992125984,0.031496062992125984,23.541666666666668,0.40065697,154.44983568539223,0.30729565,121.31434786568086,0.31909978,125.50383163491885
2023-11-13,0.14960629921259844,0.14960629921259844,64.33333333333333,0.28980672,115.10723631580672,0.30079135,119.00586436440548,0.21758676,89.47516606251399
2023-11-14,0.4881889763779528,0.4881889763779528,185.375,0.2945905,116.80507934838533,0.30974278,122.18287448336682,0.21942624,90.12803127616644
2023-11-15,0.4881889763779528,0.4881889763779528,186.5,0.48670346,184.98916806280613,0.32838234,128.79836658885083,0.4215975,161.88198312868676
2023-11-16,0.1889763779527559,0.1889763779527559,78.54166666666667,0.4083178,157.16879405577978,0.3681249,142.90366322298846,0.34356436,134.18671791007122
2023-11-17,0.3543307086614173,0.3543307086614173,138.41666666666666,0.31078872,122.55409684032202,0.35347474,137.70407512784004,0.28497678,113.39300898214182
2023-11-18,0.2047244094488189,0.2047244094488189,84.54166666666667,0.32059976,126.03619978080194,0.356768,138.8729136089484,0.38205352,147.8471633171042
2023-11-19,0.023622047244094488,0.023622047244094488,20.041666666666668,0.28225332,112.42640925943851,0.3172869,124.86041198670864,0.21925138,90.06596872831385
2023-11-20,0.33858267716535434,0.33858267716535434,133.41666666666666,0.2931973,116.31060981502137,0.30369264,120.03557908038299,0.26986337,108.02900669972102
2023-11-21,0.1732283464566929,0.1732283464566929,73.33333333333333,0.39655733,152.99480609099072,0.32414287,127.29370811084907,0.2875015,114.28907899558544
2023-11-22,0.4881889763779528,0.4881889763779528,186.66666666666663,0.27424443,109.58391812443733,0.31969723,125.71587558835745,0.25737193,103.59558829416832
2023-11-23,0.07874015748031496,0.07874015748031496,39.41666666666666,0.40739086,156.8398070211212,0.35289946,137.4999007160465,0.36776397,142.77556104709706
2023-11-24,0.4645669291338583,0.4645669291338583,178.125,0.2864757,113.92499634375176,0.32679713,128.23574724793434,0.27211305,108.8274584338069
2023-11-25,0.12598425196850394,0.12598425196850394,55.91666666666666,0.38932505,150.42794988304377,0.35378173,137.81303231666487,0.36615258,142.20365480085215
2023-11-26,0.3700787401574803,0.3700787401574803,143.75,0.27898017,111.2647104834517,0.3107164,122.52842563390732,0.19512554,81.50330451006691
2023-11-27,0.33858267716535434,0.33858267716535434,132.58333333333334,0.33690107,131.82180429498356,0.35164273,137.0538648267587,0.37301478,144.63916158924502
2023-11-28,0.41732283464566927,0.41732283464566927,159.375,0.32622516,128.03274692098302,0.3353415,131.26829204459986,0.34084702,133.22228654225668
2023-11-29,0.1968503937007874,0.1968503937007874,81.91666666666667,0.35096884,136.81468999385834,0.39570776,152.69327783336243,0.32647255,128.1205494279663
2023-11-30,0.2677165354330709,0.2677165354330709,107.41666666666669,0.29087412,115.48607435822487,0.33474395,131.0562057817976,0.2673083,107.12216895322005
2023-12-01,0.36220472440944884,0.36220472440944884,141.54166666666666,0.2935078,116.42081513007483,0.3484152,135.90835995972157,0.30637458,120.98744456718366
2023-12-02,0.28346456692913385,0.28346456692913385,113.20833333333331,0.3408124,133.21000624944767,0.33126616,129.82188298304877,0.35571772,138.50014696021876
2023-12-03,0.36220472440944884,0.36220472440944884,141.25,0.28706962,114.13579217096171,0.35006535,136.4940273265044,0.33365983,130.67143385112286
2023-12-04,0.4566929133858268,0.4566929133858268,174.0,0.314915,124.0185825775067,0.3596493,139.89553092916807,0.32407933,127.27115722000599
2023-12-05,0.4409448818897638,0.4409448818897638,169.79166666666666,0.37576443,145.61505879461765,0.386948,149.58429059386253,0.33416706,130.8514601935943
2023-12-06,0.4409448818897638,0.4409448818897638,169.375,0.33929688,132.67211673160395,0.39407268,152.1129626010855,0.3801256,147.16291513293982
2023-12-07,0.2677165354330709,0.2677165354330709,108.5,0.33358398,130.64451451847953,0.42066702,161.55173739045858,0.35730478,139.06342209627232
2023-12-08,0.1968503937007874,0.1968503937007874,82.33333333333333,0.30575913,120.76901189982891,0.37809548,146.44238666941723,0.34161106,133.49345783144236
