Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2,Frequencia,Localidade,Pais,Lat,Lon
DilatedRNN,0.12243231751043827,0.024426471074953618,0.15628970239575485,0.3804037880200303,0.23148370567886647,23.148370567886648,39.145538059626055,2499.805407635702,49.99805403848936,0.38105387186214035,0.20484995125673847,20.484995125673848,0.12243231751043827,0.024426471074953618,0.15628970239575485,0.3804037880200303,diaria,BYD Camacari,Brasil,-12.6733774,-38.2812339
DeepAR_exp,0.13182338194215756,0.026713935736652462,0.16344398348257566,0.3223804888263977,0.24208004998088553,24.208004998088555,42.14983698142961,2733.783096456524,52.2855916716692,0.3231215287589777,0.21422235547659288,21.422235547659287,0.13182338194215756,0.026713935736652462,0.16344398348257566,0.3223804888263977,diaria,BYD Camacari,Brasil,-12.6733774,-38.2812339
DeepNPTS_aprox,0.1267983906170352,0.026122059007462308,0.16162320070912564,0.33739389695399846,0.23938325334506377,23.938325334506377,40.5459842516584,2673.296788497285,51.703933975059236,0.3380978009129506,0.21183921171049885,21.183921171049885,0.1267983906170352,0.026122059007462308,0.16162320070912564,0.33739389695399846,diaria,BYD Camacari,Brasil,-12.6733774,-38.2812339
DilatedRNN,0.07507115391918967,0.010377335334385592,0.10186920699792254,0.8589212917651088,0.19952591401990163,19.952591401990162,29.000519044892293,1549.3913541940867,39.36230880161994,0.8588501009791167,0.19177693802772688,19.177693802772687,0.07507115391918967,0.010377335334385592,0.10186920699792254,0.8589212917651088,diaria,Tesla Gigafactory Nevada,EUA,39.5403926,-119.4390524
DeepAR_exp,0.08032117127262281,0.011784010055326373,0.1085541802756871,0.8397977069389131,0.21261942326329636,21.261942326329635,31.007394144634176,1759.3535577686762,41.9446487381725,0.8397224972574794,0.20435834549736148,20.43583454973615,0.08032117127262281,0.011784010055326373,0.1085541802756871,0.8397977069389131,diaria,Tesla Gigafactory Nevada,EUA,39.5403926,-119.4390524
DeepNPTS_aprox,0.07894156220882048,0.011136275068266949,0.10552855096260419,0.8486035913310356,0.20669328059497674,20.669328059497673,30.48620378643595,1662.1907576532776,40.769973726423686,0.8485740500867569,0.1986352163469291,19.86352163469291,0.07894156220882048,0.011136275068266949,0.10552855096260419,0.8486035913310356,diaria,Tesla Gigafactory Nevada,EUA,39.5403926,-119.4390524
DilatedRNN,0.11953565584221743,0.02384998265462606,0.15443439595707317,0.5763169635339582,0.29830699596316734,29.830699596316734,42.442721961833264,3005.3465304456745,54.82104094638914,0.5763178697333701,0.2796725508240326,27.96725508240326,0.11953565584221743,0.02384998265462606,0.15443439595707317,0.5763169635339582,diaria,Tesla Gigafactory Texas,EUA,30.2219321,-97.6187733
DeepAR_exp,0.1261130495736361,0.02708195738060993,0.16456596665352752,0.5189025458584491,0.3178772374247122,31.78772374247122,44.788794188894286,3410.57566678604,58.400134133288084,0.5191902333721374,0.297931491258889,29.793149125888903,0.1261130495736361,0.02708195738060993,0.16456596665352752,0.5189025458584491,diaria,Tesla Gigafactory Texas,EUA,30.2219321,-97.6187733
DeepNPTS_aprox,0.12766221898670282,0.026297976408388966,0.16216650828204004,0.5328295764836789,0.31324242006876474,31.324242006876474,45.31659478891219,3314.1197412515035,57.5683918591748,0.5327882166972921,0.2936883123733052,29.36883123733052,0.12766221898670282,0.026297976408388966,0.16216650828204004,0.5328295764836789,diaria,Tesla Gigafactory Texas,EUA,30.2219321,-97.6187733
DilatedRNN,0.12995756503587955,0.026234651823761664,0.16197114503442167,0.5215576940023114,0.3208788542613978,32.08788542613978,45.77447753295795,3258.5934587298957,57.08409111766514,0.5214177005077394,0.3058538281850226,30.58538281850226,0.12995756503587955,0.026234651823761664,0.16197114503442167,0.5215576940023114,diaria,Hyundai Metaplant Georgia,EUA,32.1605262,-81.4509985
DeepAR_exp,0.17041920930522744,0.04531228706241644,0.21286682940847415,0.1736381615502891,0.42170760919379635,42.17076091937963,60.04295646733646,5625.116563295098,75.00077708460825,0.173851769522957,0.4018505741099591,40.18505741099591,0.17041920930522744,0.04531228706241644,0.21286682940847415,0.1736381615502891,diaria,Hyundai Metaplant Georgia,EUA,32.1605262,-81.4509985
DeepNPTS_aprox,0.1315270925489056,0.026659459085278475,0.1632772460732924,0.5138104684179955,0.32346635344104113,32.346635344104115,46.30955176361714,3311.369904829358,57.544503689139226,0.5136665424534435,0.3083206967078059,30.832069670780587,0.1315270925489056,0.026659459085278475,0.1632772460732924,0.5138104684179955,diaria,Hyundai Metaplant Georgia,EUA,32.1605262,-81.4509985
DilatedRNN,0.12712812948692137,0.02678753999822555,0.16366899522580797,0.6337415261994407,0.38476067529336544,38.47606752933655,46.595696219028746,3601.7148214117574,60.01428847709317,0.6338390516251957,0.3642393634652157,36.42393634652157,0.12712812948692137,0.02678753999822555,0.16366899522580797,0.6337415261994407,diaria,Rivian Normal,EUA,40.5092914,-89.0545444
DeepAR_exp,0.13184867231725889,0.027898386024334608,0.16702809950524675,0.6185532420129469,0.3926574136411176,39.26574136411176,48.28825321924329,3750.686775596809,61.24285081212997,0.6186941235200146,0.3716957671691761,37.169576716917604,0.13184867231725889,0.027898386024334608,0.16702809950524675,0.6185532420129469,diaria,Rivian Normal,EUA,40.5092914,-89.0545444
DeepNPTS_aprox,0.13235388341609955,0.027467326531881824,0.16573269602550314,0.624446996789737,0.38961211897821657,38.961211897821656,48.52275863711975,3693.7100963867183,60.775900621765516,0.6244865407238387,0.3688617480643219,36.886174806432194,0.13235388341609955,0.027467326531881824,0.16573269602550314,0.624446996789737,diaria,Rivian Normal,EUA,40.5092914,-89.0545444
DilatedRNN,0.07012774584949817,0.010140503794945627,0.10070006849523801,0.8733277616703321,0.1907017517260704,19.07017517260704,25.47491803278916,1338.5811249703006,36.586624946424074,0.8737010460094798,0.1788895192592567,17.88895192592567,0.07012774584949817,0.010140503794945627,0.10070006849523801,0.8733277616703321,diaria,Tesla Fremont Factory,EUA,37.4926897,-121.9415083
DeepAR_exp,0.09275408560683725,0.015814833992604093,0.12575704351090675,0.8024456712245606,0.2381536462465828,23.81536462465828,33.747357015292216,2086.7205453073825,45.68063643719714,0.8031119539738784,0.2233544937165837,22.33544937165837,0.09275408560683725,0.015814833992604093,0.12575704351090675,0.8024456712245606,diaria,Tesla Fremont Factory,EUA,37.4926897,-121.9415083
DeepNPTS_aprox,0.07475432642653045,0.011142388517554155,0.10555751284278232,0.8608125077019466,0.19990058505191274,19.990058505191275,27.193919026921634,1470.318871611439,38.34473720879358,0.8612712131876454,0.1874857715202848,18.74857715202848,0.07475432642653045,0.011142388517554155,0.10555751284278232,0.8608125077019466,diaria,Tesla Fremont Factory,EUA,37.4926897,-121.9415083
DilatedRNN,0.0625619964471189,0.009105162119723445,0.09542097316483125,0.8211403661923843,0.16107854663885177,16.107854663885178,23.666882869530134,1303.9660278691822,36.11046978189542,0.820405091148916,0.15544058702305852,15.544058702305852,0.0625619964471189,0.009105162119723445,0.09542097316483125,0.8211403661923843,diaria,Lucid AMP 1 Casa Grande,EUA,32.8568519,-111.7784376
DeepAR_exp,0.06563827707059876,0.009852839265180775,0.09926146918709583,0.806453174609805,0.1675616236513871,16.75616236513871,24.777003116380882,1409.1513606062917,37.53866487511632,0.8059179420655449,0.16158837421648384,16.158837421648382,0.06563827707059876,0.009852839265180775,0.09926146918709583,0.806453174609805,diaria,Lucid AMP 1 Casa Grande,EUA,32.8568519,-111.7784376
DeepNPTS_aprox,0.06835192866882588,0.00988312000987996,0.09941388238007788,0.8058583468805341,0.1678189098097637,16.781890980976367,25.847356342051686,1414.76284205801,37.61333330161008,0.8051450741546472,0.1619097908060874,16.190979080608738,0.06835192866882588,0.00988312000987996,0.09941388238007788,0.8058583468805341,diaria,Lucid AMP 1 Casa Grande,EUA,32.8568519,-111.7784376
DilatedRNN,0.1230955437393173,0.025725693637659065,0.16039231165382917,0.6383533165998397,0.42308886699072856,42.30888669907286,45.98333140301179,3592.0352437165056,59.93359027887872,0.6380842885753613,0.4133691221027106,41.33691221027106,0.1230955437393173,0.025725693637659065,0.16039231165382917,0.6383533165998397,diaria,GM Factory Zero,EUA,42.3815123,-83.0453415
DeepAR_exp,0.12816313262368698,0.028032825252648726,0.16743006077956468,0.6059201193270843,0.44165330610299036,44.16533061029904,47.87317238823784,3916.1710800171836,62.57931830898435,0.6054259643013473,0.43161702395605106,43.161702395605104,0.12816313262368698,0.028032825252648726,0.16743006077956468,0.6059201193270843,diaria,GM Factory Zero,EUA,42.3815123,-83.0453415
