data,ghi_real_normalizado,ghi_previsto_vizinhoshistoricos_normalizado,ghi_real_wm2,ghi_previsto_vizinhoshistoricos_wm2
2024-01-31,0.04172032714655096,0.10978927757430407,93.5994623655914,112.31408403266533
2024-02-29,0.21073952308344332,0.2782517046791721,140.06896551724137,158.6305112520161
2024-03-31,0.4021753495474757,0.48171050630881207,192.7016129032258,214.56871029000945
2024-04-30,0.7140953336037337,0.647875043902115,278.4597222222222,260.2533643944314
2024-05-31,0.933593760821383,0.7888462282493006,338.80779569892474,299.011452545314
2024-06-30,0.9803691862743675,0.9047709493337438,351.66805555555555,330.88336012319076
2024-07-31,0.9012793288505954,0.9042540269841591,329.9233870967742,330.74123943317073
2024-08-31,0.8034071763460314,0.7343889627184774,303.0147849462366,284.0391764189994
2024-09-30,0.6018824501020682,0.6002020950088535,247.60833333333332,247.14634281286493
2024-10-31,0.3482332251351201,0.43915342422151576,177.8709677419355,202.86822592065397
2024-11-30,0.12708045543957158,0.2265954240297142,117.06805555555555,144.42832739274155
2024-12-31,0.047063696911160725,0.06529406137339619,95.06854838709677,100.0807363467998
