data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,128.3319892473118,0.12651736,126.68954823622781
2024-02-29,153.75574712643677,0.17697296,136.42273187405
2024-03-31,187.87231182795696,0.46878868,192.71571158737905
2024-04-30,263.20138888888886,0.7350019,244.0698196231037
2024-05-31,257.39381720430106,0.78180426,253.09826817099125
2024-06-30,283.19305555555553,0.8388437,264.1015134149341
2024-07-31,245.24059139784944,0.79414797,255.47944180811604
2024-08-31,234.99193548387098,0.70432097,238.15128206197292
2024-09-30,181.27916666666667,0.5279256,204.12357456485432
2024-10-31,191.76209677419354,0.4374435,186.6690393282521
2024-11-30,128.38888888888889,0.1377218,128.85095315923294
2024-12-31,124.73924731182795,0.10440182,122.42333054444401
