data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,128.3319892473118,0.48139325,195.14720660872678
2024-02-29,153.75574712643677,0.48363492,195.57963821828685
2024-03-31,187.87231182795696,0.48398048,195.64629838623665
2024-04-30,263.20138888888886,0.4822592,195.31425658717592
2024-05-31,257.39381720430106,0.4765635,194.2155222484181
2024-06-30,283.19305555555553,0.47315285,193.55758437858793
2024-07-31,245.24059139784944,0.46891043,192.7391964330949
2024-08-31,234.99193548387098,0.46836504,192.63398892352336
2024-09-30,181.27916666666667,0.46787396,192.5392561725551
2024-10-31,191.76209677419354,0.47102,193.14614827858824
2024-11-30,128.38888888888889,0.47168902,193.27520282366262
2024-12-31,124.73924731182795,0.477041,194.30763343521343
