tarefa,modelo,semente,epocas_selecionadas_em_2023
monthly_6,XGBoost,11,0
monthly_6,XGBoost,23,0
monthly_6,XGBoost,42,0
monthly_6,XGBoost,67,0
monthly_6,XGBoost,89,0
monthly_6,LSTM,11,55
monthly_6,LSTM,23,99
monthly_6,LSTM,42,86
monthly_6,LSTM,67,133
monthly_6,LSTM,89,75
monthly_6,TimesNet,11,109
monthly_6,TimesNet,23,25
monthly_6,TimesNet,42,38
monthly_6,TimesNet,67,51
monthly_6,TimesNet,89,34
monthly_6,DilatedRNN,11,48
monthly_6,DilatedRNN,23,56
monthly_6,DilatedRNN,42,105
monthly_6,DilatedRNN,67,104
monthly_6,DilatedRNN,89,74
