tarefa,resolucao,particao,modelo,tipo_estimativa,semente,tipo_horizonte,horizonte,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
monthly_6,mensal,validacao_2023,DilatedRNN,semente,67.0,cumulativo,3,10,70,210,16.444926736123453,20.34854122886161,0.08570661438907592,0.8400814542572924,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,67.0,cumulativo,6,10,70,420,16.982736757000225,20.88706899445466,0.08938436837712986,0.8615155902192135,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,67.0,lead_exato,1,10,70,70,16.7730982335163,19.67878591696645,0.08960907728023368,0.9044803055897711,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,67.0,lead_exato,3,10,70,70,16.393591159427796,20.853885170331807,0.08335891739985771,0.6329709846009226,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,67.0,lead_exato,6,10,70,70,16.120828126852718,19.993174695142656,0.09537953954137056,0.8925547855301239,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,89.0,cumulativo,1,10,70,70,16.69090000346105,19.155569839792907,0.08726559564457402,0.9063587463752789,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,89.0,cumulativo,3,10,70,210,16.741639705867946,20.128395545280632,0.08492873595469945,0.8437863803041825,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,89.0,cumulativo,6,10,70,420,17.5266297197571,21.098675248129872,0.0905402794181803,0.8624263854482862,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,89.0,lead_exato,1,10,70,70,16.69090000346105,19.155569839792907,0.08726559564457402,0.9063587463752789,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,89.0,lead_exato,3,10,70,70,16.975639514637827,20.720233363643565,0.0825699371623024,0.6518572900145244,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,89.0,lead_exato,6,10,70,70,16.296972784613782,19.60525861646646,0.09272747929267719,0.9073767132246078,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,ensemble,,cumulativo,1,10,70,70,15.837389480413174,18.510050194682375,0.08461219501308112,0.9160374976416895,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,ensemble,,cumulativo,3,10,70,210,16.048858888508477,19.197528817017247,0.0809782702377174,0.8566917416480159,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,ensemble,,cumulativo,6,10,70,420,16.305885656852528,19.686613707961776,0.0841934733820562,0.8791741107234955,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,ensemble,,lead_exato,1,10,70,70,15.837389480413174,18.510050194682375,0.08461219501308112,0.9160374976416895,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,ensemble,,lead_exato,3,10,70,70,16.457814620077688,20.034195205562856,0.07997898799121066,0.6577059456137115,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,ensemble,,lead_exato,6,10,70,70,15.233947679188532,18.12452410553289,0.08611540240156083,0.9172471599679068,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,11.0,cumulativo,1,10,70,70,15.212816850081737,18.473086513075735,0.08435011714397046,0.91412651469846,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,11.0,cumulativo,3,10,70,210,15.746447176349193,19.196461693077893,0.08109697074509704,0.8569676874516057,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,11.0,cumulativo,6,10,70,420,16.144609462528905,19.913554592669566,0.0850406788940998,0.8755277096124013,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,11.0,lead_exato,1,10,70,70,15.212816850081737,18.473086513075735,0.08435011714397046,0.91412651469846,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,11.0,lead_exato,3,10,70,70,15.962546795321165,19.692788565319738,0.07871647058268443,0.6648313888798246,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,11.0,lead_exato,6,10,70,70,14.404728177208165,17.584355324319162,0.08272424848124002,0.9148369184851127,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,23.0,cumulativo,1,10,70,70,16.377099071418293,18.815572281780696,0.08584272159165093,0.912696435745904,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,23.0,cumulativo,3,10,70,210,16.30054299698829,19.223371749493367,0.08120223678735453,0.8555364064678953,media_aritmetica_das_metricas_por_localidade
