tarefa,resolucao,particao,modelo,tipo_horizonte,horizonte,N_sementes,MAE_wm2_media,MAE_wm2_desvio_padrao,MAE_wm2_minimo,MAE_wm2_maximo,RMSE_wm2_media,RMSE_wm2_desvio_padrao,RMSE_wm2_minimo,RMSE_wm2_maximo,nRMSE_media,nRMSE_desvio_padrao,nRMSE_minimo,nRMSE_maximo,R2_media,R2_desvio_padrao,R2_minimo,R2_maximo
monthly_6,mensal,teste_2024,DilatedRNN,cumulativo,1,5,15.2394677490833,0.5136536224310557,14.792285485554155,16.106584662023238,18.625219336476864,0.30437643680881654,18.390446293704617,19.07646441711649,0.08394799905456238,0.001474144032091619,0.08269808267316689,0.0855596486717751,0.8708848486093412,0.007183608376309936,0.8644368632476878,0.8789452763898382
monthly_6,mensal,teste_2024,DilatedRNN,cumulativo,3,5,14.722010586405258,0.4855191889140969,14.134696905652472,15.393614392944254,18.079680940880472,0.36265207228237645,17.837201940274703,18.66816313942207,0.07601625274859683,0.00141922860279303,0.07496985301441922,0.07811290351107673,0.8318860125473874,0.008551845577281775,0.8174612962606934,0.8381614942527904
monthly_6,mensal,teste_2024,DilatedRNN,cumulativo,6,5,14.769003687542044,0.4511724394746912,14.151849284472183,15.291000660654259,18.044598378107082,0.3916671834541387,17.648482291598384,18.549870468334266,0.0771023723341634,0.0017241761871665733,0.07525746674470991,0.07916079061057757,0.847974229322195,0.002677888198547448,0.8445764068284992,0.8507446031143757
monthly_6,mensal,teste_2024,DilatedRNN,lead_exato,1,5,15.2394677490833,0.5136536224310557,14.792285485554155,16.106584662023238,18.625219336476864,0.30437643680881654,18.390446293704617,19.07646441711649,0.08394799905456238,0.001474144032091619,0.08269808267316689,0.0855596486717751,0.8708848486093412,0.007183608376309936,0.8644368632476878,0.8789452763898382
monthly_6,mensal,teste_2024,DilatedRNN,lead_exato,3,5,14.256775184361226,0.725178820495162,13.385718205013745,15.074926290378613,17.415611623862965,0.8604484515680233,16.03836472717528,18.108350347823,0.07008032476299238,0.0033328047705644273,0.06461371334634891,0.0725879358234279,0.7501531120628109,0.021775900762609397,0.7286481987199303,0.7826416417215845
monthly_6,mensal,teste_2024,DilatedRNN,lead_exato,6,5,14.105912621311216,0.39097505334756033,13.413431932589527,14.36593213525986,17.14609656965688,0.28525750393296373,16.643647039490265,17.345165638861072,0.08235001838063838,0.001407341012250615,0.07984639474297191,0.08322841858686363,0.8190159071584789,0.014633170598108427,0.8058151694368177,0.8417777034063796
monthly_6,mensal,teste_2024,LSTM,cumulativo,1,5,16.245326710355915,0.6497967104002011,15.703855605076825,17.303390938378627,20.165090719954463,0.9096424490414574,19.470608130645957,21.64423865749328,0.09047686069302094,0.004303237794182833,0.08733242047867151,0.09773593796115625,0.8486737643074346,0.00730236505626166,0.8409283234485352,0.8569454576160409
monthly_6,mensal,teste_2024,LSTM,cumulativo,3,5,15.754104124078333,0.24491626829540541,15.496063332324729,16.137718719794,19.446149110134957,0.4778762299117088,18.86414978417141,19.914839700883565,0.08142226023164476,0.0020610965162871117,0.07914539060493245,0.0838963169694889,0.8016758189985567,0.006790567077787528,0.7904528513797902,0.8089091824597014
monthly_6,mensal,teste_2024,LSTM,cumulativo,6,5,15.13607838367768,0.3619577070523796,14.795762871643191,15.719392722817878,18.611919729561784,0.5686151939319594,17.93753200241682,19.44050227841592,0.07907726453073681,0.002412855426226944,0.07618657592056717,0.08234227781478583,0.8329875538137334,0.006176811421586557,0.8240483160344155,0.8403347735635757
monthly_6,mensal,teste_2024,LSTM,lead_exato,1,5,16.245326710355915,0.6497967104002011,15.703855605076825,17.303390938378627,20.165090719954463,0.9096424490414574,19.470608130645957,21.64423865749328,0.09047686069302094,0.004303237794182833,0.08733242047867151,0.09773593796115625,0.8486737643074346,0.00730236505626166,0.8409283234485352,0.8569454576160409
monthly_6,mensal,teste_2024,LSTM,lead_exato,3,5,15.271371141835782,0.45688103737109037,14.582225181396575,15.74393380152533,18.508232573389158,0.6011620815334846,17.681879370322154,19.217814380633612,0.07413307989884303,0.001988526852498138,0.07145400999875604,0.07666602195343405,0.7171879526259077,0.014132316965514938,0.7002561260931351,0.7381088283831538
monthly_6,mensal,teste_2024,LSTM,lead_exato,6,5,13.614826267215872,0.4109682147237407,12.958221522823393,14.06031297449901,16.43370616784254,0.19783336596884307,16.118551186805664,16.627546122511397,0.07829762088120522,0.0011204001488834155,0.076316699445935,0.07895005207267139,0.8125349695467066,0.01671972379855051,0.7918726750236086,0.8336990180441113
monthly_6,mensal,teste_2024,TimesNet,cumulativo,1,5,15.806543885838527,1.669100860776597,13.575531375286214,18.184301366902524,19.97348283997806,1.6871598154315015,17.472899319799772,22.095090490060365,0.0893774552955596,0.006792073186949864,0.07901942412223964,0.09718413946680189,0.8541083517387182,0.020817577245442493,0.8332050949663771,0.888012990574431
